Race,#Survey,#Authors,#Experts,#Donors
Asian,2,15864,38,648
Hispanic,1,12720,13,54
Black,0,5827,10,107
White,17,22380,87,2834
Other,0,10012,12,52
Unknown,4,0,0,944
