organ,total_cost
ureter,1421880000
pelvis,2837871000
placenta,26509204000
kidney,138452755888
spleen,25247211000
lung,208039652000
urinary bladder,11500076000
thymus,44826425871
pancreas,47891378000
brain,566695145714
spinal cord,69594597000
trachea,4859119000
prostate,68749135000
lymph node,54015542443
blood vasculature,62940000
small intestine,28063355000
large intestine,7847818000
skeletal,135197111269
lymph vasculature,3690770000
peripheral nervous system,4788420000
ovary,43627014487
knee,25902737804
muscular system,26823023000
bone marrow,115014411906
fallopian tube,3327906000
uterus,20584219047
liver,275342412287
heart,197909398269
eye,134539715301
main bronchus,439500000
skin,169511030445
