organ,total_cost
brain,94719648826.0
pelvis,988938755.0
blood vasculature,4585407.0
bone marrow,14137363749.0
eye,15251379619.0
fallopian tube,103348182.0
heart,48021255774.0
kidney,26025180482.0
knee,1906649921.0
large intestine,721265466.0
liver,54487038268.0
lung,47370697019.0
lymph node,6534733532.0
lymph vasculature,0.0
main bronchus,4054737.0
muscular system,371709982.0
ovary,6529175563.0
pancreas,9281635175.0
peripheral nervous system,2335561740.0
placenta,3640228212.0
prostate,12732528277.0
skeletal,16302837412.0
skin,18263992502.0
small intestine,1729262965.0
spinal cord,6103153284.0
spleen,2999216626.0
thymus,6464796621.0
trachea,835885868.0
ureter,429161425.0
urinary bladder,1903866962.0
uterus,1916656866.0
