"iri","type","label"
"http://identifiers.org/hgnc/6066","BM","inhibin subunit beta A"
"http://identifiers.org/hgnc/6067","BM","inhibin subunit beta B"
"http://identifiers.org/hgnc/6068","BM","inhibin subunit beta C"
"http://identifiers.org/hgnc/7124","BM","melanA"
"http://identifiers.org/hgnc/7124","BM","melan-A"
"http://identifiers.org/hgnc/10919","BM","SLC14A2"
"http://identifiers.org/hgnc/4579","BM","GRIK1"
"http://identifiers.org/hgnc/10940","BM","solute carrier family 1 member 2"
"http://identifiers.org/hgnc/2505","BM","CTLA4"
"http://identifiers.org/hgnc/4504","BM","LGR5"
"http://identifiers.org/hgnc/4504","BM","Lgr5"
"http://identifiers.org/hgnc/8004","BM","NRP1"
"http://identifiers.org/hgnc/8004","BM","CD304"
"http://identifiers.org/hgnc/1748","BM","CDH1"
"http://identifiers.org/hgnc/1748","BM","E-cadherin"
"http://identifiers.org/hgnc/17178","BM","ADAMTS20"
"http://identifiers.org/hgnc/14872","BM","ASPN"
"http://identifiers.org/hgnc/14872","BM","Asporin proteoglycan"
"http://identifiers.org/hgnc/13604","BM","FBXL7"
"http://identifiers.org/hgnc/5358","BM","IRF8"
"http://identifiers.org/hgnc/4172","BM","GATA3"
"http://identifiers.org/hgnc/4172","BM","GATA-3"
"http://identifiers.org/hgnc/4172","BM","GATA binding protein 3"
"http://identifiers.org/hgnc/51166","BM","LINC01500"
"http://identifiers.org/hgnc/3357","BM","ENPP2"
"http://identifiers.org/hgnc/3357","BM","ENPP2+"
"http://identifiers.org/hgnc/11068","BM","SLC8A1"
"http://identifiers.org/hgnc/6446","BM","KRT8"
"http://identifiers.org/hgnc/6446","BM","keratin 8"
"http://identifiers.org/hgnc/6446","BM","CK8/18"
"http://identifiers.org/hgnc/6446","BM","Keratin 8"
"http://identifiers.org/hgnc/2303","BM","CPE"
"http://identifiers.org/hgnc/2303","BM","carboxypeptidase E"
"http://identifiers.org/hgnc/8634","BM","PBX3"
"http://identifiers.org/hgnc/3611","BM","FCER1G"
"http://identifiers.org/hgnc/2358","BM","CRHR2"
"http://identifiers.org/hgnc/12335","BM","TRPC3"
"http://identifiers.org/hgnc/11892","BM","TNF"
"http://identifiers.org/hgnc/1912","BM","CHAT"
"http://identifiers.org/hgnc/1912","BM","choline O-acetyltransferase"
"http://identifiers.org/hgnc/30670","BM","SV2C"
"http://identifiers.org/hgnc/18683","BM","EIF4A3"
"http://identifiers.org/hgnc/1077","BM","BMPR1B"
"http://identifiers.org/hgnc/12578","BM","UPK1B"
"http://identifiers.org/hgnc/6143","BM","ITGA7"
"http://identifiers.org/hgnc/1954","BM","CHRM5"
"http://identifiers.org/hgnc/10929","BM","SLC17A1"
"http://identifiers.org/hgnc/1455","BM","CALR"
"http://identifiers.org/hgnc/1455","BM","CRT"
"http://identifiers.org/hgnc/5351","BM","ICOS"
"http://identifiers.org/hgnc/5351","BM","ICOS+"
"http://identifiers.org/hgnc/18111","BM","CCDC50"
"http://identifiers.org/hgnc/10024","BM","RLBP1"
"http://identifiers.org/hgnc/10024","BM","cellular retinaldehyde-binding protein"
"http://identifiers.org/hgnc/10024","BM","retinaldehyde binding protein 1"
"http://identifiers.org/hgnc/10294","BM","RPE65"
"http://identifiers.org/hgnc/12691","BM","ezrin"
"http://identifiers.org/hgnc/45169","BM","ACTA2"
"http://identifiers.org/hgnc/45169","BM","ACTA2-AS1"
"http://identifiers.org/hgnc/1384","BM","calcium binding protein 1"
"http://identifiers.org/hgnc/894","BM","AVP"
"http://identifiers.org/hgnc/17797","BM","MAP3K20"
"http://identifiers.org/hgnc/10449","BM","RREB1"
"http://identifiers.org/hgnc/2037","BM","CLDN16"
"http://identifiers.org/hgnc/8604","BM","PAPSS2"
"http://identifiers.org/hgnc/9393","BM","PRKCA"
"http://identifiers.org/hgnc/9393","BM","protein kinase C alpha"
"http://identifiers.org/hgnc/15813","BM","PCDH11Y"
"http://identifiers.org/hgnc/23792","BM","PLD4"
"http://identifiers.org/hgnc/11773","BM","TGFBR2"
"http://identifiers.org/hgnc/18864","BM","KCNH8"
"http://identifiers.org/hgnc/23317","BM","ST8SIA6"
"http://identifiers.org/hgnc/52483","BM","LINC01695"
"http://identifiers.org/hgnc/6134","BM","ITGA1"
"http://identifiers.org/hgnc/6134","BM","CD49a / ITGA1"
"http://identifiers.org/hgnc/2210","BM","COL5A2"
"http://identifiers.org/hgnc/23399","BM","FREM1"
"http://identifiers.org/hgnc/1765","BM","CDH6"
"http://identifiers.org/hgnc/12524","BM","UGCG"
"http://identifiers.org/hgnc/6463","BM","KRT86"
"http://identifiers.org/hgnc/11648","BM","TCL1A"
"http://identifiers.org/hgnc/11648","BM","TCL1A+"
"http://identifiers.org/hgnc/25026","BM","PLPP5+"
"http://identifiers.org/hgnc/2561","BM","CXCR4"
"http://identifiers.org/hgnc/2561","BM","CXCR4+"
"http://identifiers.org/hgnc/3612","BM","FCER2"
"http://identifiers.org/hgnc/3612","BM","FCER2+"
"http://identifiers.org/hgnc/3612","BM","CD23"
"http://identifiers.org/hgnc/3612","BM","FCER2A"
"http://identifiers.org/hgnc/5480","BM","IGHD"
"http://identifiers.org/hgnc/5480","BM","IGHD+"
"http://identifiers.org/hgnc/5480","BM","IgD+"
"http://identifiers.org/hgnc/5480","BM","IgD"
"http://identifiers.org/hgnc/5541","BM","IgM"
"http://identifiers.org/hgnc/5541","BM","IGHM"
"http://identifiers.org/hgnc/5541","BM","IGHM+"
"http://identifiers.org/hgnc/5541","BM","IgM+"
"http://identifiers.org/hgnc/598","BM","APLP2+"
"http://identifiers.org/hgnc/6015","BM","IL4R"
"http://identifiers.org/hgnc/6015","BM","IL4R+"
"http://identifiers.org/hgnc/7315","BM","CD20"
"http://identifiers.org/hgnc/7315","BM","MS4A1"
"http://identifiers.org/hgnc/7315","BM","membrane spanning 4-domains A1"
"http://identifiers.org/hgnc/7315","BM","MS4A1+"
"http://identifiers.org/hgnc/20657","BM","TSPAN1"
"http://identifiers.org/hgnc/11764","BM","TG"
"http://identifiers.org/hgnc/5019","BM","HMX3"
"http://identifiers.org/hgnc/6132","BM","ISL1"
"http://identifiers.org/hgnc/6132","BM","Islet-1"
"http://identifiers.org/hgnc/687","BM","DIRAS3"
"http://identifiers.org/hgnc/7397","BM","MT1E"
"http://identifiers.org/hgnc/11529","BM","EPCAM"
"http://identifiers.org/hgnc/11529","BM","EpCAM"
"http://identifiers.org/hgnc/11529","BM","EpCAM(lo)"
"http://identifiers.org/hgnc/11529","BM","EpCAM(hi)"
"http://identifiers.org/hgnc/12338","BM","TRPC6"
"http://identifiers.org/hgnc/15979","BM","TP63"
"http://identifiers.org/hgnc/3318","BM","ELF3"
"http://identifiers.org/hgnc/4027","BM","FXYD3"
"http://identifiers.org/hgnc/6442","BM","KRT5"
"http://identifiers.org/hgnc/6442","BM","keratin 5"
"http://identifiers.org/hgnc/7809","BM","NGFR"
"http://identifiers.org/hgnc/7809","BM","CD271"
"http://identifiers.org/hgnc/7809","BM","nerve growth factor receptor"
"http://identifiers.org/hgnc/7809","BM","CD271+"
"http://identifiers.org/hgnc/11005","BM","SLC2A1"
"http://identifiers.org/hgnc/24579","BM","CIB2"
"http://identifiers.org/hgnc/48603","BM","SCHLAP1"
"http://identifiers.org/hgnc/21694","BM","POU6F2"
"http://identifiers.org/hgnc/2355","BM","CRH"
"http://identifiers.org/hgnc/5977","BM","IL15"
"http://identifiers.org/hgnc/2045","BM","CLDN3"
"http://identifiers.org/hgnc/17013","BM","CD160+"
"http://identifiers.org/hgnc/28317","BM","STK32A"
"http://identifiers.org/hgnc/6653","BM","LMX1A"
"http://identifiers.org/hgnc/12729","BM","WARS"
