s_iri,relationship,t_iri
http://purl.obolibrary.org/obo/UBERON_0012303,part_of,http://purl.obolibrary.org/obo/UBERON_0006082
http://purl.obolibrary.org/obo/UBERON_0001257,part_of,http://purl.obolibrary.org/obo/UBERON_0006082
http://purl.obolibrary.org/obo/UBERON_0016500,part_of,http://purl.obolibrary.org/obo/UBERON_0006082
https://purl.org/ccf/ASCTB-TEMP_head-of-fourth-middle-phalanx-of-foot,part_of,http://purl.obolibrary.org/obo/UBERON_0004326
https://purl.org/ccf/ASCTB-TEMP_shaft-of-fourth-middle-phalanx-of-foot,part_of,http://purl.obolibrary.org/obo/UBERON_0004326
https://purl.org/ccf/ASCTB-TEMP_base-of-fourth-middle-phalanx-of-foot,part_of,http://purl.obolibrary.org/obo/UBERON_0004326
https://purl.org/ccf/ASCTB-TEMP_head-of-second-middle-phalanx-of-foot,part_of,http://purl.obolibrary.org/obo/UBERON_0004324
https://purl.org/ccf/ASCTB-TEMP_shaft-of-second-middle-phalanx-of-foot,part_of,http://purl.obolibrary.org/obo/UBERON_0004324
https://purl.org/ccf/ASCTB-TEMP_base-of-second-middle-phalanx-of-foot,part_of,http://purl.obolibrary.org/obo/UBERON_0004324
http://purl.obolibrary.org/obo/UBERON_0003987,part_of,http://purl.obolibrary.org/obo/UBERON_0003846
http://purl.obolibrary.org/obo/UBERON_0006936,part_of,http://purl.obolibrary.org/obo/UBERON_0003846
http://purl.obolibrary.org/obo/UBERON_0004848,part_of,http://purl.obolibrary.org/obo/UBERON_0002012
http://purl.obolibrary.org/obo/UBERON_0004849,part_of,http://purl.obolibrary.org/obo/UBERON_0002012
http://purl.obolibrary.org/obo/UBERON_0012416,part_of,http://purl.obolibrary.org/obo/UBERON_0002012
http://purl.obolibrary.org/obo/UBERON_0012418,part_of,http://purl.obolibrary.org/obo/UBERON_0002012
https://purl.org/ccf/ASCTB-TEMP_head-of-second-proximal-phalanx-of-hand,part_of,http://purl.obolibrary.org/obo/UBERON_0004328
