s_iri,relationship,t_iri
http://purl.obolibrary.org/obo/PCL_0015053,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015086,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015075,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015101,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015127,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015003,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015095,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015005,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015122,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015088,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015012,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015094,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015082,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015044,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015110,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015076,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015030,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015043,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015100,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015120,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015114,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015026,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015050,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015089,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015052,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015018,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015064,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015078,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015116,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015013,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015040,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015105,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015004,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015090,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015047,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015112,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015024,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015065,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015048,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015083,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015009,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015014,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015063,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015017,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015061,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015085,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015010,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015062,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
