id,rdfs_label,name,ct_iri
CL:0000945,lymphocyte of B lineage,B lineage,http://purl.obolibrary.org/obo/CL_0000945
CL:0000816,immature B cell,immature B cell,http://purl.obolibrary.org/obo/CL_0000816
CL:0000945,lymphocyte of B lineage,B lineage,http://purl.obolibrary.org/obo/CL_0000945
CL:0000787,memory B cell,memory B cell,http://purl.obolibrary.org/obo/CL_0000787
CL:0000945,lymphocyte of B lineage,B lineage,http://purl.obolibrary.org/obo/CL_0000945
CL:0000788,naive B cell,naive B cell,http://purl.obolibrary.org/obo/CL_0000788
CL:0000945,lymphocyte of B lineage,B lineage,http://purl.obolibrary.org/obo/CL_0000945
CL:0000818,transitional stage B cell,transitional B cell,http://purl.obolibrary.org/obo/CL_0000818
CL:0001056,"dendritic cell, human",dendritic cell (DC),http://purl.obolibrary.org/obo/CL_0001056
CL:0002394,CD141-positive myeloid dendritic cell,dendritic cell type 1 (DC1),http://purl.obolibrary.org/obo/CL_0002394
CL:0001056,"dendritic cell, human",dendritic cell (DC),http://purl.obolibrary.org/obo/CL_0001056
CL:0002399,CD1c-positive myeloid dendritic cell,dendritic cell type 2 (DC2),http://purl.obolibrary.org/obo/CL_0002399
CL:0001056,"dendritic cell, human",dendritic cell (DC),http://purl.obolibrary.org/obo/CL_0001056
CL:0002399,CD1c-positive myeloid dendritic cell,dendritic cell type 3 (DC3),http://purl.obolibrary.org/obo/CL_0002399
CL:0001056,"dendritic cell, human",dendritic cell (DC),http://purl.obolibrary.org/obo/CL_0001056
CL:0001058,"plasmacytoid dendritic cell, human",Plasmacytoid Dendritic Cell (pDC),http://purl.obolibrary.org/obo/CL_0001058
CL:0001056,"dendritic cell, human",dendritic cell (DC),http://purl.obolibrary.org/obo/CL_0001056
CL:0000840,immature conventional dendritic cell,transitional Dendritic Cell (tDC),http://purl.obolibrary.org/obo/CL_0000840
CL:0000576,monocyte,monocyte,http://purl.obolibrary.org/obo/CL_0000576
CL:0001054,CD14-positive monocyte,CD14 monocyte,http://purl.obolibrary.org/obo/CL_0001054
CL:0000576,monocyte,monocyte,http://purl.obolibrary.org/obo/CL_0000576
CL:0002396,"CD14-low, CD16-positive monocyte",CD16 monocyte,http://purl.obolibrary.org/obo/CL_0002396
CL:0000775,neutrophil,neutrophilic granulocyte,http://purl.obolibrary.org/obo/CL_0000775
CL:0000775,neutrophil,neutrophil,http://purl.obolibrary.org/obo/CL_0000775
CL:0000094,granulocyte,granulocyte,http://purl.obolibrary.org/obo/CL_0000094
CL:0000771,eosinophil,eosinophil,http://purl.obolibrary.org/obo/CL_0000771
CL:0000094,granulocyte,granulocyte,http://purl.obolibrary.org/obo/CL_0000094
CL:0000767,basophil,basophil,http://purl.obolibrary.org/obo/CL_0000767
CL:0000084,T cell,T lymphocytes,http://purl.obolibrary.org/obo/CL_0000084
CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",CD4 naive,http://purl.obolibrary.org/obo/CL_0000895
CL:0000084,T cell,T lymphocytes,http://purl.obolibrary.org/obo/CL_0000084
CL:0000897,"CD4-positive, alpha-beta memory T cell",CD4 T cell memory,http://purl.obolibrary.org/obo/CL_0000897
CL:0000084,T cell,T lymphocytes,http://purl.obolibrary.org/obo/CL_0000084
CL:0000897,"CD4-positive, alpha-beta memory T cell",CD4 T cell memory,http://purl.obolibrary.org/obo/CL_0000897
CL:0000084,T cell,T lymphocytes,http://purl.obolibrary.org/obo/CL_0000084
CL:0001087,"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",CD4 T cell effector memory CD45RA,http://purl.obolibrary.org/obo/CL_0001087
CL:0000084,T cell,T lymphocytes,http://purl.obolibrary.org/obo/CL_0000084
CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",CD8 naive,http://purl.obolibrary.org/obo/CL_0000900
CL:0000084,T cell,T lymphocytes,http://purl.obolibrary.org/obo/CL_0000084
CL:0000897,"CD4-positive, alpha-beta memory T cell",CD4 T cell memory,http://purl.obolibrary.org/obo/CL_0000897
CL:0000084,T cell,T lymphocytes,http://purl.obolibrary.org/obo/CL_0000084
CL:0001050,"effector CD8-positive, alpha-beta T cell",CD8 T cell effector memory,http://purl.obolibrary.org/obo/CL_0001050
CL:0000084,T cell,T lymphocytes,http://purl.obolibrary.org/obo/CL_0000084
CL:0001062,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CD8 T cell effector memory CD45RA,http://purl.obolibrary.org/obo/CL_0001062
CL:0000084,T cell,T lymphocytes,http://purl.obolibrary.org/obo/CL_0000084
CL:0002437,mature CD8 single-positive thymocyte,mature CD8 T cell,http://purl.obolibrary.org/obo/CL_0002437
CL:0000814,mature NK T cell,NK lymphocytes,http://purl.obolibrary.org/obo/CL_0000814
CL:0000938,"CD16-negative, CD56-bright natural killer cell, human",CD56 bright Natural killer,http://purl.obolibrary.org/obo/CL_0000938
CL:0000814,mature NK T cell,NK lymphocytes,http://purl.obolibrary.org/obo/CL_0000814
CL:0000824,mature natural killer cell,mature Natural killer,http://purl.obolibrary.org/obo/CL_0000824
CL:0000084,T cell,T lymphocytes,http://purl.obolibrary.org/obo/CL_0000084
CL:0000815,regulatory T cell,T regulatory,http://purl.obolibrary.org/obo/CL_0000815
CL:0010008,cardiac endothelial cell,cardiac endothelial cell,http://purl.obolibrary.org/obo/CL_0010008
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
