id,rdfs_label,name
CL:0000814,mature NK T cell,NK lymphocytes
CL:0000938,"CD16-negative, CD56-bright natural killer cell, human",CD56 bright Natural killer
CL:0000814,mature NK T cell,NK lymphocytes
CL:0000824,mature natural killer cell,mature Natural killer
CL:0000084,T cell,T lymphocytes
CL:0000815,regulatory T cell,T regulatory
CL:0010008,cardiac endothelial cell,cardiac endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0002543,vein endothelial cell,endothelial cell of vein
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0002543,vein endothelial cell,endothelial cell of vein
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0002543,vein endothelial cell,endothelial cell of vein
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0002543,vein endothelial cell,endothelial cell of vein
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0002543,vein endothelial cell,endothelial cell of vein
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
