organ,id,rdfs_label,name
blood,UBERON:0000178,Blood,Blood
blood_vasculature,UBERON:0004537,blood vasculature,blood vasculature
blood_vasculature,UBERON:0002079,left cardiac atrium,left atrium
blood_vasculature,FMA:49913,Left inferior pulmonary vein,left inferior pulmonary vein
blood_vasculature,FMA:49916,Left superior pulmonary vein,left superior pulmonary vein
blood_vasculature,UBERON:0002016,pulmonary vein,pulmonary vein
blood_vasculature,FMA:9411,Segmental pulmonary vein,segmental pulmonary vein
blood_vasculature,FMA:9413,Subsegmental pulmonary vein,subsegmental pulmonary vein
blood_vasculature,,,pulmonary venule
blood_vasculature,FMA:49911,Right inferior pulmonary vein,right inferior pulmonary vein
blood_vasculature,FMA:49914,Right superior pulmonary vein,right superior pulmonary vein
blood_vasculature,UBERON:0002084,heart left ventricle,left ventricle
blood_vasculature,UBERON:0000947,aorta,aorta
blood_vasculature,UBERON:0001496,ascending aorta,ascending aorta
blood_vasculature,UBERON:0001508,arch of aorta,aortic arch
blood_vasculature,UBERON:0001529,brachiocephalic artery,brachiocephalic artery
blood_vasculature,UBERON:0001531,right common carotid artery plus branches,right common carotid artery
blood_vasculature,UBERON:0001534,right subclavian artery,right subclavian artery
blood_vasculature,UBERON:0001530,common carotid artery plus branches,common carotid artery
blood_vasculature,UBERON:0001070,external carotid artery,external carotid artery
blood_vasculature,FMA:49497,Ascending pharyngeal artery,ascending pharyngeal artery
blood_vasculature,FMA:49506,Inferior tympanic artery,inferior tympanic artery
blood_vasculature,,,neuromeningeal trunk
blood_vasculature,,,hypoglossal branch of ascending pharyngeal artery
blood_vasculature,,,jugular branch of ascending pharyngeal artery
blood_vasculature,,,odontoid arcade
blood_vasculature,UBERON:0010249,posterior meningeal artery,posterior meningeal artery
blood_vasculature,,,pharyngeal trunk
blood_vasculature,,,eustachian branch of ascending pharyngeal artery
blood_vasculature,,,inferior pharyngeal artery
blood_vasculature,,,middle pharyngeal artery
blood_vasculature,,,superior pharyngeal artery
blood_vasculature,,,pterygovaginal artery
blood_vasculature,UBERON:0001612,facial artery,facial artery
blood_vasculature,UBERON:0010408,ocular angle artery,angular artery
blood_vasculature,FMA:49555,Ascending palatine artery,ascending palatine artery
blood_vasculature,FMA:71675,Set of glandular branches of facial artery,glandular branches of facial artery
blood_vasculature,UBERON:0003471,artery of lower lip,inferior labial artery
blood_vasculature,FMA:49580,Lateral nasal artery,lateral nasal artery
blood_vasculature,FMA:49561,Submental artery,submental artery
blood_vasculature,UBERON:0003470,artery of upper lip,superior labial artery
blood_vasculature,FMA:49558,Tonsillar artery,tonsillar branch of facial artery
blood_vasculature,UBERON:0001610,lingual artery,lingual artery
blood_vasculature,FMA:49532,Third part of lingual artery,deep lingual artery
blood_vasculature,FMA:49546,Dorsal lingual artery,dorsal lingual artery
blood_vasculature,UBERON:0001611,sublingual artery,sublingual artery
blood_vasculature,UBERON:0001616,maxillary artery,maxillary artery
