organ,id,rdfs_label,name
blood_vasculature,FMA:79467,Accessory meningeal artery,accessory meningeal artery
blood_vasculature,UBERON:0009654,alveolar artery,alveolar artery
blood_vasculature,FMA:49745,Anterior deep temporal artery,anterior deep temporal artery
blood_vasculature,FMA:49692,Anterior tympanic artery,anterior tympanic artery
blood_vasculature,FMA:85528,Artery of pterygoid canal,artery of pterygoid canal
blood_vasculature,UBERON:0001618,buccal artery,buccal artery
blood_vasculature,UBERON:0014695,deep auricular artery,deep auricular artery
blood_vasculature,FMA:49791,Descending palatine artery,descending palatine artery
blood_vasculature,UBERON:0006664,greater palatine artery,greater palatine artery
blood_vasculature,FMA:49796,Lesser palatine artery,lesser palatine artery
blood_vasculature,UBERON:0014693,inferior alveolar artery,inferior alveolar artery
blood_vasculature,,,incisor artery
blood_vasculature,UBERON:0001617,mental artery,mental artery
blood_vasculature,UBERON:0004646,infraorbital artery,infraorbital artery
blood_vasculature,FMA:49771,Anterior superior alveolar artery,anterior superior alveolar artery
blood_vasculature,UBERON:0013648,masseteric artery,masseteric artery
blood_vasculature,UBERON:0010250,middle meningeal artery,middle meningeal artery
blood_vasculature,FMA:0327481,Pharyngeal branch of the maxillary artery,pharyngeal branch of maxillary artery
blood_vasculature,FMA:49746,Posterior deep temporal artery,posterior deep temporal artery
blood_vasculature,UBERON:0018397,posterior superior alveolar artery,posterior superior alveolar artery
blood_vasculature,FMA:49751,Pterygoid branch of maxillary artery,pterygoid branches of maxillary artery
blood_vasculature,FMA:49804,Sphenopalatine artery,sphenopalatine artery
blood_vasculature,,,posterior lateral nasal branch of sphenopalatine artery
blood_vasculature,FMA:49809,Posterior septal branch of sphenopalatine artery,posterior septal branch of sphenopalatine artery
blood_vasculature,UBERON:0001613,occipital artery,occipital artery
blood_vasculature,FMA:49602,Auricular branch of occipital artery,auricular branch of occipital artery
blood_vasculature,FMA:49608,Descending branch of occipital artery,descending branch of occipital artery
blood_vasculature,FMA:49599,Mastoid artery,mastoid branch of occipital artery
blood_vasculature,FMA:49618,Meningeal branch of occipital artery,meningeal branch of occipital artery
blood_vasculature,FMA:49621,Muscular branch of occipital artery,muscular branch of occipital artery
blood_vasculature,FMA:49477,Sternocleidomastoid artery,sternocleidomastoid artery
blood_vasculature,,,stylomastoid branch of occipital artery
blood_vasculature,UBERON:0014694,posterior auricular artery,posterior auricular artery
blood_vasculature,FMA:49641,Auricular branch of posterior auricular artery,auricular branch of posterior auricular artery
blood_vasculature,FMA:49644,Occipital branch of posterior auricular artery,occipital branch of posterior auricular artery
blood_vasculature,FMA:49647,Parotid branch of posterior auricular artery,parotid branch of posterior auricular artery
blood_vasculature,FMA:49631,Posterior tympanic artery,posterior tympanic artery
blood_vasculature,UBERON:0006345,stapedial artery,stapedial artery
blood_vasculature,FMA:49628,Stylomastoid artery,stylomastoid artery
blood_vasculature,UBERON:0001614,superficial temporal artery,superficial temporal artery
blood_vasculature,FMA:49660,Anterior auricular branch of superficial temporal artery,anterior auricular branch of superficial temporal artery
blood_vasculature,FMA:49669,Frontal branch of superficial temporal artery,frontal branch of superficial temporal artery
blood_vasculature,UBERON:0035042,middle temporal artery,middle temporal artery
blood_vasculature,UBERON:0035261,posterior temporal artery,posterior temporal artery
blood_vasculature,UBERON:0001615,transverse facial artery,transverse facial artery
blood_vasculature,UBERON:0015157,zygomatico-orbital artery,zygomatico-orbital artery
blood_vasculature,UBERON:0007150,superior thyroid artery,superior thyroid artery
blood_vasculature,FMA:49483,Cricothyroid artery,cricothyroid artery
blood_vasculature,UBERON:0005608,hyoid artery,infrahyoid artery
blood_vasculature,FMA:49477,Sternocleidomastoid artery,sternocleidomastoid branch of superior thyroid artery
blood_vasculature,FMA:49480,Superior laryngeal artery,superior laryngeal artery
blood_vasculature,UBERON:0001532,internal carotid artery,internal carotid artery
blood_vasculature,UBERON:0001624,anterior cerebral artery,anterior cerebral artery
blood_vasculature,UBERON:0006764,anterior communicating artery,anterior communicating artery
blood_vasculature,,,anterior internal frontal artery
blood_vasculature,FMA:50330,Callosomarginal artery,callosomarginal artery
blood_vasculature,FMA:50329,Polar frontal artery,frontopolar artery
blood_vasculature,,,inferior parietal artery
blood_vasculature,,,medial lenticulostriate artery
blood_vasculature,,,middle internal frontal artery
blood_vasculature,,,orbitofrontal branch of anterior cerebral artery
blood_vasculature,,,paracentral artery
blood_vasculature,FMA:50337,Pericallosal artery,pericallosal artery
blood_vasculature,,,posterior internal frontal artery
blood_vasculature,FMA:50327,Distal medial striate artery,recurrent artery of Heubner
blood_vasculature,,,superior parietal artery
blood_vasculature,UBERON:0014696,anterior choroidal artery,anterior choroidal artery
blood_vasculature,UBERON:0007693,caroticotympanic artery,caroticotympanic artery
blood_vasculature,FMA:49817,Cavernous branch of internal carotid artery,cavernous branch of internal carotid artery
blood_vasculature,,,meningohypophyseal artery
blood_vasculature,,,dorsal meningeal artery
blood_vasculature,,,tentorial artery
blood_vasculature,,,dural artery
blood_vasculature,UBERON:0035492,inferior hypophysial artery,inferior hypophyseal artery
blood_vasculature,,,capillary plexus of posterior pituitary gland
blood_vasculature,FMA:0327576,Hypophysial short portal vein,short portal vessel of pituitary gland
blood_vasculature,,,secondary capillary plexus of anterior pituitary gland #2
blood_vasculature,UBERON:0001627,middle cerebral artery,middle cerebral artery
blood_vasculature,UBERON:0035225,anterior temporal artery,anterior temporal artery
blood_vasculature,FMA:77439,Artery of central sulcus,artery of central sulcus
blood_vasculature,UBERON:0035462,anterior parietal artery,artery of postcentral sulcus
blood_vasculature,FMA:50479,Artery of precentral sulcus,artery of precentral sulcus
blood_vasculature,FMA:50475,Branch of middle cerebral artery to angular gyrus,artery to angular gyrus
blood_vasculature,FMA:71479,Set of lenticulostriate arteries,lenticulostriate artery
blood_vasculature,,,middle temporal branch of middle cerebral artery
blood_vasculature,,,orbitofrontal branch of middle cerebral artery
blood_vasculature,UBERON:0035222,posterior parietal artery,posterior parietal artery
blood_vasculature,FMA:50469,Posterior temporal branch of middle cerebral artery,posterior temporal branch of middle cerebral artery
blood_vasculature,FMA:50437,Prefrontal artery,prefrontal artery
blood_vasculature,UBERON:0001619,ophthalmic artery,ophthalmic artery
blood_vasculature,FMA:49962,Anterior ciliary artery,anterior ciliary artery
blood_vasculature,UBERON:0012318,anterior ethmoidal artery,anterior ethmoidal artery
blood_vasculature,UBERON:0010251,anterior meningeal artery,anterior meningeal artery
blood_vasculature,UBERON:0001620,central retinal artery,central retinal artery
blood_vasculature,UBERON:0001623,dorsal nasal artery,dorsal nasal artery
blood_vasculature,UBERON:0002270,hyaloid artery,hyaloid artery
blood_vasculature,UBERON:0001622,lacrimal artery,lacrimal artery
blood_vasculature,UBERON:0014772,lateral palpebral artery,lateral palpebral artery
blood_vasculature,FMA:51965,Recurrent meningeal branch of lacrimal artery,recurrent meningeal artery
blood_vasculature,,,zygomaticofacial artery
blood_vasculature,,,zygomaticotemporal artery
blood_vasculature,FMA:70778,Set of long posterior ciliary arteries,long posterior ciliary artery
blood_vasculature,UBERON:0014773,medial palpebral artery,medial palpebral artery
blood_vasculature,UBERON:0012319,posterior ethmoidal artery,posterior ethmoidal artery
blood_vasculature,FMA:70777,Set of short posterior ciliary arteries,short posterior ciliary artery
blood_vasculature,UBERON:0005336,capillary layer of choroid,capillary layer of choroid
blood_vasculature,UBERON:0015160,supraorbital artery,supraorbital artery
blood_vasculature,UBERON:0012187,frontal artery,supratrochlear artery
blood_vasculature,UBERON:0001628,posterior communicating artery,posterior communicating artery
blood_vasculature,UBERON:0035404,superior hypophysial artery,superior hypophyseal artery
blood_vasculature,,,external primary capillary plexus of median eminence
blood_vasculature,,,internal primary capillary plexus of median eminence
blood_vasculature,FMA:0327575,Hypophysial long portal vein,long portal vessel of pituitary gland
blood_vasculature,,,secondary capillary plexus of anterior pituitary gland
blood_vasculature,UBERON:0001514,descending aorta,descending aorta
blood_vasculature,UBERON:0002345,descending thoracic aorta,descending thoracic aorta
blood_vasculature,UBERON:0001516,abdominal aorta,abdominal aorta
blood_vasculature,UBERON:0001640,celiac artery,celiac artery
blood_vasculature,UBERON:0005436,common hepatic artery,common hepatic artery
blood_vasculature,UBERON:0010132,gastroduodenal artery,gastroduodenal artery
blood_vasculature,FMA:61437,Retroduodenal artery,retroduodenal artery
blood_vasculature,UBERON:0035829,right gastroepiploic artery,right gastroepiploic artery
blood_vasculature,UBERON:0002070,superior pancreaticoduodenal artery,superior pancreaticoduodenal artery
blood_vasculature,FMA:14782,Anterior superior pancreaticoduodenal artery,anterior superior pancreaticoduodenal artery
blood_vasculature,FMA:14784,Posterior superior pancreaticoduodenal artery,posterior superior pancreaticoduodenal artery
blood_vasculature,FMA:70438,Supraduodenal artery,supraduodenal artery
blood_vasculature,UBERON:0015480,proper hepatic artery,proper hepatic artery
blood_vasculature,UBERON:0015481,left hepatic artery,left hepatic artery
blood_vasculature,FMA:70453,Lateral inferior segmental hepatic artery,lateral inferior segmental branch of left hepatic artery
blood_vasculature,FMA:70452,Lateral superior segmental hepatic artery,lateral superior segmental branch of left hepatic artery
blood_vasculature,FMA:70450,Medial inferior segmental hepatic artery,medial inferior segmental branch of left hepatic artery
blood_vasculature,FMA:70449,Medial superior segmental hepatic artery,medial superior segmental branch of left hepatic artery
blood_vasculature,,,segmental branch of hepatic artery
blood_vasculature,,,hepatic arteriole
blood_vasculature,UBERON:0015482,right hepatic artery,right hepatic artery
blood_vasculature,FMA:70441,Anterior segmental hepatic artery,anterior segmental branch of right hepatic artery
blood_vasculature,FMA:70443,Anterior inferior segmental hepatic artery,anterior inferior segmental branch of right hepatic artery
blood_vasculature,FMA:70442,Anterior superior segmental hepatic artery,anterior superior segmental branch of right hepatic artery
blood_vasculature,FMA:14835,Cystic artery,cystic artery
blood_vasculature,FMA:70444,Posterior segmental hepatic artery,posterior segmental branch of right hepatic artery
blood_vasculature,FMA:70446,Posterior inferior segmental hepatic artery,posterior inferior segmental branch of right hepatic artery
blood_vasculature,FMA:70445,Posterior superior segmental hepatic artery,posterior superior segmental branch of right hepatic artery
blood_vasculature,,,right artery of caudate lobe
blood_vasculature,FMA:14776,Right gastric artery,right gastric artery
blood_vasculature,UBERON:0001192,left gastric artery,left gastric artery
blood_vasculature,FMA:71544,Set of oesophageal branches of left gastric artery,esophageal branches of left gastric artery
blood_vasculature,UBERON:0001194,splenic artery,splenic artery
blood_vasculature,FMA:14793,Caudal pancreatic artery,caudal pancreatic artery
blood_vasculature,FMA:14787,Dorsal pancreatic artery,dorsal pancreatic artery
blood_vasculature,,,transverse pancreatic artery
blood_vasculature,FMA:14792,Great pancreatic artery,greater pancreatic artery
blood_vasculature,,,inferior lobar artery of spleen
blood_vasculature,UBERON:0035830,left gastroepiploic artery,left gastroepiploic artery
blood_vasculature,,,lobar artery of spleen
blood_vasculature,,,segmental branch of lobar artery of spleen
blood_vasculature,UBERON:0010399,spleen trabecular artery,spleen trabecular artery
blood_vasculature,UBERON:0010401,spleen central arteriole,spleen central arteriole
blood_vasculature,FMA:280919,Capillary network of spleen,capillary network of spleen
blood_vasculature,UBERON:0013132,penicillar arteriole,penicillar arteriole
blood_vasculature,FMA:70471,Pancreatic artery,pancreatic artery
blood_vasculature,,,interlobular artery of pancreas
blood_vasculature,,,lobular artery of pancreas
blood_vasculature,,,intralobular arteriole of pancreas
blood_vasculature,,,lobular capillary of pancreas
blood_vasculature,,,pancreatic islet afferent arteriole
blood_vasculature,FMA:280080,Capillary network of pancreatic islet,pancreatic islet capillary
blood_vasculature,,,periductal capillary of intercalated duct of pancreas
blood_vasculature,,,periductal capillary of intralobular duct of panceas
blood_vasculature,,,periductal branch of lobular artery of pancreas
blood_vasculature,,,periductal arteriole of interlobular duct of pancreas
blood_vasculature,,,periductal capillary of interlobular duct of pancreas
blood_vasculature,,,periductal branch of interlobular artery of pancreas
blood_vasculature,,,periductal arteriole of accessory pancreatic duct
blood_vasculature,,,periductal capillary of accessory pancreatic duct
blood_vasculature,,,periductal arteriole of main pancreatic duct
blood_vasculature,,,periductal capillary of main pancreatic duct
blood_vasculature,FMA:14794,Short gastric artery,short gastric artery
blood_vasculature,,,superior lobar artery of spleen
blood_vasculature,UBERON:0001191,common iliac artery,common iliac artery
blood_vasculature,UBERON:0001308,external iliac artery,external iliac artery
blood_vasculature,FMA:0323778,Common femoral artery,common femoral artery
blood_vasculature,UBERON:0007316,deep external pudendal artery,deep external pudendal artery
blood_vasculature,UBERON:0001355,deep femoral artery,deep femoral artery
blood_vasculature,FMA:20798,Lateral circumflex femoral artery,lateral femoral circumflex artery
blood_vasculature,FMA:20804,Ascending branch of lateral circumflex femoral artery,ascending branch of lateral femoral circumflex artery
blood_vasculature,FMA:20805,Descending branch of lateral circumflex femoral artery,descending branch of lateral femoral circumflex artery
blood_vasculature,UBERON:0001356,medial circumflex femoral artery,medial circumflex femoral artery
blood_vasculature,FMA:20811,Ascending branch of medial circumflex femoral artery,ascending branch of medial circumflex femoral artery
blood_vasculature,FMA:22420,Descending branch of medial circumflex femoral artery,descending branch of medial circumflex femoral artery
blood_vasculature,FMA:69460,Perforating femoral artery,perforating artery
blood_vasculature,UBERON:0009041,superficial circumflex iliac artery,superficial circumflex iliac artery
blood_vasculature,UBERON:0034964,superficial epigastric artery,superficial epigastric artery
blood_vasculature,UBERON:0007317,superficial external pudendal artery,superficial external pudendal artery
blood_vasculature,FMA:0323777,Superficial femoral artery,superficial femoral artery
blood_vasculature,FMA:22506,Descending genicular artery,descending genicular artery
blood_vasculature,FMA:22511,Articular branch of descending genicular artery,articular branch of descending genicular artery
blood_vasculature,UBERON:0015350,saphenous artery,saphenous branch of descending genicular artery
blood_vasculature,UBERON:0002250,popliteal artery,popliteal artery
blood_vasculature,UBERON:0001537,anterior tibial artery,anterior tibial artery
blood_vasculature,FMA:43904,Anterior lateral malleolar artery,anterior lateral malleolar artery
blood_vasculature,,,lateral supramalleolar artery
blood_vasculature,FMA:43905,Anterior medial malleolar artery,anterior medial malleolar artery
blood_vasculature,FMA:43902,Anterior tibial recurrent artery,anterior tibial recurrent artery
blood_vasculature,UBERON:0001539,dorsalis pedis artery,dorsalis pedis artery
blood_vasculature,UBERON:0034927,arcuate artery of foot,arcuate artery of foot
blood_vasculature,FMA:44650,Fourth dorsal metatarsal artery,fourth dorsal metatarsal artery
blood_vasculature,FMA:69613,Lateral part of dorsal digital artery of fifth toe,lateral dorsal digital artery of fifth digit of foot
blood_vasculature,FMA:69610,Lateral part of dorsal digital artery of fourth toe,lateral dorsal digital artery of fourth digit of foot
blood_vasculature,FMA:69589,Medial part of dorsal digital artery of fifth toe,medial dorsal digital artery of fifth digit of foot
blood_vasculature,FMA:44648,Second dorsal metatarsal artery,second dorsal metatarsal artery
blood_vasculature,FMA:69604,Lateral part of dorsal digital artery of second toe,lateral dorsal digital artery of second digit of foot
blood_vasculature,FMA:69587,Medial part of dorsal digital artery of third toe,medial dorsal digital artery of third digit of foot
blood_vasculature,FMA:44649,Third dorsal metatarsal artery,third dorsal metatarsal artery
blood_vasculature,FMA:69607,Lateral part of dorsal digital artery of third toe,lateral dorsal digital artery of third digit of foot
blood_vasculature,FMA:69588,Medial part of dorsal digital artery of fourth toe,medial dorsal digital artery of fourth digit of foot
blood_vasculature,FMA:69513,Deep plantar artery,deep plantar artery
blood_vasculature,FMA:44647,First dorsal metatarsal artery,first dorsal metatarsal artery
blood_vasculature,FMA:69601,Lateral part of dorsal digital artery of great toe,lateral dorsal digital artery of first digit of foot
blood_vasculature,FMA:69585,Medial part of dorsal digital artery of great toe,medial dorsal digital artery of first digit of foot
blood_vasculature,FMA:69586,Medial part of dorsal digital artery of second toe,medial dorsal digital artery of second digit of foot
blood_vasculature,FMA:44595,Lateral tarsal artery,lateral tarsal artery
blood_vasculature,UBERON:0001553,medial tarsal artery,medial tarsal artery
blood_vasculature,,,lateral calcaneal artery
blood_vasculature,FMA:43903,Posterior tibial recurrent artery,posterior tibial recurrent artery
blood_vasculature,FMA:43888,Inferior lateral genicular artery,lateral inferior genicular artery
blood_vasculature,FMA:22585,Superior lateral genicular artery,lateral superior genicular artery
blood_vasculature,,,lateral sural artery
blood_vasculature,FMA:43889,Inferior medial genicular artery,medial inferior genicular artery
blood_vasculature,FMA:22584,Superior medial genicular artery,medial superior genicular artery
blood_vasculature,,,medial sural artery
blood_vasculature,FMA:22536,Middle genicular artery,middle genicular artery
blood_vasculature,FMA:66421,Trunk of posterior tibial artery,tibial-peroneal trunk
blood_vasculature,UBERON:0001540,peroneal artery,peroneal artery
blood_vasculature,FMA:44630,Calcaneal branch of fibular artery,calcaneal branch of fibular artery
blood_vasculature,FMA:44034,Communicating branch of fibular artery,communicating branch of fibular artery
blood_vasculature,FMA:44033,Perforating branch of fibular artery,perforating branch of fibular artery
blood_vasculature,UBERON:0001538,posterior tibial artery,posterior tibial artery
blood_vasculature,FMA:43918,Circumflex fibular artery,circumflex fibular artery
blood_vasculature,FMA:43926,Lateral plantar artery,lateral plantar artery
blood_vasculature,FMA:43942,Plantar arch,plantar arch
blood_vasculature,FMA:43959,First plantar metatarsal artery,first plantar metatarsal artery
blood_vasculature,,,first common plantar digital artery
blood_vasculature,,,lateral proper plantar digital artery of first digit of foot
blood_vasculature,,,medial proper plantar digital artery of second digit of foot
blood_vasculature,,,medial proper plantar digital artery of first digit of foot
blood_vasculature,,,first posterior perforating branch of plantar arch
blood_vasculature,FMA:43962,Fourth plantar metatarsal artery,fourth plantar metatarsal artery
blood_vasculature,,,fourth common plantar digital artery
blood_vasculature,,,lateral proper plantar digital artery of fourth digit of foot
blood_vasculature,,,medial proper plantar digital artery of fifth digit of foot
blood_vasculature,FMA:43960,Second plantar metatarsal artery,second plantar metatarsal artery
blood_vasculature,,,second common plantar digital artery
blood_vasculature,,,lateral proper plantar digital artery of second digit of foot
blood_vasculature,,,medial proper plantar digital artery of third digit of foot
blood_vasculature,,,second posterior perforating branch of plantar arch
blood_vasculature,FMA:43961,Third plantar metatarsal artery,third plantar metatarsal artery
blood_vasculature,,,third common plantar digital artery
blood_vasculature,,,lateral proper plantar digital artery of third digit of foot
blood_vasculature,,,medial proper plantar digital artery of fourth digit of foot
blood_vasculature,,,third posterior perforating branch of plantar arch
blood_vasculature,,,superficial branch of lateral plantar artery
blood_vasculature,,,lateral proper plantar digital artery of fifth digit of foot
blood_vasculature,,,medial calcaneal artery
blood_vasculature,UBERON:0001541,medial plantar artery,medial plantar artery
blood_vasculature,FMA:43934,Deep medial plantar artery,deep branch of medial plantar artery
blood_vasculature,FMA:43933,Superficial medial plantar artery,superficial branch of medial plantar artery
blood_vasculature,UBERON:0009040,deep circumflex iliac artery,deep circumflex iliac artery
blood_vasculature,UBERON:0001354,inferior epigastric artery,inferior epigastric artery
blood_vasculature,FMA:70195,Artery of round ligament of uterus,artery of round ligament of uterus
blood_vasculature,UBERON:0034693,cremasteric artery,cremasteric artery
blood_vasculature,FMA:20701,Trunk of pubic part of inferior epigastric artery,pubic branch of inferior epigastric artery
blood_vasculature,UBERON:0001309,internal iliac artery,internal iliac artery
blood_vasculature,FMA:69797,Anterior division of internal iliac artery,anterior division of internal iliac artery
blood_vasculature,FMA:18871,Inferior gluteal artery,inferior gluteal artery
blood_vasculature,UBERON:0001311,inferior vesical artery,inferior vesical artery
blood_vasculature,FMA:20966,Prostatic part of inferior vesical artery,prostatic artery
blood_vasculature,FMA:18826,Middle rectal artery,middle rectal artery #2
blood_vasculature,,,seminal vesicle arterial branches of prostatic artery
blood_vasculature,UBERON:0007315,internal pudendal artery,internal pudendal artery
blood_vasculature,UBERON:0008320,common penile artery,common penile artery
blood_vasculature,,,bulbourethral artery
blood_vasculature,,,cavernosal artery
blood_vasculature,UBERON:0008321,deep artery of penis,deep artery of penis
blood_vasculature,UBERON:0015174,helicine artery of penis,helicine artery of penis
blood_vasculature,UBERON:0001340,dorsal artery of penis,dorsal artery of penis
blood_vasculature,UBERON:0008322,deep artery of clitoris,deep artery of clitoris
blood_vasculature,UBERON:0008323,dorsal artery of clitoris,dorsal artery of clitoris
blood_vasculature,UBERON:0001357,inferior rectal artery,inferior rectal artery
blood_vasculature,UBERON:0001358,perineal artery,perineal artery
blood_vasculature,FMA:20840,Transverse part of perineal artery,transverse perineal artery
blood_vasculature,FMA:20886,Posterior labial artery,posterior labial artery
blood_vasculature,FMA:20853,Posterior scrotal artery,posterior scrotal artery
blood_vasculature,UBERON:0034727,vestibular bulb artery,vestibular bulb artery
blood_vasculature,FMA:18826,Middle rectal artery,middle rectal artery
blood_vasculature,UBERON:0001314,obturator artery,obturator artery
blood_vasculature,FMA:70175,Trunk of acetabular part of obturator artery,acetabular branch of obturator artery
blood_vasculature,FMA:70150,Trunk of anterior part of obturator artery,anterior branch of obturator artery
blood_vasculature,,,posterior branch of obturator artery
blood_vasculature,UBERON:0001312,superior vesical artery,superior vesical artery
blood_vasculature,UBERON:0035640,middle vesical artery,middle vesical artery
blood_vasculature,UBERON:0001310,umbilical artery,umbilical artery
blood_vasculature,UBERON:0005192,deferent duct artery,deferent duct artery
blood_vasculature,UBERON:0002493,uterine artery,uterine artery
blood_vasculature,UBERON:0015173,helicine branch of uterine artery,arcuate artery of uterus
blood_vasculature,,,radial artery of uterus
blood_vasculature,UBERON:0015171,uterine spiral artery,uterine spiral artery
blood_vasculature,FMA:18832,Vaginal artery,vaginal artery
blood_vasculature,FMA:69798,Posterior division of internal iliac artery,posterior division of internal iliac artery
blood_vasculature,UBERON:0001313,iliolumbar artery,iliolumbar artery
blood_vasculature,FMA:18850,Iliac part of iliolumbar artery,iliac branch of iliolumbar artery
blood_vasculature,FMA:18849,Lumbar part of iliolumbar artery,lumbar branch of iliolumbar artery
blood_vasculature,FMA:18855,Lateral sacral artery,lateral sacral artery
blood_vasculature,UBERON:0001315,superior gluteal artery,superior gluteal artery
blood_vasculature,FMA:21121,Deep part of superior gluteal artery,deep superior gluteal artery
blood_vasculature,FMA:21120,Superficial part of superior gluteal artery,superficial superior gluteal artery
blood_vasculature,UBERON:0001183,inferior mesenteric artery,inferior mesenteric artery
blood_vasculature,UBERON:8410022,left colic artery,left colic artery
blood_vasculature,FMA:14828,Ascending branch of left colic artery,ascending branch of left colic artery
blood_vasculature,FMA:14824,Marginal colic artery,marginal artery of Drummond
blood_vasculature,,,vasa recta of colon
blood_vasculature,,,long branch of vasa recta of colon
blood_vasculature,,,submucosal artery of colon
blood_vasculature,,,recurrent muscular branch of submucosal artery of colon
blood_vasculature,,,submucosal arteriole of colon
blood_vasculature,,,mucosal arteriole of colon
blood_vasculature,,,mucosal capillary of colon
blood_vasculature,,,subserous artery of colon
blood_vasculature,,,short branch of vasa recta of colon
blood_vasculature,,,subserous artery of colon #2
blood_vasculature,,,meandering mesenteric artery
blood_vasculature,FMA:14829,Descending branch of left colic artery,descending branch of left colic artery
blood_vasculature,UBERON:0035180,sigmoid artery,sigmoid artery
blood_vasculature,UBERON:0035040,superior rectal artery,superior rectal artery
blood_vasculature,UBERON:0012255,inferior phrenic artery,inferior phrenic artery
blood_vasculature,UBERON:0001198,superior suprarenal artery,superior suprarenal artery
blood_vasculature,UBERON:0035529,left common iliac artery,left common iliac artery
blood_vasculature,FMA:14747,Left inferior phrenic artery,left inferior phrenic artery
blood_vasculature,FMA:14742,Left first lumbar artery,left lumbar artery 1
blood_vasculature,FMA:14743,Left second lumbar artery,left lumbar artery 2
blood_vasculature,FMA:14744,Left third lumbar artery,left lumbar artery 3
blood_vasculature,FMA:14745,Left fourth lumbar artery,left lumbar artery 4
blood_vasculature,FMA:14903,Left fifth lumbar artery,left lumbar artery 5
blood_vasculature,FMA:14756,Left middle suprarenal artery,left middle suprarenal artery
blood_vasculature,FMA:14763,Left ovarian artery,left ovarian artery
blood_vasculature,UBERON:0001186,left renal artery,left renal artery
blood_vasculature,UBERON:0001189,left testicular artery,left testicular artery
blood_vasculature,UBERON:0006636,lumbar artery,lumbar artery
blood_vasculature,,,segmental spinal artery #3
blood_vasculature,UBERON:0005464,median sacral artery,median sacral artery
blood_vasculature,UBERON:0012173,middle suprarenal artery,middle suprarenal artery
blood_vasculature,UBERON:0001190,ovarian artery,ovarian artery
blood_vasculature,UBERON:0001184,renal artery,renal artery
blood_vasculature,FMA:70501,Anterior inferior segmental renal artery,anterior inferior segmental renal artery
blood_vasculature,FMA:70500,Anterior superior segmental renal artery,anterior superior segmental renal artery
blood_vasculature,FMA:70502,Inferior segmental renal artery,inferior segmental renal artery
blood_vasculature,UBERON:0002056,inferior suprarenal artery,inferior suprarenal artery
blood_vasculature,FMA:70503,Posterior segmental renal artery,posterior segmental renal artery
blood_vasculature,FMA:70494,Segmental renal artery,segmental renal artery
blood_vasculature,UBERON:0009885,interlobar artery,interlobar renal artery
blood_vasculature,UBERON:0001552,kidney arcuate artery,arcuate renal artery
