s_iri,relationship,t_iri
http://purl.obolibrary.org/obo/CL_0002543,is_a,http://purl.obolibrary.org/obo/CL_0000071
http://purl.obolibrary.org/obo/CL_1000412,is_a,http://purl.obolibrary.org/obo/CL_0000071
http://purl.obolibrary.org/obo/CL_0002144,is_a,http://purl.obolibrary.org/obo/CL_0000071
http://purl.obolibrary.org/obo/CL_1000413,is_a,http://purl.obolibrary.org/obo/CL_0000071
http://purl.obolibrary.org/obo/CL_1000414,is_a,http://purl.obolibrary.org/obo/CL_0000071
https://purl.org/ccf/ASCTB-TEMP_opc35,is_a,http://purl.obolibrary.org/obo/CL_0002453
https://purl.org/ccf/ASCTB-TEMP_opc36,is_a,http://purl.obolibrary.org/obo/CL_0002453
https://purl.org/ccf/ASCTB-TEMP_opc34,is_a,http://purl.obolibrary.org/obo/CL_0002453
https://purl.org/ccf/ASCTB-TEMP_opc32,is_a,http://purl.obolibrary.org/obo/CL_0002453
https://purl.org/ccf/ASCTB-TEMP_opc33,is_a,http://purl.obolibrary.org/obo/CL_0002453
https://purl.org/ccf/ASCTB-TEMP_astro59,is_a,http://purl.obolibrary.org/obo/CL_0000127
https://purl.org/ccf/ASCTB-TEMP_astro61,is_a,http://purl.obolibrary.org/obo/CL_0000127
https://purl.org/ccf/ASCTB-TEMP_astro60,is_a,http://purl.obolibrary.org/obo/CL_0000127
https://purl.org/ccf/ASCTB-TEMP_astro63,is_a,http://purl.obolibrary.org/obo/CL_0000127
https://purl.org/ccf/ASCTB-TEMP_astro62,is_a,http://purl.obolibrary.org/obo/CL_0000127
https://purl.org/ccf/ASCTB-TEMP_astro56,is_a,http://purl.obolibrary.org/obo/CL_0000127
https://purl.org/ccf/ASCTB-TEMP_astro64,is_a,http://purl.obolibrary.org/obo/CL_0000127
http://purl.obolibrary.org/obo/CL_0000743,is_a,http://purl.obolibrary.org/obo/CL_0000743
https://purl.org/ccf/ASCTB-TEMP_fbl25,is_a,http://purl.obolibrary.org/obo/CL_0000057
https://purl.org/ccf/ASCTB-TEMP_fbl26,is_a,http://purl.obolibrary.org/obo/CL_0000057
https://purl.org/ccf/ASCTB-TEMP_fbl29,is_a,http://purl.obolibrary.org/obo/CL_0000057
http://purl.obolibrary.org/obo/CL_0002410,is_a,http://purl.obolibrary.org/obo/CL_0000057
https://purl.org/ccf/ASCTB-TEMP_fbl28,is_a,http://purl.obolibrary.org/obo/CL_0000057
https://purl.org/ccf/ASCTB-TEMP_fbl31,is_a,http://purl.obolibrary.org/obo/CL_0000057
https://purl.org/ccf/ASCTB-TEMP_fbl24,is_a,http://purl.obolibrary.org/obo/CL_0000057
https://purl.org/ccf/ASCTB-TEMP_fbl27,is_a,http://purl.obolibrary.org/obo/CL_0000057
https://purl.org/ccf/ASCTB-TEMP_fbl30,is_a,http://purl.obolibrary.org/obo/CL_0000057
https://purl.org/ccf/ASCTB-TEMP_bcell0,is_a,http://purl.obolibrary.org/obo/CL_0000236
http://purl.obolibrary.org/obo/CL_0002064,is_a,http://purl.obolibrary.org/obo/CL_1001599
https://purl.org/ccf/ASCTB-TEMP_endothelial-cell-of-bladder,is_a,http://purl.obolibrary.org/obo/CL_2000040
https://purl.org/ccf/ASCTB-TEMP_llc275,is_a,http://purl.obolibrary.org/obo/CL_0000402
https://purl.org/ccf/ASCTB-TEMP_llc268,is_a,http://purl.obolibrary.org/obo/CL_0000402
https://purl.org/ccf/ASCTB-TEMP_llc264,is_a,http://purl.obolibrary.org/obo/CL_0000402
https://purl.org/ccf/ASCTB-TEMP_llc274,is_a,http://purl.obolibrary.org/obo/CL_0000402
https://purl.org/ccf/ASCTB-TEMP_llc269,is_a,http://purl.obolibrary.org/obo/CL_0000402
https://purl.org/ccf/ASCTB-TEMP_llc270,is_a,http://purl.obolibrary.org/obo/CL_0000402
https://purl.org/ccf/ASCTB-TEMP_llc271,is_a,http://purl.obolibrary.org/obo/CL_0000402
https://purl.org/ccf/ASCTB-TEMP_llc266,is_a,http://purl.obolibrary.org/obo/CL_0000402
https://purl.org/ccf/ASCTB-TEMP_llc267,is_a,http://purl.obolibrary.org/obo/CL_0000402
https://purl.org/ccf/ASCTB-TEMP_llc273,is_a,http://purl.obolibrary.org/obo/CL_0000402
https://purl.org/ccf/ASCTB-TEMP_llc272,is_a,http://purl.obolibrary.org/obo/CL_0000402
https://purl.org/ccf/ASCTB-TEMP_llc265,is_a,http://purl.obolibrary.org/obo/CL_0000402
https://purl.org/ccf/ASCTB-TEMP_splat425,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat389,is_a,http://purl.obolibrary.org/obo/CL_0000540
http://purl.obolibrary.org/obo/CL_0000745,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat313,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat238,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat373,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat354,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat409,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat369,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat340,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat416,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat412,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat343,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat335,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat367,is_a,http://purl.obolibrary.org/obo/CL_0000540
http://purl.obolibrary.org/obo/CL_0000740,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat380,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat347,is_a,http://purl.obolibrary.org/obo/CL_0000540
http://purl.obolibrary.org/obo/CL_0000129,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat363,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat368,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_misc176,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_misc314,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat235,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat422,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat397,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat388,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat377,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat341,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat344,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat358,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat410,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat364,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat413,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat411,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat353,is_a,http://purl.obolibrary.org/obo/CL_0000540
http://purl.obolibrary.org/obo/CL_0000636,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat394,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat350,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat399,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat424,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat403,is_a,http://purl.obolibrary.org/obo/CL_0000540
http://purl.obolibrary.org/obo/CL_0000099,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat339,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat395,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat396,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat387,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat348,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat362,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat391,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat366,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat400,is_a,http://purl.obolibrary.org/obo/CL_0000540
http://purl.obolibrary.org/obo/CL_0000748,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat421,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat415,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat334,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat378,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat351,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat237,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat374,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat382,is_a,http://purl.obolibrary.org/obo/CL_0000540
https://purl.org/ccf/ASCTB-TEMP_splat423,is_a,http://purl.obolibrary.org/obo/CL_0000540
