pubyear,pubmed_pubs,cxg_pubs,cellmarker_pubs,asctb_pubs
1781,1,,,
1785,4,,,
1786,6,,,
1787,3,,,
1788,3,,,
1789,1,,,
1790,7,,,
1791,2,,,
1792,3,,,
1795,1,,,
1796,1,,,
1797,6,,,
1798,2,,,
1799,13,,,
1800,19,,,
1801,8,,,
1802,9,,,
1803,7,,,
1804,10,,,
1805,18,,,
1806,10,,,
1807,15,,,
1808,6,,,
1809,13,,,
1810,12,,,
1811,14,,,
1812,10,,,
1813,20,,,
1814,24,,,
1815,14,,,
1816,29,,,
1817,15,,,
1818,20,,,
1819,13,,,
1820,19,,,
1821,23,,,
1822,19,,,
1823,23,,,
1824,21,,,
1825,15,,,
1826,26,,,
1827,19,,,
1828,37,,,
1829,43,,,
1830,50,,,
1831,29,,,
1832,20,,,
1833,23,,,
1834,26,,,
1835,31,,,
1836,16,,,
1837,15,,,
1838,20,,,
1839,16,,,
1840,30,,,
1841,86,,,
1842,89,,,
1843,100,,,
1844,60,,,
1845,59,,,
1846,77,,,
1847,53,,,
1848,49,,,
1849,74,,,
1850,64,,,
1851,55,,,
1852,68,,,
1853,49,,,
1854,48,,,
1855,69,,,
1856,73,,,
1857,41,,,
1858,78,,,
1859,53,,,
1860,70,,,
1861,41,,,
1862,36,,,
1863,31,,,
1864,33,,,
1865,39,,,
1866,82,,,
1867,79,,,
1868,63,,,
1869,92,,,
1870,76,,,
1871,88,,,
1872,141,,,
1873,127,,,
1874,136,,,
1875,140,,,
1876,125,,,
1877,115,,,
1878,183,,,
1879,134,,,
1880,120,,,
1881,149,,,
1882,120,,,
1883,113,,,
1884,119,,,
1885,114,,,
1886,146,,,
1887,169,,,
1888,131,,,
1889,159,,,
1890,136,,,
1891,137,,,
1892,171,,,
1893,172,,,
1894,207,,,
1895,182,,,
1896,208,,,
1897,214,,,
1898,223,,,
1899,193,,,
1900,175,,,
1901,212,,,
1902,177,,,
1903,219,,,
1904,236,,,
1905,202,,,
1906,192,,,
1907,230,,,
1908,294,,,
1909,321,,,
1910,283,,,
1911,290,,,
1912,303,,,
1913,274,,,
1914,266,,,
1915,220,,,
1916,187,,,
1917,199,,,
1918,172,,,
1919,174,,,
1920,188,,,
1921,235,,,
1922,204,,,
1923,258,,,
1924,259,,,
1925,286,,,
1926,303,,,
1927,335,,,
1928,275,,,
1929,297,,,
1930,335,,,
1931,307,,,
1932,314,,,
1933,307,,,
1934,282,,,
1935,322,,,
1936,309,,,
1937,307,,,
1938,303,,,
1939,290,,,
1940,231,,,
1941,282,,,
1942,241,,,
1943,216,,,
1944,190,,,
1945,2189,,,
1946,6893,,,
1947,8107,,,
1948,9017,,,
1949,8709,,,
1950,12155,,,
1951,14007,,,
1952,15271,,,1
1953,16058,,,
1954,16548,,,
1955,17274,,,
1956,16849,,,
1957,17651,,,
1958,17285,,,1
1959,18221,,,
1960,17748,,,
1961,19986,,,
1962,21071,,,
1963,27886,,,
1964,36416,,,
1965,32677,,,
1966,34089,,,
1967,39932,,,
1968,46099,,,
1969,50133,,,1
1970,51135,,,
1971,55340,,,
1972,58161,,,
1973,59613,,,
1974,61470,,,
1975,60401,,,1
1976,57485,,,1
1977,58798,,,
1978,60537,,1,1
1979,63994,,2,1
1980,64620,,,
1981,65212,,1,1
1982,68497,,1,2
1983,71438,,1,
1984,75162,,4,1
1985,77104,,2,2
1986,77636,,,3
1987,78949,,,1
1988,80631,,3,3
1989,84882,,10,5
1990,87347,,19,3
1991,86109,,10,1
1992,86745,,10,
1993,88135,,3,1
1994,91534,,8,2
1995,94372,,11,6
1996,95364,,,3
1997,96695,,14,1
1998,99450,,14,2
1999,99514,,21,2
2000,104895,,23,4
2001,105023,,26,6
2002,107670,,33,4
2003,114387,,24,7
2004,119323,,34,8
2005,124430,,32,6
2006,129535,,43,10
2007,133738,,39,10
2008,139676,,54,13
2009,144807,,81,15
2010,151875,,89,14
2011,158804,,106,9
2012,172154,,124,11
2013,181706,,151,14
2014,188495,,177,15
2015,193971,,173,14
2016,193013,,137,19
2017,195421,,154,19
2018,202447,3,84,27
2019,211480,4,3,30
2020,228935,12,,24
2021,242865,14,,15
2022,234436,14,,3
2023,52676,2,,1
