organ,ardc_converted,cihr_converted,ec_converted,kaken_converted,nih_converted,nsf_converted
blood vasculature,1947038410.7372365,0.0,2864292.2957198555,478637.947180072,4585407.0,2939632581.0
bone marrow,763369440.8960594,13259843.054550266,209817035.78666812,874643547.1396378,1302697714.0,1891407031.0
brain,1873361481.033192,137575676.39462677,4145944813.3131638,4309528622.13554,12677817438.0,5693735861.0
eye,343188660.8726727,20345718.400685564,1053460296.9589671,1023132338.9514917,1733399461.0,4090451829.0
fallopian tube,317562288.54292977,0.0,5700042.761151773,25307627.839978468,56312695.0,1919012242.0
heart,1244839813.3419583,160900846.32916278,2199690627.0043335,1505032689.6800265,6389275807.0,3151098662.0
kidney,481300595.3535403,22003833.65782119,566944165.2130022,1052889413.7420164,2571090717.0,428967328.0
knee,96506817.75138114,4005468.1225591926,109795367.53728253,196981780.2486528,241688763.0,264237552.0
large intestine,2202622468.253972,0.0,4646794.043778229,59680068.27713407,131295738.0,59237639386.0
liver,278793954.6546708,128564824.35245219,18003210379.021088,2093885123.1721542,12120043387.0,559154450.0
lung,590666713.3982134,57502762.267340295,708065189.7814054,1582075604.247572,5306800593.0,1040221369.0
lymph node,345818098.9339542,1254000.0479976635,55501908.861044966,410770390.0657066,835722679.0,5064136863.0
lymph vasculature,75573224.2842427,0.0,0.0,28067088.9150587,0.0,275478485.0
main bronchus,285636866.2202932,0.0,0.0,3342252.586362276,0.0,16904983552.0
muscular system,4765955701.600437,0.0,21871483.238443665,203943667.26021484,32784968.0,91682007165.0
ovary,104570502.07661183,3667175.6906584646,36773882.165338665,331769060.3058936,522757477.0,155404199.0
pancreas,55424017.83793134,6475765.909783327,134472313.45622814,364198138.7598485,1098078737.0,75992329.0
pelvis,6473386.225182057,0.0,4495388.816684842,21581073.2412116,99421568.0,17840048.0
peripheral nervous system,4106268238.2064714,0.0,17977376.76974326,36414355.243660636,220336817.0,92594031948.0
placenta,73898069.23343885,25484893.285828557,152096551.41822237,201593755.70285594,537297528.0,32271259.0
prostate,212314077.24353442,16798601.783246502,317843336.3704176,522814503.44464,1006932572.0,385841548.0
skeletal,189137621.10478592,120703280.22188258,590682929.039263,1028128607.3229139,2237791114.0,799879931.0
skin,355154230.87249196,19621283.14194989,1252143511.6245322,1289075263.178284,2143804858.0,1885483887.0
small intestine,1271367550.6127033,389006.2944909565,9004079.743766572,213412561.6171848,204154540.0,33779808886.0
spinal cord,450669418.71227354,46699649.680111334,200696263.51111558,529243963.18564343,599146611.0,839038372.0
spleen,7079231.215372712,1208493.8955488203,35367381.96401181,191996715.0470628,353942530.0,32641750.0
thymus,21596410.361914266,2477524.6209944263,48758008.47027451,340890188.4066589,3049690055.0,34335296.0
trachea,563718.7661429379,0.0,13496707.466922231,36951997.827513255,95242821.0,18454065.0
ureter,544029.885125247,151741.59692120075,173753.02529182946,10812928.572233886,40886292.0,3490708.0
urinary bladder,328413111.7027296,0.0,0.0,87454286.13051817,332243114.0,166878621.0
uterus,68744457.7021309,901968.1866491633,19304420.23912848,156536198.744217,240921170.0,32225240.0
