organ,total_cost
blood vasculature,4894599328.980137
bone marrow,5055194611.876915
brain,28837963891.876522
eye,8263978305.183817
fallopian tube,2323894896.14406
heart,14650838445.35548
kidney,5123196052.96638
knee,913215748.6598756
large intestine,61635884454.57488
liver,33183652118.200363
lung,9285332231.69453
lymph node,6713203939.908703
lymph vasculature,379118798.1993014
main bronchus,17193962670.806656
muscular system,96706562985.09909
ovary,1154942296.2385025
pancreas,1734641301.9637914
pelvis,149811464.2830785
peripheral nervous system,96975028735.21988
placenta,1022642056.6403457
prostate,2462544638.8418384
skeletal,4966323482.688846
skin,6945283033.817258
small intestine,35478136624.26814
spinal cord,2665494278.0891438
spleen,622236102.1219962
thymus,3497747482.8598423
trachea,164709310.0605784
ureter,56059453.07957216
urinary bladder,914989132.8332478
uterus,518633454.87212557
