identifier,organ,ct
grid.410540.4,breast,5
grid.32224.35,spinal cord,1
grid.415224.4,breast,10
grid.477522.1,breast,2
grid.1058.c,brain,4
grid.43582.38,brain,5
grid.412530.1,breast,1
grid.4462.4,heart,1
grid.417972.e,kidney,3
grid.89336.37,kidney,1
grid.89957.3a,lymph node,1
grid.258803.4,skin,10
grid.462496.b,liver,4
grid.411136.0,liver,3
grid.11914.3c,brain,1
grid.476592.b,liver,3
grid.415502.7,skin,2
grid.41156.37,breast,12
grid.450253.5,Skeletal,4
grid.412204.1,liver,4
grid.31501.36,liver,39
grid.433807.b,ovary,1
grid.265436.0,spleen,5
grid.418825.2,ovary,1
grid.415014.5,breast,1
grid.410877.d,liver,1
grid.410790.b,breast,2
grid.460924.d,prostate,1
grid.258164.c,heart,47
grid.91354.3a,knee,1
grid.412458.e,knee,5
grid.1049.c,knee,1
grid.119375.8,breast,3
grid.19373.3f,breast,1
grid.6571.5,ovary,1
grid.1957.a,brain,3
grid.13992.30,prostate,1
grid.7637.5,brain,3
grid.136593.b,brain,5
grid.412438.8,knee,1
grid.240988.f,eye,1
grid.411583.a,liver,4
grid.415464.6,lung,9
grid.497282.2,lung,6
grid.416367.1,lung,1
grid.416355.0,lymph node,2
grid.412431.1,liver,1
grid.506172.7,lung,5
grid.459720.d,liver,1
grid.280747.e,liver,7
grid.411154.4,liver,1
grid.214458.e,brain,18
grid.412219.d,skin,6
grid.468198.a,breast,7
grid.413597.d,kidney,7
grid.415398.2,heart,7
grid.428392.6,embryo,1
grid.33199.31,prostate,6
grid.6530.0,prostate,2
grid.411190.c,kidney,4
grid.413984.3,lung,9
grid.254271.7,eye,3
grid.11598.34,lung,8
grid.7870.8,heart,3
grid.414953.e,prostate,3
grid.5685.e,brain,2
grid.8195.5,liver,1
grid.254567.7,breast,6
grid.11135.37,heart,7
grid.416077.3,lymph node,6
grid.59062.38,breast,3
grid.427788.6,urinary bladder,3
grid.15485.3d,Tonsil,1
grid.19006.3e,kidney,7
grid.16890.36,breast,1
grid.411600.2,pancreas,7
grid.5570.7,heart,18
grid.6572.6,peripheral nervous system,1
grid.11875.3a,spinal cord,4
grid.444416.7,urinary bladder,2
grid.5645.2,kidney,4
grid.17088.36,heart,22
grid.452270.6,brain,3
grid.412259.9,skin,1
grid.21604.31,brain,2
grid.415967.8,lung,7
grid.444644.2,liver,5
grid.1026.5,kidney,1
grid.26597.3f,Skeletal,4
grid.411742.5,lung,3
grid.14013.37,breast,6
grid.413390.c,brain,1
grid.412601.0,lung,1
grid.42687.3f,liver,4
grid.26999.3d,kidney,3
grid.466172.0,heart,2
grid.261331.4,breast,10
grid.416263.4,lymph node,3
grid.412344.4,liver,6
grid.214458.e,knee,11
grid.452624.3,lung,1
grid.239424.a,liver,1
grid.264727.2,heart,1
grid.10267.32,placenta,9
grid.411851.8,eye,2
grid.416861.c,brain,9
grid.419332.e,liver,2
grid.422418.9,breast,1
grid.52996.31,brain,1
grid.412997.0,ovary,7
grid.11417.32,fetus,2
grid.280669.3,breast,1
grid.412914.b,heart,1
grid.412668.f,skin,1
grid.418280.7,Tonsil,1
grid.415131.3,breast,12
grid.440923.8,lung,1
grid.8532.c,heart,2
grid.411074.7,adipose,6
grid.416077.3,adipose,3
grid.8051.c,heart,1
grid.62560.37,breast,14
grid.8391.3,eye,2
grid.5254.6,brain,3
grid.460933.b,skin,4
grid.260463.5,prostate,3
grid.222754.4,liver,9
grid.46072.37,breast,2
grid.413794.c,liver,1
grid.10417.33,skin,2
grid.420421.1,heart,1
grid.4491.8,liver,2
grid.420061.1,lung,4
grid.11914.3c,breast,8
grid.264383.8,liver,2
grid.15090.3d,eye,2
grid.5386.8,knee,13
grid.413839.4,lung,7
grid.419519.1,breast,2
grid.11175.33,liver,2
grid.7177.6,ureter,1
grid.444644.2,skin,3
grid.413320.7,breast,1
grid.416797.a,lung,1
grid.198530.6,skin,8
grid.430017.1,lymph node,9
grid.8547.e,lymph node,1
grid.272242.3,lymph node,9
grid.17866.3e,Skeletal,2
grid.414447.6,lung,1
grid.420545.2,skin,5
grid.415946.b,spinal cord,3
grid.83440.3b,eye,2
grid.411582.b,ovary,2
grid.7130.5,pancreas,1
grid.5645.2,breast,6
grid.16058.3a,Skeletal,1
grid.14005.30,lung,2
grid.419638.1,liver,1
grid.410804.9,eye,1
grid.5640.7,prostate,1
grid.10420.37,liver,3
grid.5613.1,breast,1
grid.267871.d,brain,1
grid.415050.5,knee,6
grid.10388.32,prostate,11
grid.459723.e,breast,1
grid.10388.32,lung,1
grid.5216.0,lung,4
grid.254270.6,embryo,4
grid.416300.0,placenta,3
grid.442972.e,breast,2
grid.414603.4,skin,1
grid.4391.f,adipose,1
grid.33489.35,breast,7
grid.8591.5,lung,2
grid.5841.8,liver,1
grid.170430.1,brain,1
grid.419801.5,brain,1
grid.7831.d,heart,1
grid.415468.a,breast,1
grid.464402.0,lung,3
grid.47100.32,breast,23
grid.464837.a,placenta,1
grid.35403.31,breast,4
grid.263761.7,breast,4
grid.412808.7,breast,1
grid.418306.8,liver,1
grid.454774.1,embryo,5
grid.9486.3,embryo,1
grid.258164.c,breast,24
grid.185448.4,brain,4
grid.418245.e,breast,1
grid.412745.1,kidney,2
grid.411818.5,heart,6
grid.450078.e,Skeletal,6
grid.452222.1,heart,1
grid.429222.d,breast,14
grid.411258.b,skin,1
grid.488501.0,liver,1
grid.417689.5,liver,6
grid.424736.0,embryo,2
grid.411705.6,placenta,20
grid.10863.3c,heart,1
grid.417144.3,kidney,1
grid.5361.1,lung,7
grid.294071.9,brain,1
grid.413957.d,kidney,1
grid.417106.5,spinal cord,1
grid.6835.8,brain,2
grid.419385.2,heart,4
grid.418368.0,eye,3
grid.412505.7,liver,3
grid.412579.c,lung,3
grid.50956.3f,heart,3
grid.412090.e,liver,1
grid.8065.b,lung,1
grid.7737.4,lung,1
grid.7107.1,Skeletal,1
grid.410658.e,brain,1
grid.89336.37,knee,1
grid.410775.0,brain,1
grid.439224.a,Skeletal,1
grid.414734.1,lung,2
grid.5371.0,prostate,4
grid.412211.5,kidney,9
grid.415246.0,skin,6
grid.13291.38,prostate,1
grid.420254.5,liver,1
grid.412807.8,liver,5
grid.418194.1,brain,2
grid.414546.6,knee,1
grid.410749.f,liver,1
grid.14709.3b,breast,12
grid.16821.3c,lung,10
grid.10392.39,embryo,4
grid.452404.3,lung,7
grid.7177.6,heart,2
grid.412204.1,adipose,3
grid.411796.c,heart,1
grid.1019.9,breast,5
grid.7634.6,prostate,15
grid.412679.f,breast,6
grid.34477.33,eye,2
grid.415166.1,breast,1
grid.428125.8,bone marrow,2
grid.263826.b,liver,1
grid.488530.2,liver,1
grid.483323.d,knee,1
grid.12380.38,skin,5
grid.412656.2,embryo,1
grid.5361.1,liver,31
grid.416201.0,prostate,2
grid.416025.4,knee,1
grid.412571.4,ovary,4
grid.19096.37,placenta,1
grid.440154.0,embryo,4
grid.7143.1,lung,2
grid.412985.3,liver,2
grid.506261.6,breast,12
grid.415689.7,skin,1
grid.6142.1,knee,1
grid.265893.3,eye,1
grid.278276.e,ureter,7
grid.415915.d,heart,1
grid.412734.7,lymph node,2
grid.27530.33,knee,2
grid.442675.6,kidney,3
grid.45203.30,brain,12
grid.411281.f,fetus,1
grid.214572.7,breast,1
grid.266102.1,kidney,2
grid.4367.6,brain,16
grid.412165.5,skin,2
grid.255178.c,eye,4
grid.5807.a,lung,8
grid.258676.8,embryo,22
grid.475010.7,heart,1
grid.257022.0,skin,2
grid.240324.3,breast,1
grid.410549.d,heart,3
grid.460968.5,lymph node,5
grid.413454.3,adipose,9
grid.420082.c,breast,2
grid.511852.a,knee,1
grid.21925.3d,spinal cord,2
grid.1022.1,eye,1
grid.444465.3,liver,1
grid.460094.f,heart,1
grid.411816.b,embryo,12
grid.411600.2,breast,6
grid.1003.2,pancreas,4
grid.4616.5,skin,1
grid.94365.3d,eye,1
grid.10985.35,heart,1
grid.420087.9,breast,1
grid.222754.4,spinal cord,8
grid.256885.4,liver,6
grid.263826.b,lung,1
grid.411351.3,liver,1
grid.9486.3,liver,2
grid.412890.6,breast,8
grid.39381.30,kidney,10
grid.5335.0,breast,10
grid.412921.d,pancreas,1
grid.443073.7,brain,1
grid.5253.1,pancreas,1
grid.440742.1,embryo,3
grid.49606.3d,uterus,3
grid.5216.0,heart,2
grid.258676.8,adipose,4
grid.449257.9,breast,1
grid.412604.5,lung,5
grid.418795.6,embryo,3
grid.412460.5,heart,3
grid.10858.34,breast,2
grid.25879.31,Skeletal,1
grid.7776.1,kidney,5
grid.412131.4,Skeletal,5
grid.410726.6,embryo,5
grid.83440.3b,prostate,6
grid.412112.5,liver,17
grid.1016.6,embryo,3
grid.416410.6,lung,3
grid.410543.7,lung,8
grid.32224.35,liver,1
grid.418388.e,knee,2
grid.413933.f,prostate,2
grid.4708.b,peripheral nervous system,1
grid.410899.d,Skeletal,2
grid.411583.a,eye,1
grid.420176.6,brain,1
grid.5326.2,skin,7
grid.5841.8,kidney,11
grid.411958.0,brain,2
grid.411650.7,knee,1
grid.413839.4,urinary bladder,1
grid.261112.7,lung,1
grid.419750.e,liver,7
grid.418190.5,eye,1
grid.452944.a,lung,2
grid.414655.7,breast,1
grid.59056.3f,liver,5
grid.462341.6,adipose,2
grid.412830.c,heart,1
grid.263333.4,heart,1
grid.5330.5,lung,2
grid.420091.e,liver,7
grid.8379.5,breast,11
grid.5475.3,skin,1
grid.5734.5,skin,9
grid.240206.2,liver,1
grid.414537.0,breast,10
grid.7841.a,brain,1
grid.16821.3c,fetus,4
grid.7942.8,breast,2
grid.413838.5,uterus,1
grid.207374.5,liver,2
grid.412524.4,lung,2
grid.8534.a,eye,3
grid.7914.b,breast,28
grid.258164.c,lung,3
grid.449799.e,liver,2
grid.416267.0,brain,1
grid.511345.7,liver,5
grid.31501.36,embryo,29
grid.256753.0,Tonsil,10
grid.415311.3,Tonsil,3
grid.411252.1,skin,1
grid.7841.a,skin,6
grid.14709.3b,prostate,9
grid.6852.9,heart,1
grid.69566.3a,embryo,14
grid.250008.f,bone marrow,1
grid.428122.f,brain,1
grid.414906.e,lung,2
grid.461843.c,bone marrow,1
grid.10383.39,liver,2
grid.11586.3b,ovary,8
grid.414852.e,adipose,1
grid.435357.3,liver,1
grid.415079.e,lung,11
grid.32224.35,skin,1
grid.413737.5,liver,1
grid.21729.3f,skin,1
