identifier,organ,ct
grid.5570.7,liver,2
grid.35349.38,heart,1
grid.452940.e,liver,5
grid.411859.0,small intestine,2
grid.452244.1,brain,1
grid.94365.3d,brain,8
grid.475435.4,prostate,3
grid.10388.32,breast,67
grid.464402.0,liver,3
grid.1005.4,prostate,11
grid.7048.b,eye,4
grid.88832.39,knee,1
grid.13097.3c,kidney,2
grid.10939.32,lung,6
grid.1029.a,breast,16
grid.416782.e,knee,2
grid.7119.e,adipose,1
grid.419085.1,eye,2
grid.414698.6,thymus,3
grid.419773.f,lymph node,10
grid.1013.3,pancreas,3
grid.11598.34,brain,4
grid.416153.4,liver,1
grid.415235.4,skin,1
grid.488433.0,liver,10
grid.412255.5,skin,8
grid.10223.32,ovary,1
grid.7345.5,breast,1
grid.5386.8,prostate,12
grid.168645.8,breast,1
grid.21925.3d,eye,1
grid.4367.6,lung,1
grid.411559.d,lung,1
grid.454211.7,liver,4
grid.412633.1,breast,26
grid.69775.3a,brain,2
grid.261241.2,placenta,4
grid.415992.2,lung,2
grid.268132.c,breast,1
grid.27860.3b,eye,1
grid.414184.c,Skeletal,1
grid.417390.8,breast,2
grid.469999.2,lung,5
grid.415239.8,Skeletal,3
grid.136593.b,embryo,1
grid.464402.0,breast,5
grid.412793.a,breast,2
grid.461714.1,breast,7
grid.25073.33,eye,1
grid.415310.2,heart,18
grid.462420.6,breast,1
grid.488566.1,breast,2
grid.420451.6,breast,13
grid.419129.6,liver,5
grid.422712.0,kidney,4
grid.33763.32,lung,1
grid.8664.c,liver,24
grid.411320.5,breast,3
grid.9563.9,heart,1
grid.414807.e,knee,8
grid.261277.7,skin,1
grid.415287.d,eye,7
grid.418600.b,urinary bladder,5
grid.416504.2,heart,11
grid.43519.3a,lung,2
grid.10858.34,bone marrow,1
grid.411737.7,heart,2
grid.4708.b,lung,9
grid.410560.6,lung,15
grid.14005.30,brain,5
grid.454281.e,brain,4
grid.55325.34,brain,1
grid.413080.e,breast,6
grid.15496.3f,skin,1
grid.7256.6,skin,5
grid.275559.9,prostate,9
grid.21729.3f,liver,6
grid.412444.3,placenta,7
grid.5805.8,Tonsil,2
grid.43308.3c,liver,8
grid.56302.32,skin,2
grid.411723.2,liver,1
grid.7429.8,eye,22
grid.420169.8,liver,3
grid.415414.1,knee,1
grid.8536.8,kidney,1
grid.411074.7,heart,2
grid.12527.33,breast,1
grid.36303.35,skin,3
grid.216417.7,lung,18
grid.459725.8,heart,6
grid.14003.36,brain,1
grid.213876.9,lung,3
grid.430706.6,lung,1
grid.460934.c,liver,1
grid.4563.4,lung,2
grid.284723.8,skin,1
grid.414655.7,heart,4
grid.411866.c,lung,6
grid.240145.6,liver,2
grid.410667.2,skin,1
grid.412540.6,lung,31
grid.465339.e,breast,1
grid.55602.34,heart,2
grid.412726.4,liver,3
grid.5330.5,kidney,1
grid.83440.3b,bone marrow,1
grid.417404.2,lung,2
grid.266097.c,breast,1
grid.413015.2,skin,10
grid.412401.2,knee,1
grid.17089.37,skin,4
grid.17088.36,breast,8
grid.10877.39,kidney,1
grid.451012.3,breast,1
grid.415131.3,knee,24
grid.486804.6,skin,1
grid.1003.2,kidney,2
grid.411126.1,brain,1
grid.20715.31,breast,3
grid.251017.0,breast,4
grid.11942.3f,kidney,5
grid.213876.9,skin,1
grid.67105.35,breast,2
grid.24381.3c,Tonsil,1
grid.9227.e,liver,15
grid.452244.1,knee,1
grid.410549.d,lung,1
grid.7692.a,breast,3
grid.460872.f,breast,1
grid.272242.3,liver,4
grid.442845.b,breast,4
grid.44870.3f,brain,1
grid.416079.d,lymph node,1
grid.412219.d,breast,1
grid.258803.4,liver,2
grid.6975.d,heart,7
grid.411685.f,embryo,3
grid.7621.2,breast,2
grid.414775.4,kidney,8
grid.411887.3,pancreas,11
grid.134936.a,breast,2
grid.10992.33,lung,1
grid.412725.7,heart,3
grid.473507.2,knee,1
grid.1649.a,Skeletal,4
grid.411145.4,lung,1
grid.459480.4,prostate,6
grid.454320.4,eye,1
grid.239864.2,breast,1
grid.32224.35,lung,22
grid.411843.b,prostate,2
grid.428366.d,breast,9
grid.5808.5,knee,1
grid.413618.9,uterus,2
grid.240684.c,skin,1
grid.134936.a,placenta,1
grid.15090.3d,liver,2
grid.411216.1,breast,18
grid.496593.4,knee,1
grid.510410.1,brain,2
grid.444644.2,brain,3
grid.4868.2,ureter,3
grid.7450.6,brain,1
grid.258799.8,prostate,9
grid.430387.b,prostate,28
grid.418345.f,lung,9
grid.412676.0,lung,13
grid.440876.9,skin,1
grid.412890.6,kidney,1
grid.24516.34,embryo,21
grid.7311.4,heart,6
grid.63368.38,liver,3
grid.411134.2,uterus,2
grid.413919.7,liver,4
grid.415762.3,placenta,1
grid.469879.d,lung,1
grid.449729.5,kidney,1
grid.15781.3a,lung,1
grid.411049.9,liver,5
grid.464332.4,embryo,8
grid.13339.3b,adipose,3
grid.465311.4,lung,2
grid.412835.9,Tonsil,2
grid.411663.7,lung,1
grid.493509.2,bone marrow,1
grid.416614.0,liver,19
grid.452593.c,liver,5
grid.4830.f,skin,1
grid.413252.3,heart,3
grid.19006.3e,lung,5
grid.5650.6,skin,1
grid.417467.7,Skeletal,1
grid.7005.2,adipose,2
grid.440977.9,breast,2
grid.177174.3,skin,15
grid.4991.5,lung,1
grid.443382.a,brain,2
grid.14476.30,breast,1
grid.223827.e,lung,1
grid.274841.c,breast,16
grid.469272.c,placenta,1
grid.415735.1,lung,1
grid.260542.7,eye,1
grid.8195.5,lung,4
grid.416343.7,brain,1
grid.216499.1,breast,6
grid.414252.4,lung,5
grid.164971.c,adipose,6
grid.411699.2,brain,2
grid.36425.36,spinal cord,6
grid.13339.3b,breast,2
grid.272458.e,lung,1
grid.267301.1,liver,1
grid.15447.33,lung,3
grid.34477.33,brain,22
grid.412436.6,eye,3
grid.42505.36,liver,3
grid.415386.d,liver,1
grid.450257.1,lung,2
grid.4886.2,lung,1
grid.19006.3e,adipose,2
grid.13648.38,liver,7
grid.467102.6,brain,6
grid.256115.4,kidney,3
grid.266842.c,breast,9
grid.13992.30,breast,1
grid.44871.3e,knee,2
grid.7886.1,bone marrow,1
grid.417301.0,Tonsil,1
grid.1003.2,knee,5
grid.26091.3c,heart,5
grid.412222.5,lung,2
grid.440668.8,lung,2
grid.43308.3c,ovary,9
grid.214458.e,kidney,9
grid.26790.3a,lymph node,14
grid.13648.38,skin,4
grid.9757.c,liver,1
grid.415285.f,breast,3
grid.73113.37,adipose,1
grid.449433.d,liver,2
grid.189967.8,liver,10
grid.416504.2,liver,7
grid.268441.d,lymph node,2
grid.7005.2,brain,2
grid.414649.a,lung,1
grid.419004.8,placenta,2
grid.421142.0,heart,11
grid.231844.8,breast,5
grid.264260.4,breast,3
grid.411024.2,liver,2
grid.459719.7,Tonsil,4
grid.215654.1,brain,3
grid.258799.8,skin,3
grid.411414.5,knee,1
grid.6083.d,breast,1
grid.415700.7,lung,2
grid.8591.5,heart,6
grid.440968.7,kidney,2
grid.412584.e,eye,1
grid.412615.5,prostate,1
grid.174567.6,skin,1
grid.503211.4,lung,1
grid.6926.b,heart,1
grid.411795.f,knee,1
grid.412552.5,adipose,2
grid.264727.2,skin,1
grid.428392.6,liver,9
grid.259828.c,eye,4
grid.258799.8,liver,20
grid.411053.2,liver,2
grid.17063.33,eye,4
grid.33199.31,brain,18
grid.189967.8,heart,2
grid.438303.f,brain,1
grid.25879.31,breast,8
grid.224260.0,skin,1
grid.475435.4,brain,5
grid.117476.2,knee,2
grid.412181.f,brain,1
grid.411406.6,embryo,3
grid.8348.7,heart,1
grid.22937.3d,breast,28
grid.7130.5,ovary,4
grid.11201.33,liver,9
grid.13394.3c,breast,6
grid.257022.0,heart,3
grid.7400.3,bone marrow,1
grid.24696.3f,lymph node,1
grid.4714.6,liver,3
grid.254224.7,brain,1
grid.413957.d,breast,1
grid.274841.c,knee,7
grid.411816.b,knee,5
grid.410368.8,breast,1
grid.412892.4,brain,1
grid.417540.3,breast,6
grid.52788.30,pancreas,1
grid.8761.8,lung,1
grid.419092.7,skin,2
grid.412888.f,Skeletal,12
grid.267198.3,kidney,3
grid.170205.1,breast,10
grid.4842.a,liver,1
grid.264381.a,knee,1
grid.415882.2,liver,1
grid.10698.36,breast,8
grid.412553.4,ovary,1
grid.255649.9,brain,6
grid.411636.7,breast,1
grid.29172.3f,brain,2
grid.415741.2,breast,1
grid.451317.5,liver,1
grid.418751.e,breast,1
grid.411333.7,placenta,6
grid.31451.32,ovary,3
grid.11417.32,adipose,2
grid.5132.5,liver,1
grid.418583.3,breast,1
grid.420094.b,heart,11
grid.36083.3e,lung,1
grid.7644.1,embryo,1
grid.411275.4,embryo,5
grid.33763.32,liver,12
grid.476406.7,breast,2
grid.266756.6,bone marrow,1
grid.412689.0,brain,2
grid.253564.3,skin,3
grid.189967.8,breast,2
grid.221309.b,liver,1
grid.13097.3c,breast,1
grid.474279.b,breast,2
grid.413232.5,breast,1
grid.11135.37,Skeletal,3
grid.412125.1,heart,1
grid.430706.6,breast,2
grid.252311.6,skin,9
grid.7445.2,liver,5
grid.11956.3a,breast,1
grid.240344.5,breast,11
grid.440622.6,embryo,3
grid.22937.3d,kidney,11
grid.460094.f,lung,1
grid.83440.3b,liver,9
grid.6572.6,kidney,1
grid.31501.36,ovary,24
grid.169077.e,breast,2
grid.417768.b,breast,4
grid.266686.a,breast,1
grid.25073.33,knee,28
grid.464653.6,adipose,1
grid.418275.d,embryo,1
grid.1024.7,kidney,3
grid.266621.7,lung,1
grid.222754.4,heart,4
grid.412011.7,lung,1
grid.410413.3,brain,2
grid.252547.3,lung,2
grid.7080.f,lung,3
grid.412451.7,lymph node,3
grid.27736.37,liver,1
grid.413255.4,spinal cord,1
grid.5012.6,heart,4
grid.410726.6,skin,5
grid.412480.b,lung,3
grid.413016.1,liver,4
grid.454740.6,skin,1
grid.13291.38,knee,7
grid.448980.9,breast,4
grid.418443.e,breast,1
grid.415542.3,spinal cord,5
grid.38142.3c,lung,21
grid.410318.f,spleen,1
grid.263826.b,brain,4
grid.443909.3,adipose,6
grid.460947.8,knee,2
grid.419167.c,lung,7
grid.410800.d,lung,8
grid.6612.3,liver,1
grid.412484.f,lung,13
grid.463419.d,breast,3
grid.266102.1,prostate,24
grid.413454.3,skin,3
grid.417225.7,adipose,1
grid.8993.b,brain,2
grid.410914.9,breast,11
grid.410814.8,liver,20
grid.484589.c,Skeletal,1
grid.412341.1,brain,1
grid.412125.1,lung,3
grid.416477.7,spinal cord,4
grid.265892.2,liver,2
grid.25879.31,heart,6
grid.412237.1,liver,3
grid.21925.3d,liver,6
grid.411610.3,kidney,10
grid.137628.9,prostate,17
grid.412844.f,lung,1
grid.413069.9,brain,2
grid.170205.1,heart,5
grid.10251.37,breast,16
grid.482962.3,liver,1
grid.411301.6,skin,1
grid.4839.6,eye,1
grid.496684.1,knee,11
grid.412113.4,adipose,3
grid.415550.0,knee,4
grid.30760.32,kidney,2
grid.429098.e,lung,4
grid.512291.c,skin,2
grid.442041.7,breast,1
grid.266539.d,heart,2
grid.11450.31,lung,1
grid.49470.3e,brain,11
grid.259384.1,liver,1
grid.412016.0,breast,22
grid.11918.30,Skeletal,1
grid.39382.33,lung,4
grid.419478.7,lung,1
grid.410612.0,breast,8
grid.31501.36,spinal cord,4
grid.415739.d,knee,1
grid.266902.9,lymph node,1
grid.419272.b,eye,1
grid.7892.4,lung,7
grid.21604.31,breast,9
grid.413144.7,skin,1
grid.418751.e,kidney,2
grid.415184.d,spinal cord,1
grid.452547.5,lung,1
grid.1008.9,brain,8
grid.412093.d,kidney,1
grid.416256.2,lymph node,7
grid.13402.34,kidney,5
grid.15090.3d,lung,10
grid.444827.9,breast,2
grid.7445.2,Skeletal,1
grid.470036.6,prostate,8
grid.5603.0,embryo,1
grid.411705.6,breast,43
grid.412777.0,skin,2
grid.411600.2,brain,1
grid.412656.2,lung,7
grid.9613.d,knee,4
grid.265008.9,lung,1
grid.412676.0,brain,13
grid.5216.0,embryo,3
grid.7914.b,kidney,5
grid.427788.6,lymph node,4
grid.8991.9,eye,4
grid.35403.31,brain,1
grid.9707.9,Skeletal,2
grid.7776.1,spleen,4
grid.262229.f,brain,6
grid.27871.3b,small intestine,12
grid.411898.d,lung,2
grid.8991.9,breast,1
grid.470421.4,adipose,1
grid.461788.4,lung,1
grid.416060.5,heart,6
grid.412238.e,liver,3
grid.8532.c,pancreas,1
grid.412602.3,liver,7
grid.30760.32,breast,19
grid.462331.1,adipose,1
grid.449455.d,lung,1
grid.444858.1,skin,3
grid.11553.33,breast,2
grid.452207.6,fetus,5
grid.411447.3,liver,1
grid.411587.e,brain,1
grid.476460.7,liver,3
grid.10215.37,skin,4
grid.4912.e,prostate,1
grid.8532.c,kidney,6
grid.60969.30,liver,1
grid.1008.9,skin,1
grid.461671.3,lung,1
grid.411549.c,knee,1
grid.414653.1,brain,8
grid.254224.7,embryo,2
grid.412809.6,liver,2
grid.168010.e,embryo,1
grid.411612.1,breast,10
grid.10223.32,kidney,5
grid.415286.c,breast,2
grid.8581.4,Skeletal,3
grid.10223.32,breast,1
grid.411975.f,brain,7
grid.440550.0,heart,7
grid.452851.f,kidney,9
grid.1957.a,lung,3
grid.415536.0,heart,7
grid.1003.2,spinal cord,3
grid.417816.d,heart,4
grid.31501.36,prostate,12
grid.7821.c,kidney,8
grid.7497.d,breast,4
grid.414686.9,prostate,1
grid.416021.0,liver,1
grid.452252.6,prostate,3
grid.7914.b,embryo,2
grid.15788.33,lung,1
grid.67033.31,embryo,1
grid.412810.e,brain,1
grid.470928.0,breast,6
grid.6374.6,brain,1
grid.225262.3,liver,5
grid.6936.a,lymph node,1
grid.6363.0,spinal cord,1
grid.467691.b,lymph node,7
grid.24696.3f,spinal cord,6
grid.452229.a,breast,2
grid.224260.0,lung,1
grid.32566.34,embryo,1
grid.8547.e,liver,3
grid.412987.1,liver,4
grid.12525.31,kidney,9
grid.412430.0,breast,1
grid.59784.37,lung,5
grid.13291.38,skin,4
grid.410607.4,lung,3
grid.411418.9,skin,6
grid.416498.6,lung,2
grid.63368.38,adipose,2
grid.410871.b,embryo,2
grid.443573.2,liver,4
grid.440699.6,knee,5
grid.7841.a,bone marrow,2
grid.470124.4,lung,7
grid.412608.9,liver,1
grid.411982.7,knee,1
grid.462482.e,peripheral nervous system,4
grid.444858.1,embryo,1
grid.474142.0,liver,1
grid.412835.9,heart,1
grid.465198.7,liver,1
grid.11159.3d,liver,1
grid.17788.31,breast,3
grid.412144.6,lung,3
grid.416888.b,breast,5
grid.502813.d,skin,1
grid.28803.31,lung,3
grid.424879.4,breast,1
grid.418048.1,Skeletal,1
grid.420115.3,breast,1
grid.411249.b,liver,3
grid.27860.3b,heart,1
grid.255962.f,placenta,1
grid.477467.1,knee,10
grid.448792.4,liver,1
grid.5645.2,Skeletal,5
grid.413618.9,breast,80
grid.414133.0,heart,1
grid.5491.9,Skeletal,5
grid.412498.2,embryo,17
grid.144022.1,ovary,7
grid.4691.a,breast,2
grid.4562.5,brain,1
grid.415158.c,lung,1
grid.261368.8,liver,1
grid.443397.e,skin,2
grid.453499.6,embryo,5
grid.416565.5,heart,4
grid.116068.8,heart,1
grid.418841.0,embryo,1
grid.415235.4,liver,1
grid.14004.31,breast,2
grid.418751.e,liver,9
grid.486861.5,kidney,1
grid.265061.6,liver,1
grid.415535.3,breast,11
grid.484013.a,heart,1
grid.419309.6,skin,6
grid.10388.32,heart,2
grid.411697.c,breast,3
grid.7123.7,breast,7
grid.411626.6,adipose,1
grid.410356.5,knee,1
grid.413974.c,breast,1
grid.504251.7,lung,7
grid.2515.3,eye,1
grid.412665.2,skin,1
grid.412015.3,skin,1
grid.411617.4,lung,4
grid.413851.a,liver,10
grid.23856.3a,small intestine,8
grid.49606.3d,Tonsil,1
grid.461916.d,embryo,1
grid.429111.e,liver,5
grid.411779.d,breast,3
grid.415050.5,prostate,1
grid.416383.b,breast,1
grid.412233.5,liver,1
grid.411134.2,lymph node,9
grid.267346.2,adipose,22
grid.266464.4,breast,1
grid.412030.4,brain,4
grid.7776.1,lymph node,3
grid.283061.e,skin,5
grid.423257.5,kidney,2
grid.137628.9,lung,1
grid.494717.8,breast,13
grid.11899.38,knee,6
grid.414489.4,bone marrow,5
grid.414467.4,embryo,2
grid.7269.a,brain,2
grid.416257.3,heart,13
grid.4795.f,breast,1
grid.29857.31,liver,2
grid.440710.6,heart,1
grid.412050.2,skin,1
grid.452525.1,skin,2
grid.13992.30,liver,1
grid.63054.34,liver,1
grid.10388.32,embryo,4
grid.412068.9,skin,7
grid.410648.f,liver,1
grid.50956.3f,prostate,6
grid.412078.8,skin,1
grid.414840.d,brain,1
grid.224260.0,brain,1
grid.233520.5,lung,7
grid.3521.5,lung,3
grid.440734.0,heart,1
grid.411705.6,kidney,7
grid.21155.32,breast,2
grid.29869.3c,liver,1
grid.15444.30,Tonsil,1
grid.11047.33,Tonsil,2
grid.472315.6,breast,1
grid.419793.1,liver,1
grid.418980.c,skin,6
grid.414347.1,placenta,2
grid.16463.36,liver,5
grid.5801.c,heart,1
grid.459353.d,breast,1
grid.416077.3,fetus,3
grid.419725.c,breast,4
grid.452230.2,skin,1
grid.411621.1,breast,6
grid.4691.a,liver,1
grid.7776.1,lung,4
grid.411400.0,breast,1
grid.239395.7,kidney,1
grid.452962.e,breast,7
grid.411083.f,breast,2
grid.417700.5,brain,1
grid.444578.e,embryo,5
grid.413618.9,kidney,20
grid.414117.6,pancreas,5
grid.424020.0,brain,5
grid.452944.a,eye,3
grid.465433.3,brain,1
grid.413028.c,kidney,2
grid.453135.5,heart,1
grid.59053.3a,prostate,1
grid.262246.6,brain,2
grid.440550.0,breast,1
grid.415994.4,lung,1
grid.418532.9,breast,6
grid.414906.e,ureter,3
grid.412008.f,breast,5
grid.411234.1,heart,2
grid.410634.4,embryo,1
grid.512560.5,brain,1
grid.7942.8,brain,6
grid.413965.c,kidney,5
grid.5254.6,skin,4
grid.412377.4,urinary bladder,3
grid.459866.0,liver,5
grid.463756.5,adipose,4
grid.439749.4,kidney,1
grid.10706.30,lung,3
grid.446088.6,lung,11
grid.48336.3a,breast,21
grid.239578.2,kidney,5
grid.427832.8,ovary,5
grid.415680.e,spleen,1
grid.416870.c,brain,3
grid.12361.37,brain,3
grid.413571.5,pelvis,1
grid.4868.2,breast,20
grid.469835.5,ovary,1
grid.13402.34,lymph node,2
grid.410579.e,skin,1
grid.13001.33,prostate,1
grid.43169.39,bone marrow,5
grid.418424.f,liver,1
grid.411918.4,prostate,4
grid.4466.0,liver,7
grid.15444.30,skin,2
grid.263518.b,embryo,1
grid.33199.31,breast,9
grid.51462.34,prostate,7
grid.24377.35,liver,1
grid.6190.e,skin,1
grid.412595.e,bone marrow,1
grid.8393.1,thymus,2
grid.416859.7,heart,2
grid.411668.c,knee,1
grid.415490.d,heart,4
grid.415479.a,lymph node,5
grid.266093.8,breast,9
grid.33489.35,lung,5
grid.254224.7,adipose,1
grid.419557.b,heart,4
grid.4280.e,eye,1
grid.412216.2,brain,1
grid.424414.3,skin,1
grid.417241.5,liver,7
grid.412112.5,Skeletal,1
grid.10423.34,prostate,11
grid.488525.6,breast,1
grid.411489.1,knee,5
grid.412687.e,heart,3
grid.4714.6,lung,5
grid.440839.2,breast,1
grid.459853.6,eye,2
grid.479574.c,liver,1
grid.266093.8,embryo,1
grid.9783.5,liver,3
grid.4280.e,breast,4
grid.35541.36,liver,7
grid.413574.0,liver,6
grid.416587.9,breast,4
grid.11135.37,embryo,13
grid.413909.6,bone marrow,1
grid.411189.4,liver,1
grid.444541.4,liver,3
grid.25879.31,skin,1
grid.459308.3,breast,9
grid.414162.4,heart,1
grid.264766.7,skin,2
grid.410646.1,lung,5
grid.4563.4,breast,6
grid.416077.3,lung,4
grid.55325.34,adipose,16
grid.189509.c,Skeletal,2
grid.7269.a,liver,11
grid.412786.e,liver,8
grid.429738.3,liver,1
grid.94365.3d,prostate,1
grid.189504.1,breast,29
grid.416139.8,breast,1
grid.479978.c,heart,4
grid.144756.5,breast,3
grid.5841.8,embryo,2
grid.39381.30,heart,8
grid.415282.8,Tonsil,3
grid.7269.a,breast,1
grid.416477.7,breast,2
grid.4830.f,eye,1
grid.4868.2,heart,3
grid.449504.8,brain,1
grid.49481.30,pancreas,2
grid.416467.6,kidney,1
grid.415063.5,placenta,3
grid.7143.1,skin,4
grid.255588.7,Skeletal,6
grid.9829.a,kidney,6
grid.414764.4,breast,7
grid.500035.3,lung,2
grid.21200.31,knee,2
grid.45978.37,Tonsil,1
grid.412301.5,liver,6
grid.9227.e,knee,5
grid.10417.33,Skeletal,2
grid.411230.5,breast,1
grid.254444.7,liver,2
grid.417409.f,brain,5
grid.462082.a,liver,2
grid.257022.0,liver,1
grid.413154.6,lung,3
grid.416079.d,placenta,6
grid.32224.35,brain,1
grid.213876.9,eye,1
grid.412090.e,lung,1
grid.89336.37,breast,11
grid.412849.2,breast,1
grid.412719.8,placenta,6
grid.414906.e,breast,13
grid.21729.3f,lymph node,2
grid.413806.8,brain,1
grid.418875.7,eye,3
grid.11450.31,brain,1
grid.459820.2,skin,1
grid.264784.b,kidney,2
grid.8570.a,kidney,3
grid.4563.4,brain,1
grid.46072.37,liver,2
grid.440218.b,fetus,1
grid.419819.c,heart,1
grid.410711.2,small intestine,12
grid.28203.3b,placenta,1
grid.491653.c,Skeletal,1
grid.268154.c,breast,12
grid.39479.30,eye,2
grid.259092.5,bone marrow,1
grid.410552.7,Tonsil,16
grid.415723.6,liver,1
grid.411639.8,breast,3
grid.411235.0,skin,3
grid.1001.0,heart,3
grid.429705.d,brain,1
grid.463103.3,lung,1
grid.419897.a,lung,1
grid.413815.a,brain,1
grid.412080.f,lymph node,1
grid.9970.7,eye,1
grid.414956.b,urinary bladder,4
grid.7491.b,lung,1
grid.279885.9,lung,1
grid.28911.33,kidney,1
grid.444681.b,lung,5
grid.511852.a,Skeletal,1
grid.411339.d,knee,11
grid.22937.3d,lymph node,1
grid.411725.4,lung,5
grid.266539.d,uterus,1
grid.207374.5,kidney,7
grid.414963.d,breast,3
grid.19006.3e,Skeletal,12
grid.15444.30,liver,4
grid.430503.1,pancreas,4
grid.5603.0,lung,1
grid.419725.c,heart,5
grid.461843.c,liver,10
grid.5606.5,skin,2
grid.8756.c,heart,2
grid.419045.d,embryo,1
grid.459995.d,brain,3
grid.416935.c,brain,1
grid.8302.9,lung,4
grid.411815.8,liver,5
grid.440424.2,lung,1
grid.412367.5,breast,1
grid.4701.2,Skeletal,1
grid.272362.0,knee,1
grid.8051.c,liver,2
grid.417642.2,liver,1
grid.412438.8,prostate,3
grid.411508.9,brain,1
grid.411654.3,prostate,1
grid.410345.7,prostate,2
grid.7143.1,breast,10
grid.460959.7,liver,2
grid.411748.f,brain,3
grid.462482.e,placenta,1
grid.411230.5,heart,1
grid.36567.31,liver,6
grid.415098.1,brain,4
grid.11899.38,breast,14
grid.17703.32,lymph node,6
grid.258799.8,breast,6
grid.34477.33,heart,1
grid.13402.34,adipose,1
grid.24434.35,liver,12
grid.418270.8,embryo,7
grid.31451.32,breast,12
grid.415414.1,lymph node,5
grid.8547.e,lung,16
grid.11142.37,brain,5
grid.411417.6,lung,1
grid.5734.5,prostate,8
grid.410773.6,embryo,3
grid.410736.7,ovary,1
grid.263906.8,skin,3
grid.268079.2,lung,6
grid.258331.e,brain,1
grid.413172.2,lung,1
grid.449504.8,lung,1
grid.38348.34,heart,2
grid.410714.7,lung,2
grid.255986.5,breast,6
grid.417026.6,heart,1
grid.411650.7,heart,1
grid.440637.2,skin,1
grid.267455.7,prostate,1
grid.489179.a,lung,1
grid.416154.3,lung,2
grid.1005.4,lung,4
grid.470165.1,lung,4
grid.429222.d,brain,6
grid.466776.2,thymus,1
grid.412328.e,liver,1
grid.11586.3b,breast,16
grid.10417.33,adipose,7
grid.117476.2,breast,1
grid.29980.3a,pancreas,5
grid.416257.3,lymph node,1
grid.420169.8,Skeletal,1
grid.414958.5,kidney,4
grid.5633.3,liver,12
grid.410692.8,breast,4
grid.418403.a,bone marrow,6
grid.412262.1,liver,7
grid.266100.3,eye,1
grid.410649.e,uterus,1
grid.458172.d,lung,1
grid.241104.2,kidney,1
grid.416888.b,liver,2
grid.412243.2,placenta,8
grid.273335.3,brain,2
grid.6572.6,brain,1
grid.429705.d,lung,1
grid.419897.a,Skeletal,8
grid.418913.6,lung,9
grid.418818.c,breast,8
grid.5645.2,lung,4
grid.10049.3c,liver,2
grid.264756.4,liver,1
grid.267627.0,knee,1
grid.412112.5,brain,3
grid.11642.30,heart,3
grid.17703.32,breast,3
grid.289247.2,liver,28
grid.4391.f,liver,4
grid.11135.37,kidney,1
grid.59490.31,brain,1
grid.420129.c,bone marrow,3
grid.411120.7,liver,3
grid.265436.0,skin,14
grid.419038.7,knee,6
grid.266683.f,knee,1
grid.413762.5,heart,1
grid.412036.2,prostate,1
grid.417971.d,knee,1
grid.411733.3,embryo,1
grid.417548.b,Skeletal,2
grid.411087.b,peripheral nervous system,7
grid.471173.7,brain,1
grid.430884.3,brain,18
grid.410871.b,pelvis,1
grid.13097.3c,brain,4
grid.464753.7,lymph node,7
grid.417007.5,breast,2
grid.416992.1,liver,1
grid.51462.34,lymph node,2
grid.15485.3d,breast,6
grid.482878.9,liver,1
grid.502978.1,brain,1
grid.29980.3a,kidney,4
grid.5612.0,heart,2
grid.10698.36,prostate,1
grid.11142.37,skin,10
grid.415020.2,brain,1
grid.22072.35,pelvis,1
grid.163577.1,eye,10
grid.412817.9,breast,6
grid.464548.f,liver,1
grid.5590.9,lung,1
grid.412807.8,heart,2
grid.412342.2,heart,8
grid.413219.c,breast,4
grid.63368.38,heart,9
grid.13402.34,prostate,7
grid.425214.4,breast,1
grid.416316.7,Tonsil,7
grid.414915.c,skin,3
grid.417366.1,heart,6
grid.222754.4,embryo,5
grid.411024.2,kidney,1
grid.5254.6,heart,3
grid.416074.0,brain,1
grid.454345.7,eye,1
grid.9581.5,kidney,2
grid.62560.37,ovary,2
grid.482952.0,knee,3
grid.6572.6,embryo,2
grid.213876.9,pancreas,1
grid.261356.5,kidney,1
grid.411866.c,breast,1
grid.281162.e,breast,3
grid.410813.f,lymph node,8
grid.185648.6,spinal cord,2
grid.412112.5,skin,17
grid.417728.f,prostate,3
grid.470421.4,bone marrow,1
grid.465547.1,knee,1
grid.8484.0,prostate,5
grid.174567.6,liver,4
grid.416975.8,spinal cord,1
grid.414818.0,lung,7
grid.267335.6,skin,1
grid.11598.34,bone marrow,3
grid.7858.2,breast,1
grid.7778.f,breast,4
grid.5734.5,heart,4
grid.9654.e,eye,1
grid.410914.9,lung,21
grid.417286.e,breast,1
grid.5771.4,bone marrow,14
grid.411602.0,brain,12
grid.470225.6,heart,1
grid.267827.e,heart,1
grid.168010.e,breast,21
grid.412301.5,heart,4
grid.512100.7,lung,1
grid.414807.e,urinary bladder,5
grid.52681.38,breast,2
grid.413852.9,bone marrow,8
grid.4714.6,eye,2
grid.417772.0,brain,3
grid.497282.2,Skeletal,6
grid.7839.5,Skeletal,14
grid.4464.2,heart,4
grid.418688.b,prostate,2
grid.410772.7,uterus,2
grid.4280.e,lung,4
grid.500451.5,liver,4
grid.470097.d,skin,7
grid.7400.3,embryo,1
grid.412929.5,breast,1
grid.42505.36,spinal cord,1
grid.189747.4,brain,2
grid.444768.d,lung,5
grid.265008.9,brain,13
grid.411485.d,brain,1
grid.440832.9,heart,1
grid.218292.2,liver,9
grid.152326.1,breast,12
grid.411582.b,brain,1
grid.435176.2,eye,1
grid.4491.8,brain,6
grid.415564.7,knee,1
grid.264756.4,placenta,5
grid.266218.9,Skeletal,1
grid.26009.3d,heart,4
grid.239578.2,lung,4
grid.7450.6,lung,2
