organ,pub_ct,expert_count,ins_ct,funding_count,funder_count,hubmap_ct,gtex_ct,cxg_ct
brain,1129073,122304,12349,251714,2703,0,0,176
pelvis,39382,3087,1384,2237,131,1,0,27
blood vasculature,326,79,50,335,17,0,0,8
bone marrow,174334,14625,3680,45667,566,0,0,8
eye,306681,25131,5877,46232,806,0,0,37
fallopian tube,18142,1055,563,1768,71,0,0,7
heart,1019527,76545,10253,117341,1583,28,3,8
kidney,762095,59910,8899,97041,1485,464,0,17
knee,141568,17168,4495,12381,602,6,0,0
large intestine,10531,405,209,955,29,240,0,23
liver,1288368,152354,15438,192239,2911,6,0,12
lung,688820,79730,10006,119090,1864,102,3,28
lymph node,154950,16076,3866,24443,509,34,0,6
lymph vasculature,214,70,50,236,11,0,0,0
main bronchus,668,31,21,18,3,0,0,0
muscular system,2029,633,380,549,45,0,0,6
ovary,93764,7716,2613,16950,417,0,0,1
pancreas,99427,7124,2485,14925,316,2,0,11
peripheral nervous system,34753,2908,1324,7667,162,0,0,0
placenta,86872,9971,3080,17688,468,0,0,0
prostate,174800,23131,5078,34219,907,0,4,17
skeletal,284538,40324,7262,80013,1243,0,0,0
skin,611054,56735,9344,75199,1421,12,3,10
small intestine,68140,3796,1597,9850,214,243,0,17
spinal cord,161645,14357,3735,30421,656,0,0,26
spleen,125280,5795,2135,30476,338,55,0,5
thymus,62054,3653,1476,14510,154,25,0,0
trachea,91543,5935,2134,9532,199,0,0,0
ureter,62702,3921,1564,3294,144,0,0,1
urinary bladder,133489,10343,3131,14713,460,14,0,7
uterus,71489,3266,1417,8470,177,211,0,9
