Age Group,#Male,#Femal
0-9,688798028,688798028
10-19,675087653,675087653
20-29,617612692,617612692
30-39,601856786,601856786
40-49,503847259,503847259
50-59,435282669,435282669
60-69,298238474,298238474
70-79,161315546,161315546
80-89,53672265,53672265
90-99,7145839,7145839
100+,130480,130480
