pmid|biotype|identifier_type
24085763|disease|pmid
17952758|disease|pmid
25969536|molecular interactions|pmid
24615520|disease|pmid
25374225|disease|pmid
14724641|molecular interactions|pmid
24879152|molecular interactions|pmid
20152798|molecular interactions|pmid
20434789|disease|pmid
16954218|molecular interactions|pmid
10075657|molecular interactions|pmid
1830327|disease|pmid
23406616|disease|pmid
19951360|molecular interactions|pmid
25022898|disease|pmid
"17726094|doi:10.1073/pnas.0706803104|imex:IM-22894"|molecular interactions|pmid
32427989|molecular interactions|pmid
28756229|molecular interactions|pmid
15811326|molecular interactions|pmid
21187329|molecular interactions|pmid
9858528|molecular interactions|pmid
28757353|molecular interactions|pmid
"18544572|imex:IM-26374"|molecular interactions|pmid
10082557|molecular interactions|pmid
17550212|disease|pmid
19276356|molecular interactions|pmid
31669268|molecular interactions|pmid
28817177|molecular interactions|pmid
"15929943|mint:MINT-6546918"|molecular interactions|pmid
"26350463|imex:IM-24707"|molecular interactions|pmid
21118956|molecular interactions|pmid
23870089|disease|pmid
16424057|disease|pmid
doi:10.1101/2020.02.17.951848|molecular interactions|
12947119|molecular interactions|pmid
12384286|disease|pmid
10220153|disease|pmid
15632057|molecular interactions|pmid
25484083|molecular interactions|pmid
"15474027|imex:IM-13910|mint:MINT-5217229"|molecular interactions|pmid
10660576|molecular interactions|pmid
10022865|molecular interactions|pmid
15581609|molecular interactions|pmid
10903323|molecular interactions|pmid
32479599|molecular interactions|pmid
"21498514|imex:IM-16933"|molecular interactions|pmid
35332432|molecular interactions|pmid
24113571|molecular interactions|pmid
18082604|molecular interactions|pmid
10931856|molecular interactions|pmid
19487933|disease|pmid
27565346|molecular interactions|pmid
20541699|molecular interactions|pmid
17506986|molecular interactions|pmid
24369422|molecular interactions|pmid
9590180|disease|pmid
21109493|molecular interactions|pmid
15966896|molecular interactions|pmid
8707840|molecular interactions|pmid
12466020|molecular interactions|pmid
17534355|disease|pmid
15743038|disease|pmid
25665578|molecular interactions|pmid
"19796170|imex:IM-15512|mint:MINT-7716311|mint:fj-09-0699|doi:10.1111/j.1742-4658.2009.07350"|molecular interactions|pmid
29524278|molecular interactions|pmid
11001934|molecular interactions|pmid
"doi:10.1016/j.cels.2017.10.010|29128334|imex:IM-26363"|molecular interactions|
34471133|molecular interactions|pmid
23241409|molecular interactions|pmid
19282482|molecular interactions|pmid
10373425|molecular interactions|pmid
22303021|molecular interactions|pmid
25026078|molecular interactions|pmid
10480903|molecular interactions|pmid
20656946|disease|pmid
"imex:IM-27820|26867007"|molecular interactions|
33292627|molecular interactions|pmid
15829977|molecular interactions|pmid
9837900|molecular interactions|pmid
29367474|molecular interactions|pmid
20861018|molecular interactions|pmid
23168492|molecular interactions|pmid
doi:10.1101/2022.04.19.488843|molecular interactions|
10080182|disease|pmid
12107105|disease|pmid
24793136|molecular interactions|pmid
20658144|molecular interactions|pmid
32382008|molecular interactions|pmid
12588875|molecular interactions|pmid
11483497|molecular interactions|pmid
14695144|disease|pmid
16532029|molecular interactions|pmid
9603979|molecular interactions|pmid
11777999|disease|pmid
8639570|molecular interactions|pmid
15533732|disease|pmid
25436413|molecular interactions|pmid
12529400|molecular interactions|pmid
10757985|molecular interactions|pmid
24318989|disease|pmid
9641239|disease|pmid
14607752|disease|pmid
18413799|disease|pmid
12837682|molecular interactions|pmid
24036546|molecular interactions|pmid
"18786395|doi:10.1016/j.str.2008.06.008|imex:IM-9298"|molecular interactions|pmid
"19595997|mint:MINT-7216159|mint:d-09-00825"|molecular interactions|pmid
17600184|molecular interactions|pmid
10618369|molecular interactions|pmid
18325387|disease|pmid
24632611|molecular interactions|pmid
10642604|molecular interactions|pmid
34488032|molecular interactions|pmid
"imex:IM-26745|11034202"|molecular interactions|
11257130|molecular interactions|pmid
25391652|molecular interactions|pmid
25757764|disease|pmid
25172512|molecular interactions|pmid
21514272|disease|pmid
10480874|molecular interactions|pmid
12679038|molecular interactions|pmid
15944724|disease|pmid
17597710|disease|pmid
26679770|disease|pmid
32804079|molecular interactions|pmid
9880255|molecular interactions|pmid
22023800|molecular interactions|pmid
"23314863|doi:10.1038/ncb2661|imex:IM-22370"|molecular interactions|pmid
33000527|molecular interactions|pmid
"21577206|imex:IM-16626"|molecular interactions|pmid
19764566|disease|pmid
22203677|molecular interactions|pmid
18299791|disease|pmid
18204779|disease|pmid
22457825|molecular interactions|pmid
20696164|molecular interactions|pmid
12582153|molecular interactions|pmid
15280365|molecular interactions|pmid
30690835|disease|pmid
17404500|disease|pmid
15641770|molecular interactions|pmid
7629168|molecular interactions|pmid
34841685|molecular interactions|pmid
10850422|molecular interactions|pmid
25241285|disease|pmid
11711827|disease|pmid
7671313|molecular interactions|pmid
10753869|molecular interactions|pmid
9620695|molecular interactions|pmid
15887294|disease|pmid
16699592|disease|pmid
19597126|disease|pmid
16195251|molecular interactions|pmid
12839573|molecular interactions|pmid
7651415|molecular interactions|pmid
10887155|molecular interactions|pmid
12618757|molecular interactions|pmid
10349865|molecular interactions|pmid
16876867|disease|pmid
9809067|molecular interactions|pmid
16582008|molecular interactions|pmid
8805332|molecular interactions|pmid
17586554|disease|pmid
"20152150|doi:10.1016/j.str.2009.10.016|imex:IM-14656"|molecular interactions|pmid
"11018064|imex:IM-18827"|molecular interactions|pmid
19897580|molecular interactions|pmid
24726327|molecular interactions|pmid
12831406|disease|pmid
11739633|molecular interactions|pmid
12962157|molecular interactions|pmid
12176037|molecular interactions|pmid
10781029|molecular interactions|pmid
20227423|disease|pmid
28911102|molecular interactions|pmid
9712901|molecular interactions|pmid
18813209|disease|pmid
10579793|molecular interactions|pmid
30095198|molecular interactions|pmid
19141280|molecular interactions|pmid
32269044|molecular interactions|pmid
17556377|disease|pmid
17714589|disease|pmid
"21054786|imex:IM-15667|mint:MINT-7996309|doi:10.1111/j.1742-4658.2010.07897"|molecular interactions|pmid
21987080|disease|pmid
"22927415|doi:10.1073/pnas.1212912109|imex:IM-20709"|molecular interactions|pmid
30482882|molecular interactions|pmid
10022913|molecular interactions|pmid
10683291|disease|pmid
18781864|disease|pmid
22689680|disease|pmid
31640799|molecular interactions|pmid
16332682|molecular interactions|pmid
9228058|molecular interactions|pmid
23906036|disease|pmid
28774887|disease|pmid
22507528|molecular interactions|pmid
9267021|molecular interactions|pmid
17418613|disease|pmid
10594021|molecular interactions|pmid
19740755|molecular interactions|pmid
9771752|molecular interactions|pmid
8782832|disease|pmid
8027028|disease|pmid
"imex:IM-21640|23982733"|molecular interactions|
11786535|molecular interactions|pmid
12105834|disease|pmid
20953611|disease|pmid
31612776|molecular interactions|pmid
21818367|disease|pmid
22575263|disease|pmid
30293775|molecular interactions|pmid
16325295|disease|pmid
18650423|molecular interactions|pmid
17095157|molecular interactions|pmid
"20979576|imex:IM-23260"|molecular interactions|pmid
23583392|molecular interactions|pmid
11675391|molecular interactions|pmid
17997823|disease|pmid
10629059|molecular interactions|pmid
19345326|molecular interactions|pmid
19114550|molecular interactions|pmid
16733206|disease|pmid
14637159|molecular interactions|pmid
20598684|molecular interactions|pmid
"10196247|mint:MINT-6546290"|molecular interactions|pmid
17458711|disease|pmid
"19204296|doi:10.1073/pnas.0809170106|imex:IM-14626"|molecular interactions|pmid
25760602|molecular interactions|pmid
21787750|molecular interactions|pmid
15941852|molecular interactions|pmid
15949424|disease|pmid
11857055|disease|pmid
"28219245|imex:IM-26222"|molecular interactions|pmid
22238344|molecular interactions|pmid
"17290288|imex:IM-11340|mint:MINT-5219626"|molecular interactions|pmid
32060556|molecular interactions|pmid
15611048|molecular interactions|pmid
19524548|molecular interactions|pmid
17681849|disease|pmid
"24119142|imex:IM-21691"|molecular interactions|pmid
10861807|disease|pmid
31868589|molecular interactions|pmid
28628306|molecular interactions|pmid
11090627|molecular interactions|pmid
17051589|disease|pmid
15808505|molecular interactions|pmid
17301258|disease|pmid
"mint:d-12-00845|22735594|mint:MINT-8382642"|molecular interactions|
21063214|disease|pmid
25252977|molecular interactions|pmid
21499268|disease|pmid
15258789|disease|pmid
18711055|disease|pmid
"imex:IM-28258|25737013"|molecular interactions|
20110607|disease|pmid
11597610|disease|pmid
11418661|molecular interactions|pmid
21549626|molecular interactions|pmid
"mint:MINT-8216768|8999861|doi:10.1074/jbc.272.3.1786"|molecular interactions|
27974108|disease|pmid
19525977|disease|pmid
20871616|molecular interactions|pmid
10613896|molecular interactions|pmid
14970199|molecular interactions|pmid
10724175|molecular interactions|pmid
9627120|molecular interactions|pmid
16449815|disease|pmid
"doi:10.1038/emboj.2012.181|22773187|imex:IM-18767|mint:MINT-8403810"|molecular interactions|
"19940036|imex:IM-26117"|molecular interactions|pmid
7592789|molecular interactions|pmid
22232691|molecular interactions|pmid
20011623|molecular interactions|pmid
24403071|molecular interactions|pmid
16049073|disease|pmid
24973710|molecular interactions|pmid
29792731|molecular interactions|pmid
23612877|disease|pmid
15525877|disease|pmid
29937341|molecular interactions|pmid
25306923|molecular interactions|pmid
20487636|disease|pmid
25225294|molecular interactions|pmid
21620138|molecular interactions|pmid
21668996|molecular interactions|pmid
19041327|molecular interactions|pmid
17182860|molecular interactions|pmid
17309781|disease|pmid
11157139|disease|pmid
9019169|disease|pmid
18515590|disease|pmid
30191950|disease|pmid
12138192|molecular interactions|pmid
16890595|disease|pmid
9158104|disease|pmid
14579121|molecular interactions|pmid
10497213|molecular interactions|pmid
17942552|molecular interactions|pmid
12021784|disease|pmid
28319113|genetic interaction|pmid
10022926|molecular interactions|pmid
15456896|molecular interactions|pmid
18922157|disease|pmid
"16492764|doi:10.1073/pnas.0511264103|imex:IM-23440"|molecular interactions|pmid
32033221|molecular interactions|pmid
9109432|disease|pmid
29367106|disease|pmid
29555726|molecular interactions|pmid
19324947|disease|pmid
16219768|molecular interactions|pmid
19633198|disease|pmid
"11231575|imex:IM-18822"|molecular interactions|pmid
9094628|molecular interactions|pmid
2247058|molecular interactions|pmid
167441|disease|pmid
19656852|molecular interactions|pmid
10435622|molecular interactions|pmid
33815386|molecular interactions|pmid
16631755|molecular interactions|pmid
21284855|molecular interactions|pmid
20368803|molecular interactions|pmid
9501018|molecular interactions|pmid
12858163|molecular interactions|pmid
12394768|disease|pmid
27505670|molecular interactions|pmid
12911633|molecular interactions|pmid
"mint:MINT-8144895|21297582|imex:IM-15385|doi:10.1038/emboj.2011.15"|molecular interactions|
14633682|disease|pmid
17010336|molecular interactions|pmid
30352685|molecular interactions|pmid
19010635|disease|pmid
25231979|molecular interactions|pmid
10947953|molecular interactions|pmid
12447371|molecular interactions|pmid
11793025|disease|pmid
10678833|disease|pmid
7561949|disease|pmid
9506951|molecular interactions|pmid
12952266|disease|pmid
31730901|disease|pmid
12598654|molecular interactions|pmid
28031120|disease|pmid
"18377426|imex:IM-20166"|molecular interactions|pmid
12189163|disease|pmid
10323868|molecular interactions|pmid
20378690|disease|pmid
16542149|molecular interactions|pmid
"17013387|doi:10.1038/nsmb1151|imex:IM-8587"|molecular interactions|pmid
"10518533|mint:MINT-5211880"|molecular interactions|pmid
11146652|molecular interactions|pmid
21697511|molecular interactions|pmid
22565191|disease|pmid
15282549|molecular interactions|pmid
12127836|molecular interactions|pmid
"16034076|mint:MINT-5217837"|molecular interactions|pmid
21142040|molecular interactions|pmid
"23183827|imex:IM-18633"|molecular interactions|pmid
20196770|molecular interactions|pmid
20946988|molecular interactions|pmid
27220440|disease|pmid
27725726|molecular interactions|pmid
12208882|molecular interactions|pmid
32860838|molecular interactions|pmid
26535916|molecular interactions|pmid
12721663|molecular interactions|pmid
17906119|molecular interactions|pmid
"15498565|imex:IM-13928|mint:MINT-5217256"|molecular interactions|pmid
30935108|molecular interactions|pmid
23440386|disease|pmid
"19935646|doi:10.1038/nature08617|imex:IM-16377"|molecular interactions|pmid
19180478|disease|pmid
15520228|molecular interactions|pmid
22249258|molecular interactions|pmid
11162542|molecular interactions|pmid
21528130|molecular interactions|pmid
19513100|molecular interactions|pmid
27351279|disease|pmid
15637732|disease|pmid
18270948|disease|pmid
9434765|genetic interaction|pmid
8002932|molecular interactions|pmid
23980173|molecular interactions|pmid
15551024|disease|pmid
"26190107|imex:IM-24186"|molecular interactions|pmid
"imex:IM-25360|18042364"|molecular interactions|
9677412|molecular interactions|pmid
"imex:IM-18656|19154410"|molecular interactions|
17994220|disease|pmid
15161635|disease|pmid
35231559|molecular interactions|pmid
doi:10.1101/2020.03.29.20041962|molecular interactions|
26217791|molecular interactions|pmid
"imex:IM-23968|18976727"|molecular interactions|
9880541|molecular interactions|pmid
17572682|molecular interactions|pmid
16181175|disease|pmid
22801492|molecular interactions|pmid
11911837|molecular interactions|pmid
30771432|molecular interactions|pmid
18995215|disease|pmid
"imex:IM-24395|18641303"|molecular interactions|
25388970|molecular interactions|pmid
26577670|disease|pmid
18656447|disease|pmid
8564092|disease|pmid
15663938|molecular interactions|pmid
10866324|molecular interactions|pmid
12549820|molecular interactions|pmid
16928692|disease|pmid
11342629|molecular interactions|pmid
21113133|molecular interactions|pmid
19506252|disease|pmid
11748222|genetic interaction|pmid
"26751641|doi:10.1038/nsmb.3153|imex:IM-25388"|molecular interactions|pmid
11604520|molecular interactions|pmid
21149444|molecular interactions|pmid
"19561611|doi:10.1038/nsmb.1607|imex:IM-14289"|molecular interactions|pmid
22487062|disease|pmid
20332657|disease|pmid
12448002|disease|pmid
15298701|molecular interactions|pmid
23263983|molecular interactions|pmid
12121226|molecular interactions|pmid
22662218|molecular interactions|pmid
26893848|disease|pmid
"21685921|doi:10.1038/nsmb.2068|imex:IM-16113"|molecular interactions|pmid
14614622|disease|pmid
12651155|molecular interactions|pmid
20473329|molecular interactions|pmid
32461361|molecular interactions|pmid
10866662|molecular interactions|pmid
11325528|molecular interactions|pmid
10571241|molecular interactions|pmid
32585135|molecular interactions|pmid
29534718|molecular interactions|pmid
28281237|disease|pmid
19432938|disease|pmid
30281815|molecular interactions|pmid
22742934|disease|pmid
18021073|molecular interactions|pmid
22416134|molecular interactions|pmid
27693634|molecular interactions|pmid
31159502|molecular interactions|pmid
11468294|molecular interactions|pmid
11053353|molecular interactions|pmid
33586000|disease|pmid
15922743|molecular interactions|pmid
"17938203|imex:IM-16864"|molecular interactions|pmid
16142236|molecular interactions|pmid
9429141|disease|pmid
21985982|molecular interactions|pmid
19730436|molecular interactions|pmid
"mint:MINT-8142117|21179004|imex:IM-15341|doi:10.1038/emboj.2010.342"|molecular interactions|
10873465|molecular interactions|pmid
10656681|molecular interactions|pmid
14645548|molecular interactions|pmid
22322857|molecular interactions|pmid
12942088|molecular interactions|pmid
21417552|disease|pmid
22187320|disease|pmid
15666359|disease|pmid
27007150|disease|pmid
1525041|molecular interactions|pmid
11483517|molecular interactions|pmid
18484708|molecular interactions|pmid
17925429|disease|pmid
11726641|disease|pmid
12690203|molecular interactions|pmid
24902662|molecular interactions|pmid
24946002|disease|pmid
25208933|disease|pmid
15800977|disease|pmid
18396436|disease|pmid
15664193|molecular interactions|pmid
16672002|disease|pmid
18194665|molecular interactions|pmid
33833989|disease|pmid
15257753|molecular interactions|pmid
7606735|disease|pmid
15940135|disease|pmid
16178932|disease|pmid
28765046|molecular interactions|pmid
9654129|molecular interactions|pmid
"17116874|doi:10.1073/pnas.0604011103|imex:IM-23990"|molecular interactions|pmid
9535927|molecular interactions|pmid
19420365|disease|pmid
16728577|disease|pmid
"26735904|doi:10.1371/journal.pbio.1002338|imex:IM-25275"|molecular interactions|pmid
"20231380|mint:MINT-8288596|doi:10.1083/jcb.201001006"|molecular interactions|pmid
19153467|molecular interactions|pmid
34868226|molecular interactions|pmid
"11265755|imex:IM-16886"|molecular interactions|pmid
15548582|molecular interactions|pmid
10068513|disease|pmid
"26027732|doi:10.1016/j.str.2015.03.027|imex:IM-24554"|molecular interactions|pmid
11243784|molecular interactions|pmid
12105842|disease|pmid
9733766|molecular interactions|pmid
10775038|molecular interactions|pmid
12934103|molecular interactions|pmid
10420202|disease|pmid
27283772|disease|pmid
16620396|disease|pmid
20401725|disease|pmid
10066798|molecular interactions|pmid
20457893|disease|pmid
8816457|molecular interactions|pmid
12748295|molecular interactions|pmid
27130439|molecular interactions|pmid
19903481|molecular interactions|pmid
28242748|molecular interactions|pmid
"imex:IM-23970|25605758"|molecular interactions|
27920663|disease|pmid
23318261|molecular interactions|pmid
"20860624|imex:IM-15843|mint:MINT-7990446|doi:10.1111/j.1742-4658.2010.07824"|molecular interactions|pmid
32159247|molecular interactions|pmid
17693579|molecular interactions|pmid
11513971|molecular interactions|pmid
12871937|molecular interactions|pmid
12427764|molecular interactions|pmid
16476736|molecular interactions|pmid
25812002|molecular interactions|pmid
12377412|disease|pmid
33962073|molecular interactions|pmid
31206022|molecular interactions|pmid
12388558|molecular interactions|pmid
23591808|disease|pmid
17899683|disease|pmid
"19889975|doi:10.1073/pnas.0906074106|imex:IM-15249"|molecular interactions|pmid
16109907|disease|pmid
"11587540|imex:IM-27409"|molecular interactions|pmid
19744555|molecular interactions|pmid
34824462|molecular interactions|pmid
10772338|molecular interactions|pmid
15774926|disease|pmid
23423258|disease|pmid
11297552|molecular interactions|pmid
"22723743|doi:10.1371/journal.pbio.1001347|imex:IM-18045"|molecular interactions|pmid
"20206639|imex:IM-27092"|molecular interactions|pmid
16337599|molecular interactions|pmid
19004523|molecular interactions|pmid
20628202|disease|pmid
"mint:fj-12-1008|23617393|mint:MINT-8427684"|molecular interactions|
"19651618|doi:10.1073/pnas.0900180106|imex:IM-14777"|molecular interactions|pmid
20404110|molecular interactions|pmid
15310755|molecular interactions|pmid
7623846|molecular interactions|pmid
22965552|disease|pmid
17908927|molecular interactions|pmid
10871373|molecular interactions|pmid
11106735|molecular interactions|pmid
"9020117|mint:MINT-6805619|doi:10.1074/jbc.272.7.4079"|molecular interactions|pmid
31469661|molecular interactions|pmid
24209620|molecular interactions|pmid
27566175|molecular interactions|pmid
11032808|molecular interactions|pmid
16418806|disease|pmid
18271526|molecular interactions|pmid
17261810|molecular interactions|pmid
16917505|molecular interactions|pmid
18803307|molecular interactions|pmid
18256029|molecular interactions|pmid
11163757|molecular interactions|pmid
12364343|molecular interactions|pmid
25704541|disease|pmid
12082081|molecular interactions|pmid
26342799|disease|pmid
12324464|molecular interactions|pmid
12065586|molecular interactions|pmid
12185581|molecular interactions|pmid
10910365|molecular interactions|pmid
24003223|molecular interactions|pmid
8533758|disease|pmid
18979166|disease|pmid
21203453|disease|pmid
7638860|disease|pmid
11152681|molecular interactions|pmid
11641273|molecular interactions|pmid
10557084|molecular interactions|pmid
"15113837|imex:IM-20186"|molecular interactions|pmid
11076705|disease|pmid
24266532|molecular interactions|pmid
8798754|molecular interactions|pmid
"16278825|imex:IM-27395"|molecular interactions|pmid
24550273|molecular interactions|pmid
26743088|molecular interactions|pmid
17398378|disease|pmid
12438370|disease|pmid
21326229|molecular interactions|pmid
15640443|molecular interactions|pmid
16007129|molecular interactions|pmid
15896331|molecular interactions|pmid
17687114|disease|pmid
7699019|molecular interactions|pmid
11445839|disease|pmid
22048239|disease|pmid
15371016|molecular interactions|pmid
23280334|disease|pmid
12887891|molecular interactions|pmid
27846364|molecular interactions|pmid
31885808|molecular interactions|pmid
15140884|molecular interactions|pmid
10629460|disease|pmid
17515913|disease|pmid
25627160|disease|pmid
12522133|molecular interactions|pmid
doi:10.1101/2022.06.05.493249|molecular interactions|
"18680750|imex:IM-22968"|molecular interactions|pmid
20495569|disease|pmid
17925019|molecular interactions|pmid
24611898|molecular interactions|pmid
20800574|molecular interactions|pmid
9792862|disease|pmid
10967105|molecular interactions|pmid
28152297|molecular interactions|pmid
21239758|disease|pmid
19004037|disease|pmid
29461980|disease|pmid
18799727|disease|pmid
17387692|disease|pmid
11251077|molecular interactions|pmid
15273741|molecular interactions|pmid
23077592|molecular interactions|pmid
19046748|disease|pmid
30972179|molecular interactions|pmid
22190494|molecular interactions|pmid
"21115843|doi:10.1073/pnas.1013246107|imex:IM-17151"|molecular interactions|pmid
11526103|molecular interactions|pmid
32497081|molecular interactions|pmid
14617813|molecular interactions|pmid
"imex:IM-26532|28396433"|molecular interactions|
17026497|disease|pmid
33991522|molecular interactions|pmid
25574177|disease|pmid
33122196|molecular interactions|pmid
34555594|molecular interactions|pmid
26116659|disease|pmid
11004090|disease|pmid
8380895|molecular interactions|pmid
17306754|disease|pmid
9178907|molecular interactions|pmid
29743632|molecular interactions|pmid
31784499|disease|pmid
17880936|disease|pmid
29866190|molecular interactions|pmid
10734134|molecular interactions|pmid
27623077|molecular interactions|pmid
"imex:IM-28507|10356320"|molecular interactions|
doi:10.1101/2020.03.29.013490|molecular interactions|
16082694|disease|pmid
30052309|disease|pmid
21317313|disease|pmid
28483816|molecular interactions|pmid
9606214|molecular interactions|pmid
12358748|molecular interactions|pmid
24460025|disease|pmid
28531192|genetic interaction|pmid
19672667|disease|pmid
10352278|molecular interactions|pmid
"mint:MINT-5220892|8551580"|molecular interactions|
23112173|molecular interactions|pmid
21030595|molecular interactions|pmid
15033366|molecular interactions|pmid
"imex:IM-24041|22518138"|molecular interactions|
9524117|molecular interactions|pmid
11207365|molecular interactions|pmid
16424035|disease|pmid
10809668|molecular interactions|pmid
15996939|disease|pmid
"17805346|imex:IM-10778|mint:MINT-6174008"|molecular interactions|pmid
22893788|molecular interactions|pmid
16420575|molecular interactions|pmid
15009215|molecular interactions|pmid
14707571|disease|pmid
16185068|molecular interactions|pmid
15115830|disease|pmid
12812979|molecular interactions|pmid
"11356864|imex:IM-19039|mint:MINT-5214025"|molecular interactions|pmid
"imex:IM-24369|23642711"|molecular interactions|
19622586|molecular interactions|pmid
19720873|molecular interactions|pmid
15747054|disease|pmid
23979707|molecular interactions|pmid
18957422|molecular interactions|pmid
7634088|molecular interactions|pmid
18420727|disease|pmid
7761456|molecular interactions|pmid
9765283|molecular interactions|pmid
26412467|molecular interactions|pmid
14597737|disease|pmid
21983014|molecular interactions|pmid
16395405|molecular interactions|pmid
20346514|disease|pmid
"19251649|doi:10.1073/pnas.0808347106|imex:IM-14649"|molecular interactions|pmid
12386167|molecular interactions|pmid
23643682|disease|pmid
18328268|molecular interactions|pmid
16461815|disease|pmid
30699358|molecular interactions|pmid
10747096|molecular interactions|pmid
30821106|disease|pmid
20711177|disease|pmid
12398897|molecular interactions|pmid
8078587|molecular interactions|pmid
"19228691|imex:IM-18580"|molecular interactions|pmid
16429317|disease|pmid
11532990|molecular interactions|pmid
35098666|molecular interactions|pmid
22733990|molecular interactions|pmid
12874454|disease|pmid
12133833|molecular interactions|pmid
17330135|disease|pmid
10918595|molecular interactions|pmid
15483090|disease|pmid
20375365|disease|pmid
12006493|molecular interactions|pmid
35107381|molecular interactions|pmid
15128916|disease|pmid
18089785|disease|pmid
12736721|disease|pmid
"imex:IM-12122|18775314"|molecular interactions|
15742444|disease|pmid
23612972|molecular interactions|pmid
16026900|disease|pmid
23101722|disease|pmid
11314002|disease|pmid
15077161|molecular interactions|pmid
17324924|molecular interactions|pmid
12697822|molecular interactions|pmid
20668552|molecular interactions|pmid
21383955|molecular interactions|pmid
9325337|molecular interactions|pmid
11238945|molecular interactions|pmid
18316027|disease|pmid
16263084|molecular interactions|pmid
14556009|disease|pmid
8175958|disease|pmid
17435760|molecular interactions|pmid
"23429703|doi:10.1126/science.1228792|imex:IM-24236"|molecular interactions|pmid
32669362|molecular interactions|pmid
19303885|molecular interactions|pmid
19879840|molecular interactions|pmid
10535733|disease|pmid
8662825|molecular interactions|pmid
18592004|disease|pmid
26304770|molecular interactions|pmid
9422762|molecular interactions|pmid
10229200|molecular interactions|pmid
20403326|molecular interactions|pmid
18280497|molecular interactions|pmid
17011503|molecular interactions|pmid
18451335|disease|pmid
23825951|molecular interactions|pmid
26822153|molecular interactions|pmid
31431478|molecular interactions|pmid
31501894|molecular interactions|pmid
18974388|molecular interactions|pmid
32514122|disease|pmid
33594072|molecular interactions|pmid
25237190|molecular interactions|pmid
12847218|molecular interactions|pmid
21618417|disease|pmid
21860532|disease|pmid
9857183|molecular interactions|pmid
9259313|molecular interactions|pmid
11744692|molecular interactions|pmid
16670688|disease|pmid
16959795|molecular interactions|pmid
17904523|molecular interactions|pmid
26046368|molecular interactions|pmid
27590578|molecular interactions|pmid
10973986|molecular interactions|pmid
14516314|disease|pmid
16465407|disease|pmid
22991965|molecular interactions|pmid
10679296|molecular interactions|pmid
"24212136|doi:""https://doi.org/10.1038/nchembio.1381""|imex:IM-22413"|molecular interactions|pmid
14761981|molecular interactions|pmid
34529741|molecular interactions|pmid
"16624878|doi:10.1073/pnas.0602109103|imex:IM-23494"|molecular interactions|pmid
31819557|disease|pmid
24516643|molecular interactions|pmid
"19369943|imex:IM-13848|mint:MINT-7266447|doi:10.1038/emboj.2009.101"|molecular interactions|pmid
20448036|molecular interactions|pmid
12101246|molecular interactions|pmid
12126637|disease|pmid
7639332|disease|pmid
24999758|molecular interactions|pmid
11418862|molecular interactions|pmid
27129218|molecular interactions|pmid
9738936|molecular interactions|pmid
30022158|molecular interactions|pmid
20430255|disease|pmid
10504341|molecular interactions|pmid
31974380|molecular interactions|pmid
10852943|molecular interactions|pmid
32494016|molecular interactions|pmid
26721396|molecular interactions|pmid
7694872|disease|pmid
19766248|disease|pmid
11029584|molecular interactions|pmid
22891251|molecular interactions|pmid
28763918|disease|pmid
28328949|molecular interactions|pmid
19135889|molecular interactions|pmid
21855630|molecular interactions|pmid
"19363480|doi:10.1038/nsmb.1587|imex:IM-14269"|molecular interactions|pmid
15611116|molecular interactions|pmid
17827154|molecular interactions|pmid
30745168|molecular interactions|pmid
12163479|molecular interactions|pmid
10871607|molecular interactions|pmid
18391021|molecular interactions|pmid
19196987|molecular interactions|pmid
10448035|molecular interactions|pmid
11847211|molecular interactions|pmid
11559354|molecular interactions|pmid
26839406|molecular interactions|pmid
19398555|molecular interactions|pmid
19414556|disease|pmid
29565459|molecular interactions|pmid
16411408|disease|pmid
26169395|molecular interactions|pmid
12419249|molecular interactions|pmid
15687724|disease|pmid
28533893|disease|pmid
25714006|molecular interactions|pmid
11406576|molecular interactions|pmid
12244103|molecular interactions|pmid
3339136|disease|pmid
11591700|molecular interactions|pmid
17517100|disease|pmid
12086603|molecular interactions|pmid
"26146185|doi:""https://doi.org/10.1016/j.str.2015.05.019""|imex:IM-24773"|molecular interactions|pmid
19553562|disease|pmid
"21765416|doi:10.1038/nsmb.2086|imex:IM-16121"|molecular interactions|pmid
"9774102|mint:MINT-6730964"|molecular interactions|pmid
16813666|disease|pmid
21994366|disease|pmid
11373296|molecular interactions|pmid
24367557|molecular interactions|pmid
3018923|disease|pmid
7679252|disease|pmid
32365221|disease|pmid
27941885|molecular interactions|pmid
23897481|molecular interactions|pmid
16803519|disease|pmid
20082485|disease|pmid
26203195|molecular interactions|pmid
19644070|disease|pmid
30841933|molecular interactions|pmid
16230397|disease|pmid
27882171|disease|pmid
17525734|molecular interactions|pmid
16979187|molecular interactions|pmid
16195357|disease|pmid
23557330|disease|pmid
"33199366|imex:IM-29469"|molecular interactions|pmid
17543862|molecular interactions|pmid
14978302|molecular interactions|pmid
18591668|molecular interactions|pmid
11163770|molecular interactions|pmid
29079575|molecular interactions|pmid
17604273|molecular interactions|pmid
"19084272|imex:IM-27358"|molecular interactions|pmid
"18230729|doi:10.1073/pnas.0711621105|imex:IM-9065"|molecular interactions|pmid
"imex:IM-25783|15153464"|molecular interactions|
15674325|molecular interactions|pmid
16968750|molecular interactions|pmid
21326863|molecular interactions|pmid
11278452|molecular interactions|pmid
30914461|molecular interactions|pmid
16843446|disease|pmid
28548391|molecular interactions|pmid
12460926|molecular interactions|pmid
32023240|disease|pmid
9491888|molecular interactions|pmid
10524211|molecular interactions|pmid
15004028|molecular interactions|pmid
20937699|molecular interactions|pmid
21887822|molecular interactions|pmid
10206641|disease|pmid
