pmid|biotype|identifier_type
17483252|disease|pmid
17255943|molecular interactions|pmid
"imex:IM-28055|32825572"|molecular interactions|
11733498|molecular interactions|pmid
16223729|molecular interactions|pmid
12167711|molecular interactions|pmid
15659047|disease|pmid
26564738|disease|pmid
16461343|molecular interactions|pmid
25207809|molecular interactions|pmid
17112510|molecular interactions|pmid
11691835|molecular interactions|pmid
"29521627|imex:IM-28179"|molecular interactions|pmid
12234928|molecular interactions|pmid
20713032|molecular interactions|pmid
18082613|molecular interactions|pmid
16507982|molecular interactions|pmid
12239218|molecular interactions|pmid
17186992|disease|pmid
11709459|disease|pmid
18554168|disease|pmid
23812741|disease|pmid
"20659559|imex:IM-27116"|molecular interactions|pmid
23331010|molecular interactions|pmid
9192675|molecular interactions|pmid
20208369|disease|pmid
11489943|molecular interactions|pmid
"16541103|imex:IM-10972|mint:MINT-5218432"|molecular interactions|pmid
24029002|molecular interactions|pmid
23962128|molecular interactions|pmid
12915478|disease|pmid
27129234|molecular interactions|pmid
20832730|molecular interactions|pmid
14599294|molecular interactions|pmid
9798945|molecular interactions|pmid
9826776|molecular interactions|pmid
30123088|disease|pmid
19220210|disease|pmid
18701608|molecular interactions|pmid
22544055|molecular interactions|pmid
11826099|molecular interactions|pmid
29925830|disease|pmid
19672052|disease|pmid
"11090355|mint:MINT-5213240"|molecular interactions|pmid
30417565|molecular interactions|pmid
doi:10.1101/2020.04.29.068890|molecular interactions|
9774693|molecular interactions|pmid
33420373|molecular interactions|pmid
25084169|molecular interactions|pmid
22153076|molecular interactions|pmid
12941768|disease|pmid
27093085|molecular interactions|pmid
22213175|disease|pmid
9716140|disease|pmid
21108931|molecular interactions|pmid
20978191|disease|pmid
19287455|molecular interactions|pmid
3907907|disease|pmid
31534127|molecular interactions|pmid
16315005|disease|pmid
16845792|disease|pmid
34184814|molecular interactions|pmid
9285412|molecular interactions|pmid
"21390126|doi:10.1038/nature09730|imex:IM-17483"|molecular interactions|pmid
19519778|disease|pmid
22883043|disease|pmid
17084623|disease|pmid
11158331|molecular interactions|pmid
12612583|disease|pmid
24092995|disease|pmid
19125419|molecular interactions|pmid
26666818|disease|pmid
"mint:MINT-5220843|8483943|doi:10.1073/pnas.90.9.4271"|molecular interactions|
20697349|molecular interactions|pmid
35148989|molecular interactions|pmid
"12023880|mint:MINT-6742299"|molecular interactions|pmid
doi:10.1101/2022.03.06.483172|molecular interactions|
15943911|molecular interactions|pmid
34027417|molecular interactions|pmid
10779504|molecular interactions|pmid
doi:10.1101/2022.05.07.491004|molecular interactions|
12858162|molecular interactions|pmid
7590250|molecular interactions|pmid
10673036|molecular interactions|pmid
19470757|molecular interactions|pmid
"18059477|imex:IM-11534|mint:MINT-6381898"|molecular interactions|pmid
15705628|disease|pmid
"9388232|mint:MINT-5221771"|molecular interactions|pmid
17519316|disease|pmid
9360994|molecular interactions|pmid
7683646|molecular interactions|pmid
21183682|molecular interactions|pmid
23979692|disease|pmid
31406141|molecular interactions|pmid
25319828|molecular interactions|pmid
12482968|molecular interactions|pmid
12122009|molecular interactions|pmid
33097091|molecular interactions|pmid
16648845|molecular interactions|pmid
30070373|disease|pmid
12816952|molecular interactions|pmid
29463679|molecular interactions|pmid
17898078|molecular interactions|pmid
10212252|molecular interactions|pmid
20587334|molecular interactions|pmid
19732863|disease|pmid
19013212|disease|pmid
16611996|molecular interactions|pmid
31945194|molecular interactions|pmid
9188854|molecular interactions|pmid
15990872|molecular interactions|pmid
12032348|molecular interactions|pmid
29702526|disease|pmid
33650658|molecular interactions|pmid
15657086|molecular interactions|pmid
17609108|molecular interactions|pmid
21685935|molecular interactions|pmid
23827973|disease|pmid
8959326|molecular interactions|pmid
10903846|molecular interactions|pmid
31604943|molecular interactions|pmid
34569959|molecular interactions|pmid
31763674|molecular interactions|pmid
21625540|molecular interactions|pmid
9235946|molecular interactions|pmid
10415337|molecular interactions|pmid
18211966|disease|pmid
"16424906|imex:IM-11221|mint:MINT-5218250"|molecular interactions|pmid
19798101|molecular interactions|pmid
9555943|molecular interactions|pmid
11504717|genetic interaction|pmid
8943115|disease|pmid
9765306|molecular interactions|pmid
18162161|disease|pmid
22266663|disease|pmid
22820750|molecular interactions|pmid
29058791|disease|pmid
10744734|molecular interactions|pmid
23589370|molecular interactions|pmid
17579352|molecular interactions|pmid
1634227|disease|pmid
29456795|disease|pmid
