organ,id,doi,notes,type
blood_vasculature,https://en.wikipedia.org/wiki/Aortic_arch,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Aortic_arch,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Aortic_arch,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Aortic_arch,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Aortic_arch,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Aortic_arch,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Brachiocephalic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Subclavian_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Subclavian_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Subclavian_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Subclavian_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Subclavian_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Subclavian_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Subclavian_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Subclavian_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Subclavian_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Subclavian_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Subclavian_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/External_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/External_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/External_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/External_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/External_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/External_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/External_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/External_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/External_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/External_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/External_carotid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
