doi,in_asctb_5th,in_cellmarker,in_cxg,in_31_organ_pubmed_pubs,organs,pub_year,article_title,organs,authors
10.1002/cyto.b.21373,0,1,0,1,bone marrow,2017,CD19 negative precursor B acute lymphoblastic leukemia (B-ALL)-Immunophenotypic challenges in diagnosis and monitoring: A study of three cases.,bone marrow,
10.1002/dmrr.1159,0,1,0,0,,2011,The decrement in circulating endothelial progenitor cells (EPCs) in type 2 diabetes is independent of the severity of the hypoadiponectemia.,,
10.1002/dvdy.24559,0,1,0,0,,2018,HMGB2 expression is associated with transition from a quiescent to an activated state of adult neural stem cells.,,"Kinichi Nakashima, Taito Matsuda, Kinichi Nakashima, Taito Matsuda"
10.1002/eji.1830190709,0,1,0,0,,1989,Cell surface antigen CD5 is a marker for activated human B cells.,,
10.1002/eji.200425442,1,0,0,1,spleen,2005,"Contribution of stromal cells to the migration, function and retention of plasma cells in human spleen: potential roles of CXCL12, IL-6 and CD54.",spleen,
10.1002/eji.200425958,1,0,0,1,thymus,2005,Limited correlation between human thymus and blood NKT cell content revealed by an ontogeny study of paired tissue samples.,thymus,
10.1002/elps.201300364,0,1,0,0,,2014,CD133 and CD133-regulated nucleophosmin linked to 5-fluorouracil susceptibility in human colon cancer cell line SW620.,,
10.1002/gcc.20091,0,1,0,1,lymph node,2004,Application of combined immunofluorescence and fluorescence in situ hybridization on paraffin-embedded sections to characterize T-cell lymphoma with EBV-infected B-cell blasts.,lymph node,
10.1002/gcc.20604,0,1,0,1,"lung, lung, lung, lung, lung, lung, lung, lung, lung, lung",2008,Expression and mutational analysis of MET in human solid cancers.,"lung, lung, lung, lung, lung, lung, lung, lung, lung, lung",
10.1002/glia.22903,0,1,0,1,"spinal cord, spinal cord, spinal cord, spinal cord, spinal cord, spinal cord, spinal cord, spinal cord",2016,Generation of GFAP::GFP astrocyte reporter lines from human adult fibroblast-derived iPS cells using zinc-finger nuclease technology.,"spinal cord, spinal cord, spinal cord, spinal cord, spinal cord, spinal cord, spinal cord, spinal cord",
10.1002/hed.25158,0,1,0,0,,2018,"Prognostic implications of CD44, NANOG, OCT4, and BMI1 expression in tongue squamous cell carcinoma.",,Lucyene Miguita Luiz
10.1002/hep.1840040425,1,0,0,1,liver,,Immunocytochemical detection of desmin in fat-storing cells (Ito cells).,liver,
10.1002/hep.23544,0,1,0,1,"liver, liver, liver, liver, liver",2010,Epigenetic regulation of cancer stem cell marker CD133 by transforming growth factor-beta.,"liver, liver, liver, liver, liver",
10.1002/hep.24222,0,1,0,0,,2011,CD13: Waving the flag for a novel cancer stem cell target.,,
10.1002/hep.24693,0,1,0,1,liver,2012,Successful isolation of liver progenitor cells by aldehyde dehydrogenase activity in na&Atilde;&macr;ve mice.,liver,
10.1002/hep.25890,0,1,0,1,"liver, liver, liver, liver",2012,Transcriptomic profiling reveals hepatic stem-like gene signatures and interplay of miR-200c and epithelial-mesenchymal transition in intrahepatic cholangiocarcinoma.,"liver, liver, liver, liver",
10.1002/hep.27235,0,1,0,1,"liver, liver, liver, liver, liver, liver, liver, liver, liver, liver, liver, liver, liver",2015,Treatment response in the PIVENS trial is associated with decreased Hedgehog pathway activity.,"liver, liver, liver, liver, liver, liver, liver, liver, liver, liver, liver, liver, liver",
10.1002/hep.27968,0,1,0,1,liver,2015,Signal transducer and activator of transcription 3-mediated CD133 up-regulation contributes to promotion of hepatocellular carcinoma.,liver,
10.1002/hep.29778,0,1,0,1,"liver, liver, liver, liver",2018,Single-cell analysis reveals cancer stem cell heterogeneity in hepatocellular carcinoma.,"liver, liver, liver, liver","Xin Wei Wang, Xin Wei Wang, Xin Wei Wang, Xin Wei Wang"
10.1002/hon.2352,0,1,0,0,,2017,Human myeloid inhibitory C-lectin: a highly specific and stable acute myeloid leukemia marker.,,
10.1002/iid3.190,0,1,0,1,"liver, liver, liver, liver",2018,IL-12 and IL-15 induce the expression of CXCR6 and CD49a on peripheral natural killer cells.,"liver, liver, liver, liver","Theresa Hydes, Theresa Hydes, Theresa Hydes, Theresa Hydes"
10.1002/ijc.21449,0,1,0,1,prostate,2006,Differential expression of TGFbeta-stimulated clone 22 in normal prostate and prostate cancer.,prostate,
10.1002/ijc.25043,0,1,0,1,prostate,2010,The effects of telomerase inhibition on prostate tumor-initiating cells.,prostate,
10.1002/ijc.25546,0,1,0,1,prostate,2011,Gamma-tocotrienol as an effective agent in targeting prostate cancer stem cell-like population.,prostate,
10.1002/ijc.25787,0,1,0,0,,2011,Germline polymorphisms in genes involved in the CD44 signaling pathway are associated with clinical outcome in localized gastric adenocarcinoma.,,
10.1002/ijc.25967,0,1,0,0,,2012,Expression of aldehyde dehydrogenase and CD133 defines ovarian cancer stem cells.,,
10.1002/ijc.29382,0,1,0,1,"liver, liver, liver, liver, liver, liver, liver",2015,Cell-surface Vimentin: A mislocalized protein for isolating csVimentin(+) CD133(-) novel stem-like hepatocellular carcinoma cells expressing EMT markers.,"liver, liver, liver, liver, liver, liver, liver",
10.1002/jbm.a.34893,0,1,0,0,,2014,Effect of doping in carbon nanotubes on the viability of biomimetic chitosan-carbon nanotubes-hydroxyapatite scaffolds.,,
10.1002/jbm.a.36388,0,1,0,0,,2018,Osteogenic stimulation of human dental pulp stem cells with a novel gelatin-hydroxyapatite-tricalcium phosphate scaffold.,,
10.1002/jbm.b.33055,0,1,0,0,,2014,The beneficial effect of encapsulated human adipose-derived stem cells in alginate hydrogel on neural differentiation.,,
10.1002/jbmr.5650090106,0,1,0,0,,1994,CD44 expression in human bone: a novel marker of osteocytic differentiation.,,
10.1002/jcb.25807,0,1,0,0,,2017,Basic Fibroblast Growth Factor Regulates REX1 Expression Via IL-6 In Stem Cells Isolated From Human Exfoliated Deciduous Teeth.,,
10.1002/jcb.26434,0,1,0,0,,2018,"Unrestricted somatic stem cells, as a novel feeder layer: Ex vivo culture of human limbal stem cells.",,Saeed Heidari Keshel
10.1002/jcb.27114,0,1,0,1,ovary,2018,Isolation and in vitro culture of ovarian stem cells in Chinese soft-shell turtle (Pelodiscus sinensis).,ovary,Hongyan Xu
10.1002/jcla.1860060603,0,1,0,1,"skin, liver",1992,Simultaneous expression of type I procollagen mRNA and albumin in cirrhotic human liver.,"skin, liver",
10.1002/jcla.20001,1,0,0,1,bone marrow,2004,Flow cytometric study of neutrophilic granulopoiesis in normal bone marrow using an expanded panel of antibodies: correlation with morphologic assessments.,bone marrow,
10.1002/jcp.21827,0,1,0,1,"brain, brain",2009,"A novel osteoclast precursor cell line, 4B12, recapitulates the features of primary osteoclast differentiation and function: enhanced transfection efficiency before and after differentiation.","brain, brain",
10.1002/jcp.22275,1,0,0,1,skin,2010,Keratinocyte stem cells: friends and foes.,skin,
10.1002/jcp.22329,0,1,0,1,placenta,2011,Identification of human placenta-derived mesenchymal stem cells involved in re-endothelialization.,placenta,
10.1002/jcp.22934,0,1,0,1,liver,2012,Efficient generation of functional hepatocyte-like cells from human fetal hepatic progenitor cells in vitro.,liver,
10.1002/jcp.23041,0,1,0,1,liver,2012,"Gefitinib resistance in HCC mahlavu cells: upregulation of CD133 expression, activation of IGF-1R signaling pathway, and enhancement of IGF-1R nuclear translocation.",liver,
10.1002/jcp.26238,0,1,0,0,,2018,"Novel nanohydrogel of hyaluronic acid loaded with quercetin alone and in combination with temozolomide as new therapeutic tool, CD44 targeted based, of glioblastoma multiforme.",,Vincenzo Quagliariello
10.1002/jlb.54.2.97,0,1,0,0,,1993,Activated neutrophils and neutrophil activators in human milk: increased expression of CD11b and decreased expression of L-selectin.,,
10.1002/jnr.10412,0,1,0,1,brain,2002,Engraftment of sorted/expanded human central nervous system stem cells from fetal brain.,brain,
10.1002/jor.22731,0,1,0,1,knee,2015,CD146 as a new marker for an increased chondroprogenitor cell sub-population in the later stages of osteoarthritis.,knee,
10.1002/jor.23449,0,1,0,0,,2017,Osteocyte physiology and response to fluid shear stress are impaired following exposure to cobalt and chromium: Implications for bone health following joint replacement.,,
10.1002/lary.20797,0,1,0,0,,2010,Characterization of mesenchymal stem cells from human vocal fold fibroblasts.,,
10.1002/lt.21436,0,1,0,1,liver,2008,Glial fibrillary acidic protein as an early marker of hepatic stellate cell activation in chronic and posttransplant recurrent hepatitis C.,liver,
10.1002/mc.20668,0,1,0,0,,2011,Establishment of an orthotopic transplantable gastric cancer animal model for studying the immunological effects of new cancer therapeutic modules.,,
10.1002/mc.22443,0,1,0,1,lung,2016,CD44 is functionally crucial for driving lung cancer stem cells metastasis through Wnt/&Icirc;&sup2;-catenin-FoxM1-Twist signaling.,lung,
10.1002/mc.22448,0,1,0,0,,2016,The Ezh2 polycomb group protein drives an aggressive phenotype in melanoma cancer stem cells and is a target of diet derived sulforaphane.,,
10.1002/mc.22532,0,1,0,1,liver,2017,Kr&Atilde;&frac14;ppel-like factor 8 promotes cancer stem cell-like traits in hepatocellular carcinoma through Wnt/&Icirc;&sup2;-catenin signaling.,liver,
10.1002/mrd.20105,0,1,0,1,ovary,2004,Germ cells enter meiosis in a rostro-caudal wave during development of the mouse ovary.,ovary,
10.1002/mrd.20298,0,1,0,1,ovary,2005,Bovine mater-like NALP9 is an oocyte marker gene.,ovary,
10.1002/mrd.20850,0,1,0,1,ovary,2008,"Five azacytidine, a DNA methyltransferase inhibitor, specifically inhibits testicular cord formation and Sertoli cell differentiation in vitro.",ovary,
10.1002/path.1711560403,0,1,0,0,,1988,Epithelial cell markers and proliferating cells in odontogenic jaw cysts.,,
10.1002/path.1711610107,0,1,0,1,skin,1990,Natural killer cells in cutaneous malignant melanoma.,skin,
10.1002/path.2597,0,1,0,1,liver,2009,The cancer stem cell marker CD133 has high prognostic impact but unknown functional relevance for the metastasis of human colon cancer.,liver,
10.1002/path.2793,0,1,0,0,,2011,Cancer stem cells: problems for therapy?,,
10.1002/path.4083,0,1,0,1,skeletal,2012,The increase of pericyte population in human neuromuscular disorders supports their role in muscle regeneration in vivo.,skeletal,
10.1002/path.4591,0,1,0,0,,2015,Genome-wide analysis of the oxyntic proliferative isthmus zone reveals ASPM as a possible gastric stem/progenitor cell marker over-expressed in cancer.,,
10.1002/path.4860,0,1,0,0,,2017,Tumour-associated macrophage-mediated survival of myeloma cells through STAT3 activation.,,
10.1002/path.5751,1,0,1,1,"prostate, prostate, prostate, prostate, prostate, prostate",2021,Single-cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions.,"prostate, prostate, prostate, prostate, prostate, prostate","Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand, Douglas Strand"
10.1002/pbc.24024,0,1,0,1,liver,2012,"DLK1, a serum marker for hepatoblastoma in young infants.",liver,
10.1002/pd.3894,0,1,0,0,,2012,Identification of circulating fetal cell markers by microarray analysis.,,
10.1002/pd.656,0,1,0,0,,2003,Applying a test system for discriminating fetal from maternal cells.,,
10.1002/pd.712,0,1,0,0,,2003,Rare cell isolation using antibodies covalently linked to slides: application to fetal cells in maternal blood.,,
10.1002/pmic.200800312,0,1,0,0,,2008,Stem cell markers: insights from membrane proteomics?,,
10.1002/pros.20578,0,1,0,1,"prostate, prostate",2007,Claudin-1 immunohistochemistry for distinguishing malignant from benign epithelial lesions of prostate.,"prostate, prostate",
10.1002/pros.20895,0,1,0,1,"prostate, prostate, prostate, prostate, prostate, prostate",2009,Oct4A is expressed by a subpopulation of prostate neuroendocrine cells.,"prostate, prostate, prostate, prostate, prostate, prostate",
10.1002/pros.20928,0,1,0,1,prostate,2009,"Selective expression of CD44, a putative prostate cancer stem cell marker, in neuroendocrine tumor cells of human prostate cancer.",prostate,
10.1002/pros.21274,0,1,0,1,prostate,2011,Effective targeting of prostate cancer by lymphocytes redirected by a PSMA&acirc;&euro;&Acirc;&permil;&Atilde;&Acirc;&mdash;&acirc;&euro;&Acirc;&permil;CD3 bispecific single-chain diabody.,prostate,
10.1002/pros.24020,0,0,1,1,"prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate",2020,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate.,"prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate, prostate","Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten, Chad M. Vezina, Douglas Strand, Hannah Ruetten"
10.1002/ptr.5689,0,1,0,1,brain,2016,Apigenin Inhibits Cancer Stem Cell-Like Phenotypes in Human Glioblastoma Cells via Suppression of c-Met Signaling.,brain,
10.1002/rmb2.12371,1,0,0,0,,2021,The role of pituitary gonadotropins and intraovarian regulators in follicle development: A mini-review.,,
10.1002/(sici)1096-9861(19990816)411:1<19::aid-cne3>3.0.co,1,0,0,0,,,,,
10.1002/(sici)1096-9861(19990816)411:1<19::aid-cne3>3.0.co;2-4,1,0,0,0,,,,,
