doi,in_asctb_5th,in_cellmarker,in_cxg,in_31_organ_pubmed_pubs,organs,pub_year,article_title,organs,authors
10.1136/jclinpath-2012-200993,0,1,0,1,prostate,2013,Prostate needle biopsy processing: a survey of laboratory practice across Europe.,prostate,
10.1136/jclinpath-2012-201169,0,1,0,0,,2013,"Cancer stem cells markers CD44, CD24 and ALDH1 in breast cancer special histological types.",,
10.1136/jclinpath-2015-203491,0,1,0,1,liver,2016,"The expression of arginase-1, keratin (K) 8 and K18 in combined hepatocellular-cholangiocarcinoma, subtypes with stem-cell features, intermediate-cell type.",liver,
10.1136/jcp.2004.022608,0,1,0,1,"lymph node, bone marrow",2005,Diagnostic cues for natural killer cell lymphoma: primary nodal presentation and the role of in situ hybridisation for Epstein-Barr virus encoded early small RNA in detecting occult bone marrow involvement.,"lymph node, bone marrow",
10.1136/jcp.2008.060160,0,1,0,0,,2009,CD105/endoglin expression in Gorham disease of bone.,,
10.1136/jcp.44.1.29,0,1,0,1,liver,1991,Endothelial markers in malignant vascular tumours of the liver: superiority of QB-END/10 over von Willebrand factor and Ulex europaeus agglutinin 1.,liver,
10.1136/jcp.55.12.936,0,1,0,0,,2002,p63 Staining of myoepithelial cells in breast fine needle aspirates: a study of its role in differentiating in situ from invasive ductal carcinomas of the breast.,,
10.1136/jcp.55.3.184,0,1,0,1,"lung, bone marrow",2002,Increased nm23 immunoreactivity is associated with selective inhibition of systemic tumour cell dissemination.,"lung, bone marrow",
10.1136/jmg.2004.029835,0,1,0,1,kidney,2005,STRA13 expression and subcellular localisation in normal and tumour tissues: implications for use as a diagnostic and differentiation marker.,kidney,
10.1136/thorax.57.5.449,0,1,0,0,,2002,Cell specific markers for eosinophils and neutrophils in sputum and bronchoalveolar lavage fluid of patients with respiratory conditions and healthy subjects.,,
10.1136/thx.13.2.110,1,0,0,1,lung,1958,"The secondary lobule in the adult human lung, with special reference to its appearance in bronchograms.",lung,
10.1136/thx.2008.104067,0,1,0,1,lung,2009,Bronchial epithelial cells cultured from clinically stable lung allograft patients promote the development of macrophages from monocytes rather than dendritic cells.,lung,
10.1136/thx.53.8.685,0,1,0,1,lung,1998,"Increases in CD4+ T lymphocytes, macrophages, neutrophils and interleukin 8 positive cells in the airways of patients with bronchiectasis.",lung,
10.1136/thx.54.4.339,0,1,0,0,,1999,Phenotypic analysis of lymphocytes and monocytes/macrophages in peripheral blood and bronchoalveolar lavage fluid from patients with pulmonary sarcoidosis.,,
10.1146/annurev.bi.50.070181.002341,1,0,0,1,placenta,1981,Glycoprotein hormones: structure and function.,placenta,
10.1146/annurev.cb.11.110195.001011,1,0,0,1,skin,1995,Keratins and the skin.,skin,
10.1148/93.3.507,1,0,0,1,lung,1969,The secondary pulmonary lobule: a practical concept for interpretation of chest radiographs. I. Roentgen anatomy of the normal secondary pulmonary lobule.,lung,
10.1148/rg.2019180195,1,0,0,1,prostate,,"Prostatic Artery Embolization for Benign Prostatic Hyperplasia: Patient Evaluation, Anatomy, and Technique for Successful Treatment.",prostate,
10.1152/ajpcell.00247.2004,0,1,0,1,skeletal,2004,Voluntary running induces fiber type-specific angiogenesis in mouse skeletal muscle.,skeletal,
10.1152/ajpcell.00524.2001,1,0,0,0,,2002,Involvement of human PECAM-1 in angiogenesis and in vitro endothelial cell migration.,,
10.1152/ajpgi.00080.2016,0,1,0,1,"liver, liver, liver, liver, liver, liver, liver",2016,Lin28 and let-7: roles and regulation in liver diseases.,"liver, liver, liver, liver, liver, liver, liver",
10.1152/ajpgi.00261.2015,0,1,0,0,,2015,Identification of alanyl aminopeptidase (CD13) as a surface marker for isolation of mature gastric zymogenic chief cells.,,
10.1152/ajpgi.00420.2014,0,1,0,0,,2015,Next generation of ALDH substrates and their potential to study maturational lineage biology in stem and progenitor cells.,,
10.1152/ajpgi.00432.2011,1,0,0,0,,2012,3-D illustration of network orientations of interstitial cells of Cajal subgroups in human colon as revealed by deep-tissue imaging with optical clearing.,,
10.1152/ajpgi.00465.2005,0,1,0,1,liver,2006,Hepatic progenitor cells in human fetal liver express the oval cell marker Thy-1.,liver,
10.1152/ajpheart.00341.2015,0,1,0,0,,2015,Effects of aerobic interval training and continuous training on cellular markers of endothelial integrity in coronary artery disease: a SAINTEX-CAD substudy.,,Amaryllis H. Van Craenenbroeck
10.1152/ajpheart.2000.278.4.h1335,0,1,0,0,,2000,Immunochemical evidence for a unique GPI-anchored carbonic anhydrase isozyme in human cardiomyocytes.,,
10.1152/ajplung.00058.2015,0,1,0,1,"lung, lung, lung, lung, lung, lung, lung",2015,Pharmacologic inhibition of lactate production prevents myofibroblast differentiation.,"lung, lung, lung, lung, lung, lung, lung","T. H. Thatcher, Thomas H. Thatcher, T. H. Thatcher, Thomas H. Thatcher, T. H. Thatcher, Thomas H. Thatcher, T. H. Thatcher, Thomas H. Thatcher, T. H. Thatcher, Thomas H. Thatcher, T. H. Thatcher, Thomas H. Thatcher, T. H. Thatcher, Thomas H. Thatcher"
10.1152/ajplung.00202.2002,0,1,0,1,lung,2003,Characterization of CD34+ cells isolated from human fetal lung.,lung,
10.1152/ajplung.00256.2016,0,1,0,1,"lung, lung, lung, lung",2017,TGF-&Icirc;&sup2;<sub>1</sub> stimulates HDAC4 nucleus-to-cytoplasm translocation and NADPH oxidase 4-derived reactive oxygen species in normal human lung fibroblasts.,"lung, lung, lung, lung",
10.1152/ajplung.00310.2003,0,1,0,0,,2004,Pepsinogen C: a type 2 cell-specific protease.,,
10.1152/ajplung.00420.2002,0,1,0,1,"lung, lung, lung",2004,"Elevation of KL-6, a lung epithelial cell marker, in plasma and epithelial lining fluid in acute respiratory distress syndrome.","lung, lung, lung",
10.1152/ajplung.00432.2005,0,1,0,1,lung,2006,Extravascular sources of lung angiotensin peptide synthesis in idiopathic pulmonary fibrosis.,lung,
10.1152/ajplung.00439.2017,0,1,0,1,"lung, lung",2018,Cell-surface phenotyping identifies CD36 and CD97 as novel markers of fibroblast quiescence in lung fibrosis.,"lung, lung","M. Konigshoff, Melanie Koenigshoff, Melanie Konigshoff, Oliver Eickelberg, M. Konigshoff, Melanie Koenigshoff, Melanie Konigshoff, Oliver Eickelberg"
10.1152/ajplung.90264.2008,0,1,0,1,lung,2008,Peroxynitrite augments fibroblast-mediated tissue remodeling via myofibroblast differentiation.,lung,
10.1152/ajplung.90565.2008,0,1,0,1,"lung, lung, lung, lung, lung",2009,Immunotargeting and cloning of two CD34 variants exhibiting restricted expression in adult rat endothelia in vivo.,"lung, lung, lung, lung, lung",
10.1152/ajprenal.00589.2010,0,1,0,0,,2011,"Establishment of conditionally immortalized human glomerular mesangial cells in culture, with unique migratory properties.",,
10.1152/ajprenal.1997.272.2.f222,0,1,0,0,,1997,Met -/- kidneys express epithelial cells that chemotax and form tubules in response to EGF receptor ligands.,,
10.1152/ajprenal.2000.278.1.f52,1,0,0,0,,2000,UT-A2: a 55-kDa urea transporter in thin descending limb whose abundance is regulated by vasopressin.,,
10.1152/ajprenal.2000.278.2.f202,1,0,0,0,,2000,Mixed descending- and ascending-type thin limbs of Henle&apos;&apos;s loop in mammalian renal inner medulla.,,
"10.1152/physiolgenomics.00104.2020,  10.1101/2021.07.28.454201",1,0,0,0,,,,,
10.1152/physrev.00001.2018,1,0,0,1,"lung, lung, lung, lung, lung",2019,Building and Regenerating the Lung Cell by Cell.,"lung, lung, lung, lung, lung",
10.1155/2007/89195,0,1,0,0,,2007,Regulatory T cells and human disease.,,
10.1155/2008/396281,0,1,0,1,lung,2008,Lung cancer stem cells.,lung,
10.1155/2009/789526,0,1,0,0,,2009,"High harvest yield, high expansion, and phenotype stability of CD146 mesenchymal stromal cells from whole primitive human umbilical cord tissue.",,
10.1155/2010/673513,0,1,0,0,,2010,Telomere attrition occurs during ex vivo expansion of human dental pulp stem cells.,,
10.1155/2010/790431,1,0,0,0,,2010,Adipocytes as an Important Source of Serum S100B and Possible Roles of This Protein in Adipose Tissue.,,
10.1155/2013/374196,0,1,0,0,,2013,Interferon- &Icirc;&plusmn; -Induced Changes to Natural Killer Cells Are Associated with the Treatment Outcomes in Patients with HCV Infections.,,
10.1155/2013/507301,0,1,0,1,bone marrow,2013,Prospective isolation of murine and human bone marrow mesenchymal stem cells based on surface markers.,bone marrow,
10.1155/2013/576472,0,1,0,1,prostate,2013,Cytokeratin 18 is not required for morphogenesis of developing prostates but contributes to adult prostate regeneration.,prostate,Chenlu Zhang
10.1155/2013/782581,0,1,0,0,,2013,Expression of Potential Cancer Stem Cell Marker ABCG2 is Associated with Malignant Behaviors of Hepatocellular Carcinoma.,,
10.1155/2014/432139,0,1,0,1,"liver, liver, liver, liver",2014,Immunohistochemical detection of cancer stem cell related markers CD44 and CD133 in metastatic colorectal cancer patients.,"liver, liver, liver, liver","Miroslava Cedikova, Pavel Pitule, Petr Hosek, Vaclav Liska, Miroslava Cedikova, Pavel Pitule, Petr Hosek, Vaclav Liska, Miroslava Cedikova, Pavel Pitule, Petr Hosek, Vaclav Liska, Miroslava Cedikova, Pavel Pitule, Petr Hosek, Vaclav Liska"
10.1155/2014/464217,0,1,0,1,"skeletal, urinary bladder",2014,An update of the interstitial cell compartment in the normal human bladder.,"skeletal, urinary bladder",
10.1155/2014/536482,0,1,0,1,bone marrow,2014,Flow cytometry assessment of in vitro generated CD138+ human plasma cells.,bone marrow,
10.1155/2014/589412,0,1,0,0,,2014,Prognostic significance of circulating and endothelial progenitor cell markers in type 2 diabetic foot.,,
10.1155/2014/631787,0,1,0,0,,2014,The histopathology of labial salivary glands in primary Sj&Atilde;&para;gren&apos;&apos;s syndrome: focusing on follicular helper T cells in the inflammatory infiltrates.,,"Krisztina Szabo, Margit Zeher, Krisztina Szabo, Margit Zeher"
10.1155/2014/703653,0,1,0,1,liver,2014,Monocyte subsets in schistosomiasis patients with periportal fibrosis.,liver,
10.1155/2014/760303,0,1,0,0,,2014,The low chamber pancreatic cancer cells had stem-like characteristics in modified transwell system: is it a novel method to identify and enrich cancer stem-like cells?,,
10.1155/2016/7513252,0,1,0,0,,2016,In Vitro Differentiation of First Trimester Human Umbilical Cord Perivascular Cells into Contracting Cardiomyocyte-Like Cells.,,
10.1155/2016/8596520,0,1,0,0,,2016,Comparison of Stemness and Gene Expression between Gingiva and Dental Follicles in Children.,,"Chung-Min Kang, Jae-Ho Lee, Seong-Oh Kim, Chung-Min Kang, Jae-Ho Lee, Seong-Oh Kim, Chung-Min Kang, Jae-Ho Lee, Seong-Oh Kim"
10.1155/2017/4794827,0,1,0,0,,2017,Characteristics of Human Endometrium-Derived Mesenchymal Stem Cells and Their Tropism to Endometriosis.,,
10.1155/2021/6662201,1,0,0,1,placenta,2021,Expression of CD146 and Regenerative Cytokines by Human Placenta-Derived Mesenchymal Stromal Cells upon Expansion in Different GMP-Compliant Media.,placenta,
10.1158/0008-5472.can-04-3857,0,1,0,0,,2005,Hair follicle-derived blood vessels vascularize tumors in skin and are inhibited by Doxorubicin.,,
10.1158/0008-5472.can-05-0821,0,1,0,0,,2005,Nestin-linked green fluorescent protein transgenic nude mouse for imaging human tumor angiogenesis.,,
10.1158/0008-5472.can-05-2018,0,1,0,0,,2005,Prospective identification of tumorigenic prostate cancer stem cells.,,
10.1158/0008-5472.can-06-2030,0,1,0,0,,2007,Identification of pancreatic cancer stem cells.,,
10.1158/0008-5472.can-09-0758,0,1,0,0,,2009,Dysfunctional transforming growth factor-beta receptor II accelerates prostate tumorigenesis in the TRAMP mouse model.,,
10.1158/0008-5472.can-10-0881,0,1,0,0,,2010,Aldehyde dehydrogenase activity selects for lung adenocarcinoma stem cells dependent on notch signaling.,,
10.1158/0008-5472.can-10-2342,0,1,0,0,,2011,PHLDA1 expression marks the putative epithelial stem cells and contributes to intestinal tumorigenesis.,,
10.1158/0008-5472.can-12-0624,0,1,0,0,,2012,CD133+ melanoma subpopulations contribute to perivascular niche morphogenesis and tumorigenicity through vasculogenic mimicry.,,
10.1158/0008-5472.can-12-4403,0,1,0,0,,2013,&Icirc;&sup2;-Catenin/POU5F1/SOX2 transcription factor complex mediates IGF-I receptor signaling and predicts poor prognosis in lung adenocarcinoma.,,
10.1158/0008-5472.can-13-2309,0,1,0,0,,2014,CD44v8-10 is a cancer-specific marker for gastric cancer stem cells.,,
10.1158/0008-5472.can-16-0171,0,1,0,0,,2016,Rapid Reprogramming of Primary Human Astrocytes into Potent Tumor-Initiating Cells with Defined Genetic Factors.,,
10.1158/0008-5472.can-17-1800,0,1,0,0,,2017,Proliferating EpCAM-Positive Ductal Cells in the Inflamed Liver Give Rise to Hepatocellular Carcinoma.,,
10.1158/1078-0432.ccr-11-0179,0,1,0,0,,2011,A novel aldehyde dehydrogenase-3 activator leads to adult salivary stem cell enrichment in vivo.,,
10.1158/1078-0432.ccr-12-3497,0,1,0,0,,2013,Margin-infiltrating CD20(+) B cells display an atypical memory phenotype and correlate with favorable prognosis in hepatocellular carcinoma.,,
10.1158/1078-0432.ccr-13-2819,0,1,0,0,,2014,Circulating tumor cells in patients with testicular germ cell tumors.,,
10.1158/1078-0432.ccr-14-1936,0,1,0,0,,2015,"Keratin 19, a Cancer Stem Cell Marker in Human Hepatocellular Carcinoma.",,
10.1158/1535-7163.mct-12-0100,0,1,0,0,,2012,miRNA-29b suppresses prostate cancer metastasis by regulating epithelial-mesenchymal transition signaling.,,
10.1158/1535-7163.mct-16-0114,0,1,0,0,,2016,LGR5-Targeted Antibody-Drug Conjugate Eradicates Gastrointestinal Tumors and Prevents Recurrence.,,
10.1158/1541-7786.mcr-08-0393,0,1,0,0,,2009,Aldehyde dehydrogenase 1 is a tumor stem cell-associated marker in lung cancer.,,
10.1158/1541-7786.mcr-16-0285,0,1,0,0,,2017,Pancreatic Neuroendocrine Tumors and EMT Behavior Are Driven by the CSC Marker DCLK1.,,
10.1158/2159-8290.cd-22-0824,0,0,1,0,,,,,
10.1159/000053694,1,0,0,1,"lung, skin",,Expression of the chemokine receptor CCR3 on human mast cells.,"lung, skin",
10.1159/000065875,0,1,0,0,,2002,Individual hymenoptera venom compounds induce upregulation of the basophil activation marker ectonucleotide pyrophosphatase/phosphodiesterase 3 (CD203c) in sensitized patients.,,
10.1159/000075885,0,1,0,0,,2003,Sensitive flow cytometric method to test basophil activation influenced by homeopathic histamine dilutions.,,
10.1159/000112088,0,1,0,1,"brain, spinal cord",1994,Expression of the neuron-specific FE65 gene marks the development of embryo ganglionic derivatives.,"brain, spinal cord",
10.1159/000235115,0,1,0,0,,1990,Further characterization of surface membrane structures expressed on human basophils and mast cells.,,
10.1159/000236136,0,1,0,1,"spleen, liver",1992,Direct demonstration of engraftment of human peripheral blood leukocytes in SCID mice.,"spleen, liver",
10.1159/000248491,1,0,0,1,skin,1988,Normal Merkel cells express a synaptophysin-like immunoreactivity.,skin,
10.1159/000289586,0,1,0,0,,2010,A simple modification of the separation method reduces heterogeneity of adipose-derived stem cells.,,
10.1159/000316343,0,1,0,0,,2010,Effect on cell surface markers following allergen-induced desensitization of human whole-blood basophils.,,
10.1159/000350072,0,1,0,1,bone marrow,2013,Isolation of mesenchymal stromal cells (MSCs) from human adenoid tissue.,bone marrow,
10.1159/000356073,0,1,0,0,,2014,Characterization of fetal cells from the maternal circulation by microarray gene expression analysis--could the extravillous trophoblasts be a target for future cell-based non-invasive prenatal diagnosis?,,
10.1159/000358598,0,1,0,0,,2014,The role of BMI1 as a biomarker of cancer stem cells in head and neck cancer: a review.,,
10.1159/000358639,0,1,0,0,,2014,Impairment of Circulating CD4&acirc;&plusmn;&ordm;CD25&acirc;&plusmn;&ordm;GARP&acirc;&plusmn;&ordm; regulatory T cells in patients with acute coronary syndrome.,,
10.1159/000363225,0,1,0,1,heart,2014,SSEA-4+ CD34- cells in the adult human heart show the molecular characteristics of a novel cardiomyocyte progenitor population.,heart,
10.1159/000430285,0,1,0,1,brain,2015,Inflammatory Macrophages Promotes Development of Diabetic Encephalopathy.,brain,
10.1159/000437254,0,1,0,0,,,A Case of Abnormal Lymphatic-Like Differentiation and Endothelial Progenitor Cell Activation in Neovascularization Associated with Hemi-Retinal Vein Occlusion.,,
10.1159/000486089,0,1,0,0,,2017,Androgen Insensitivity Syndrome at Prepuberty: Marked Loss of Spermatogonial Cells at Early Childhood and Presence of Gonocytes up to Puberty.,,
10.1159/000488429,0,1,0,1,bone marrow,2018,Human Glioblastoma-Derived Mesenchymal Stem Cell to Pericytes Transition and Angiogenic Capacity in Glioblastoma Microenvironment.,bone marrow,
10.1159/000501521,1,0,0,0,,2019,Distribution of Neuroendocrine Marker-Positive Cells in Colorectal Cancer Tissue and Normal Mucosal Tissue: Consideration of Histogenesis of Neuroendocrine Cancer.,,
10.1161/01.cir.0000135466.16823.d0,0,1,0,0,,2004,Improvement of postnatal neovascularization by human adipose tissue-derived stem cells.,,
10.1161/atvbaha.109.197442,0,1,0,0,,2010,CCL5 promotes macrophage recruitment and survival in human adipose tissue.,,
10.1161/atvbaha.110.205377,0,1,0,0,,2010,C-reactive protein-mediated vascular injury requires complement.,,
10.1161/circresaha.107.159475,0,1,0,0,,2008,"A population of multipotent CD34-positive adipose stromal cells share pericyte and mesenchymal surface markers, reside in a periendothelial location, and stabilize endothelial networks.",,
10.1161/circulationaha.105.541268,0,1,0,0,,2006,Dose-dependent contribution of CD34-positive cell transplantation to concurrent vasculogenesis and cardiomyogenesis for functional regenerative recovery after myocardial infarction.,,
10.1161/circulationaha.105.591768,0,1,0,0,,2006,"Human semilunar cardiac valve remodeling by activated cells from fetus to adult: implications for postnatal adaptation, pathology, and tissue engineering.",,
10.1161/circulationaha.117.030742,0,1,0,0,,2018,Single-Cell Sequencing of the Healthy and Diseased Heart Reveals Cytoskeleton-Associated Protein 4 as a New Modulator of Fibroblasts Activation.,,
10.1161/jaha.117.007442,0,1,0,0,,2018,Adipose-Derived Exosomes Exert Proatherogenic Effects by Regulating Macrophage Foam Cell Formation and Polarization.,,
10.1161/jaha.117.008105,0,1,0,0,,2018,Lipopolysaccharide Lowers Cholesteryl Ester Transfer Protein by Activating F4/80<sup>+</sup>Clec4f<sup>+</sup>Vsig4<sup>+</sup>Ly6C<sup>-</sup> Kupffer Cell Subsets.,,
10.1164/ajrccm.158.5.9804025,0,1,0,1,lung,1998,Morphometric analysis of insulin-like growth factor-I localization in lung tissues of patients with idiopathic pulmonary fibrosis.,lung,
10.1164/ajrccm.161.4.9907125,0,1,0,1,lung,2000,Dendritic cells and macrophages in lung allografts: A role in chronic rejection?,lung,
10.1164/ajrccm.164.10.2101140,0,1,0,0,,2001,"Disrupted pulmonary vasculature and decreased vascular endothelial growth factor, Flt-1, and TIE-2 in human infants dying with bronchopulmonary dysplasia.",,
10.1164/rccm.201911-2199oc,1,0,0,0,,2020,A Single-Cell Atlas of the Human Healthy Airways.,,
10.1165/rcmb.2003-0234oc,0,1,0,0,,2004,Expression of interleukin-5- and granulocyte macrophage-colony-stimulating factor-responsive genes in blood and airway eosinophils.,,
10.1165/rcmb.2009-0006oc,0,1,0,0,,2009,Electrophilic peroxisome proliferator-activated receptor-gamma ligands have potent antifibrotic effects in human lung fibroblasts.,,
10.1165/rcmb.2015-0171oc,0,1,0,0,,2016,Immune Defense Protein Expression in Highly Purified Mouse Lung Epithelial Cells.,,
10.1167/iovs.03-0041,0,1,0,0,,2003,Selective uptake of indocyanine green by reticulocytes in circulation.,,
10.1167/iovs.08-2614,1,0,0,0,,2009,Maturation of the fetal human choriocapillaris.,,
10.1167/iovs.11-7550,0,1,0,0,,2012,Characterization of ocular surface epithelial and progenitor cell markers in human adipose stromal cells derived from lipoaspirates.,,
10.1167/iovs.12-10559,0,1,0,0,,2012,Visual functional and histopathological correlation in experimental autoimmune optic neuritis.,,
10.1167/iovs.13-11754,0,1,0,0,,2013,Identification of cell surface markers glypican-4 and CD200 that differentiate human corneal endothelium from stromal fibroblasts.,,
10.1167/iovs.13-11910,0,1,0,1,eye,2013,Directing adult human periodontal ligament-derived stem cells to retinal fate.,eye,
10.1167/iovs.14-14999,0,1,0,0,,2014,Human limbal mesenchymal cells support the growth of human corneal epithelial stem/progenitor cells.,,
10.1167/iovs.15-18117,1,0,0,1,"eye, eye, eye, eye, eye, eye, eye, eye, eye, eye, eye, eye, eye, eye",2015,MALDI Imaging Mass Spectrometry Spatially Maps Age-Related Deamidation and Truncation of Human Lens Aquaporin-0.,"eye, eye, eye, eye, eye, eye, eye, eye, eye, eye, eye, eye, eye, eye",
10.1167/iovs.17-22237,0,1,0,0,,2017,RNA-Sequencing Gene Expression Profiling of Orbital Adipose-Derived Stem Cell Population Implicate HOX Genes and WNT Signaling Dysregulation in the Pathogenesis of Thyroid-Associated Orbitopathy.,,
10.1167/iovs.17-22703,0,1,0,0,,2018,Natural Killer Cell Inhibition by HLA-E Molecules on Induced Pluripotent Stem Cell-Derived Retinal Pigment Epithelial Cells.,,
10.1172/jci11734,1,0,0,0,,2001,"Human thymus contains IFN-alpha-producing CD11c(-), myeloid CD11c(+), and mature interdigitating dendritic cells.",,
10.1172/jci119387,1,0,0,0,,1997,Human cytotrophoblasts adopt a vascular phenotype as they differentiate. A strategy for successful endovascular invasion?,,
10.1172/jci124616,1,0,0,0,,2019,More friend than foe: the emerging role of neutrophils in tissue repair.,,
10.1172/jci200422325,1,0,0,0,,,,,
10.1172/jci26043,0,1,0,0,,2006,Characterization and isolation of stem cell-enriched human hair follicle bulge cells.,,
10.1172/jci59735,0,1,0,0,,2012,Ganglioside GD2 identifies breast cancer stem cells and promotes tumorigenesis.,,
10.1172/jci7558,1,0,0,0,,1999,Analysis of the human thymic perivascular space during aging.,,
10.1172/jci.insight.126747,1,0,0,0,,2019,Blood-retina barrier failure and vision loss in neuron-specific degeneration.,,
10.1172/jci.insight.133267,1,0,0,0,,2020,Single cell transcriptomics identifies focal segmental glomerulosclerosis remission endothelial biomarker.,,
10.1172/jci.insight.151621,1,0,0,0,,2021,Combinatorial transcription factor profiles predict mature and functional human islet &Icirc;&plusmn; and &Icirc;&sup2; cells.,,
10.1172/jci.insight.90063,1,0,0,0,,2017,Eomesodermin and T-bet mark developmentally distinct human natural killer cells.,,
10.1172/jci.insight.90558,1,1,0,1,"lung, lung, lung, lung, lung, lung, lung, lung, lung, lung, lung, lung",2016,Single-cell RNA sequencing identifies diverse roles of epithelial cells in idiopathic pulmonary fibrosis.,"lung, lung, lung, lung, lung, lung, lung, lung, lung, lung, lung, lung",
10.1177/0003319710385336,0,1,0,0,,2011,The ARIC carotid MRI study of blood cellular markers: an inverse association of monocyte myeloperoxidase content with peripheral arterial disease.,,
10.1177/0022034513510530,0,1,0,0,,2014,Standardization and safety of alveolar bone-derived stem cell isolation.,,
10.1177/0194599812447172,0,1,0,0,,2012,Human inferior turbinate: an alternative tissue source of multipotent mesenchymal stromal cells.,,
10.1177/030089161309900523,0,1,0,0,,,Nuclear localization of cancer stem cell marker CD133 in triple-negative breast cancer: a case report.,,
10.1177/030089168907500524,0,1,0,1,"kidney, fallopian tube",1989,Immunohistochemical reactivity of a monoclonal antibody prepared against human ovarian carcinoma on normal and pathological female genital tissues.,"kidney, fallopian tube",
10.1177/030089169007600515,0,1,0,1,lung,1990,Peripheral blood and tumor infiltrating lymphocytes in non-small cell lung cancer: analysis at the population and clonal level.,lung,
10.1177/0363546513499138,0,1,0,1,bone marrow,2013,Multiple channeling improves the structural integrity of rotator cuff repair.,bone marrow,
10.1177/039463201402700304,0,1,0,0,,,"Evaluation of CD44 variant expression in oral, head and neck squamous cell carcinomas using a triple approach and its clinical significance.",,
10.1177/0961203314567750,0,1,0,0,,2015,Circulating CXCR5+CD4+helper T cells in systemic lupus erythematosus patients share phenotypic properties with germinal center follicular helper T cells and promote antibody production.,,
10.1177/096368979700600110,0,1,0,1,pancreas,,Isolation and characterization of a cell line from the epithelial cells of the human fetal pancreas.,pancreas,
10.1177/1010428317716076,0,1,0,1,liver,2017,Let7b modulates the Wnt/&Icirc;&sup2;-catenin pathway in liver cancer cells via downregulated Frizzled4.,liver,
10.1177/1090820x14528000,0,1,0,0,,2014,Harvest of superficial layers of fat with a microcannula and isolation of adipose tissue-derived stromal and vascular cells.,,
10.1177/1093526616686244,0,1,0,1,"liver, liver, liver",,Immunohistochemical Analysis of the Stem Cell Marker LGR5 in Pediatric Liver Disease.,"liver, liver, liver",
10.1177/1535370216672746,0,1,0,1,liver,2017,APSA Awardee Submission: Tumor/cancer stem cell marker doublecortin-like kinase 1 in liver diseases.,liver,
10.1177/159101999600200307,1,0,0,0,,1996,The marginal sinus normal anatomy and involvement with arteriovenous fistulae.,,
10.1177/172460080502000405,0,1,0,0,,,The differential regulation of human telomerase reverse transcriptase and vascular endothelial growth factor may contribute to the clinically more aggressive behavior of p63-positive breast carcinomas.,,
10.1177/1933719109348252,0,1,0,0,,2010,Neutrophil infiltration and systemic vascular inflammation in obese women.,,
10.1177/1933719118756745,1,0,0,0,,2019,Similar Characteristics of Endometrial and Endometriotic Epithelial Cells.,,
10.1177/1933719118766251,0,1,0,0,,2019,Human Endometrial Reconstitution From Somatic Stem Cells: The Importance of Niche-Like Cells.,,
10.1177/36.1.3275712,0,1,0,1,"lung, lung",1988,"Identification, cellular localization, isolation, and characterization of human Clara cell-specific 10 KD protein.","lung, lung",
10.1182/blood-2004-01-0346,1,0,0,1,spleen,2004,Human blood IgM &quot;memory&quot; B cells are circulating splenic marginal zone B cells harboring a prediversified immunoglobulin repertoire.,spleen,
10.1182/blood-2004-02-0769,1,0,0,1,bone marrow,2004,Human marrow megakaryocyte differentiation: multiparameter correlative analysis identifies von Willebrand factor as a sensitive and distinctive marker for early (2N and 4N) megakaryocytes.,bone marrow,
10.1182/blood-2006-08-039347,0,1,0,1,"bone marrow, bone marrow, bone marrow",2007,Human bone marrow mesenchymal stromal cells express the neural ganglioside GD2: a novel surface marker for the identification of MSCs.,"bone marrow, bone marrow, bone marrow",
10.1182/blood-2008-05-155176,0,1,0,0,,2008,The dendritic cell subtype-restricted C-type lectin Clec9A is a target for vaccine enhancement.,,
10.1182/blood-2008-06-165266,1,0,0,1,"lymph node, skin",2009,Distinctive localization of antigen-presenting cells in human lymph nodes.,"lymph node, skin",
10.1182/blood-2008-11-187633,1,0,0,1,thymus,2009,Exclusive expression of proteasome subunit {beta}5t in the human thymic cortex.,thymus,
10.1182/blood-2010-03-272625,0,1,0,1,liver,2010,VE-cadherin expression allows identification of a new class of hematopoietic stem cells within human embryonic liver.,liver,
10.1182/blood-2012-03-415380,1,0,0,1,"lymph node, lymph node, lymph node, lymph node, lymph node, lymph node",2012,Identification of human germinal center light and dark zone cells and their relationship to human B-cell lymphomas.,"lymph node, lymph node, lymph node, lymph node, lymph node, lymph node",
10.1182/blood-2012-11-468702,0,1,0,0,,2013,Leukemia surfaceome analysis reveals new disease-associated features.,,
10.1182/blood-2013-09-529800,0,1,0,1,bone marrow,2014,Robust isolation of malignant plasma cells in multiple myeloma.,bone marrow,
10.1182/blood-2014-03-563445,1,0,0,1,spleen,2014,Splenic TFH expansion participates in B-cell differentiation and antiplatelet-antibody production during immune thrombocytopenia.,spleen,
10.1182/blood.2020005351,1,0,0,1,spleen,2020,Hemolysis in the spleen drives erythrocyte turnover.,spleen,
10.1182/bloodadvances.2017015008,1,0,0,1,spleen,2018,Red pulp macrophages in the human spleen are a distinct cell population with a unique expression of Fc-&Icirc;&sup3; receptors.,spleen,
10.1182/ bloodadvances.2017015073,1,0,0,0,,,,,
10.1182/blood.v126.23.3594.3594,1,0,0,0,,,,,
10.1182/blood.v74.2.751.751,1,0,0,0,,,,,
10.1182/blood.v97.11.3513,0,1,0,1,"lymph node, spleen, thymus",2001,Molecular characterization and expression of a novel human leukocyte cell-surface marker homologous to mouse Ly-9.,"lymph node, spleen, thymus",
