Annotation,Result
anatomical_structures,2689
asctb_publication,1057
authors,583117
biomarker,1770
cell types,590
CellMarker/CxG/GTEx publication,1680
creator,101
dataset,1816
digital objects,294
donor,4639
(cleaned) funder,6427
(uncleaned) funder,63691
funding,896680
(cleaned) institution,26235
organ,31
publication,7103180
reviewer,99
