orcid,hra_refs_author,creators,reviewers
0000-0001-5186-3971,1,0,0
0000-0002-2693-1896,1,0,0
0000-0002-7523-4894,1,0,0
0000-0001-6112-4945,1,0,0
0000-0002-2697-7376,1,0,0
0000-0001-5956-0211,1,0,0
0000-0003-0209-5034,1,0,0
0000-0002-8917-4845,1,0,0
0000-0001-7461-0408,1,0,0
0000-0001-7411-4172,1,0,0
0000-0003-0766-171X,1,0,0
0000-0003-1463-8622,1,0,0
0000-0002-6294-6366,1,1,1
0000-0001-9448-8833,1,0,0
0000-0002-7193-6258,1,1,1
0000-0002-2410-9364,1,0,0
0000-0003-4522-0085,1,0,0
0000-0002-7690-1484,1,0,0
0000-0003-0936-0128,1,0,0
0000-0001-5630-559X,1,0,0
0000-0002-4244-4019,1,0,0
0000-0002-6881-0291,1,0,0
0000-0001-5933-6463,1,0,0
0000-0001-6024-4267,1,0,0
0000-0002-0259-8611,1,0,0
0000-0001-8338-8124,1,0,0
0000-0003-4962-102X,1,0,0
0000-0002-3009-5472,1,0,0
0000-0002-4206-5529,1,0,0
0000-0003-4500-3849,1,0,0
0000-0003-0206-9258,1,0,0
0000-0003-3293-3158,1,0,0
0000-0001-9610-1858,1,0,0
0000-0001-6682-6743,1,0,0
0000-0002-3017-2474,1,0,0
0000-0003-3742-5961,1,0,0
0000-0002-8142-8708,1,0,0
0000-0002-6034-4433,1,0,0
0000-0002-5328-5500,1,0,0
0000-0001-6585-9586,1,0,0
0000-0002-0191-3958,1,1,0
0000-0002-1170-7867,1,0,0
0000-0003-0937-5290,1,0,0
0000-0002-0773-0554,1,0,0
0000-0003-3188-9140,1,0,0
0000-0002-7954-6705,1,0,1
0000-0003-4473-8747,1,0,0
0000-0003-2616-1665,1,0,0
0000-0002-6678-9847,1,0,0
0000-0001-8372-3754,1,0,0
0000-0003-2613-4050,1,0,0
0000-0002-0278-3454,1,0,0
0000-0003-2980-4582,1,0,0
0000-0002-3602-7331,1,0,1
0000-0003-3346-7160,1,0,0
0000-0002-6600-7665,1,0,0
0000-0002-8997-3962,1,0,0
0000-0002-7302-1713,1,0,0
0000-0003-0761-9503,1,0,0
0000-0001-5503-7888,1,0,0
0000-0001-8510-8229,1,0,0
0000-0002-5197-2307,1,0,0
0000-0003-3956-8480,1,0,0
0000-0003-3608-0463,1,0,0
0000-0001-5296-6155,1,0,0
0000-0002-3927-2084,1,1,1
0000-0002-6763-5903,1,0,0
0000-0003-1603-4785,1,0,0
0000-0001-7456-1757,1,0,0
0000-0002-3340-9828,1,0,0
0000-0003-1924-4411,1,0,0
0000-0003-3263-6057,1,0,0
0000-0002-2349-2656,1,0,0
0000-0002-2142-983X,0,1,0
0000-0001-6582-4041,0,1,0
0000-0002-3775-857,0,1,0
0000-0002-3775-8574,0,1,1
0000-0003-4549-588X,0,1,0
0000-0001-9141-090X,0,1,0
0000-0003-1355-892X,0,1,0
0000-0001-7620-8973,0,1,0
0000-0003-4495-8205,0,1,0
0000-0002-2597-881X,0,1,1
0000-0002-5574-4272,0,1,1
0000-0002-6692-6880,0,1,0
0000-0003-0120-4630,0,1,0
0000-0002-7072-5272,0,1,1
0000-0003-2540-1153,0,1,0
0000-0001-8776-2769,0,1,1
0000-0001-9769-1538,0,1,0
0000-0002-3959-1712,0,1,1
0000-0003-1980-6840,0,1,1
0000-0001-8034-7685,0,1,0
0000-0003-0118-0413,0,1,1
0000-0002-7112-7389,0,1,1
0000-0003-0834-8274,0,1,1
0000-0002-0935-7300,0,1,1
0000-0001-5675-3974,0,1,1
0000-0002-0317-7608,0,1,1
0000-0003-2804-127X,0,1,1
0000-0001-8143-9231,0,1,1
0000-0001-9189-9661,0,1,0
0000-0003-4645-3614,0,1,0
0000-0003-3066-2876,0,1,0
0000-0001-9198-5498,0,1,1
0000-0001-7852-7775,0,1,1
0000-0003-1940-6740,0,1,1
0000-0002-4174-2786,0,1,1
0000-0003-1824-1067,0,1,1
0000-0002-9185-3994,0,1,1
0000-0001-8387-4966,0,1,0
0000-0002-7250-3569,0,1,1
0000-0003-4379-8967,0,1,1
0000-0002-3522-8932,0,1,1
0000-0001-6870-0300,0,1,0
0000-0002-6300-1647,0,1,0
0000-0003-1361-7109,0,1,0
0000-0003-4503-8494,0,1,0
0000-0001-7840-4695,0,1,0
0000-0001-5336-2943,0,1,0
0000-0001-9396-2142,0,1,0
0000-0001-6878-1235,0,1,1
0000-0001-9028-338X,0,1,0
0000-0002-8849-6746,0,1,1
0000-0001-7183-2638,0,1,0
0000-0002-2095-7534,0,1,1
000-0001-5963-2246,0,1,0
0000-0002-0117-7444,0,1,0
0000-0002-0746-927X,0,1,1
0000-0001-7058-5399,0,1,0
0000-0001-6638-683X,0,1,1
0000-0002-1134-8585,0,1,0
0000-0001-9987-6712,0,1,1
0000-0002-4096-8601,0,1,1
0000-0002-3882-457X,0,1,1
0000-0002-4331-2202,0,1,1
0000-0002-1297-9725,0,1,0
0009-0008-1003-987X,0,1,0
0000-0001-9776-2535,0,1,0
0000-0003-2088-8310,0,1,0
0000-0002-1482-5359,0,1,0
0000-0001-9961-7673,0,1,0
0000-0002-6078-3321,0,1,0
0000-0002-1602-2082,0,1,0
0000-0001-7524-8260,0,1,0
0000-0001-6355-5677,0,1,0
0000-0002-3598-0219,0,1,0
0000-0003-2184-7238,0,1,1
0000-0003-2722-1965,0,1,1
0000-0002-3343-349X,0,1,0
0000-0002-7334-4571,0,1,0
0000-0002-9143-6509,0,1,0
0000-0002-0571-0285,0,1,1
0000-0002-8854-4517,0,1,0
0000-0003-4067-0511,0,1,0
0000-0002-0776-3030,0,1,1
0000-0002-7496-8570,0,1,0
0000-0002-9531-3899,0,1,0
0000-0002-2396-5871,0,1,0
0000-0003-2222-4630,0,1,0
0000-0002-0646-1815,0,1,0
0000-0002-3532-3868,0,1,0
0000-0001-7655-4833,0,1,1
0000-0002-3333-5646,0,1,0
0000-0002-6703-7647,0,1,1
0000-0002-3321-6137,0,1,1
0000-0003-4066-7531,0,1,0
0000-0002-8977-498X,0,1,0
00dcv1019,0,1,0
0000-0003-2390-083X,0,1,0
0000-0003-3398-5507,0,1,0
0000-0003-4064-0582,0,0,1
0000-0002-5739-4923,0,0,1
0000-0001-9012-6552,0,0,1
0000-0002-7073-9172,0,0,1
0000-0002-9917-9092,0,0,1
0000-0001-6302-5705,0,0,1
000-0001-9198-5498,0,0,1
0000-0002-3866-0923,0,0,1
0000-0002-4121-1766,0,0,1
0000-0003-3092-5090,0,0,1
0000-0002-8637-9044,0,0,1
0000-0001-7565-4904,0,0,1
0000-0002-0864-7007,0,0,1
0009-0004-1272-6762,0,0,1
0000-0001-6280-9639,0,0,1
0000-0003-3247-0798,0,0,1
0000-0002-6826-8770,0,0,1
0000-0002-8849-808X,0,0,1
0000-0003-0495-9940,0,0,1
0000-0003-1668-5174,0,0,1
0000-0001-5785-1939,0,0,1
0000-0003-3372-6521,0,0,1
0000-0003-4837-0337,0,0,1
0000-0002-2385-6712,0,0,1
0000-0003-4272-6283,0,0,1
0000-0001-5109-6514,0,0,1
0000-0002-3293-5463,0,0,1
0000-0003-4632-0301,0,0,1
0000-0001-7688-1439,0,0,1
0000-0002-4404-8116,0,0,1
0000-0001-7369-0602,0,0,1
0000-0001-6682-4246,0,0,1
0000-0002-6951-2923,0,0,1
0000-0003-1941-5786,0,0,1
0000-0002-8817-6355,0,0,1
0000-0002-9104-6674,0,0,1
0000-0001-9813-0433,0,0,1
0000-0002-6571-3891,0,0,1
0000-0003-0297-4370,0,0,1
0000-0002-1745-8996,0,0,1
